fia_species_code,scientific_name,grain_km,fold,eligible_plots,qualifying_tree_records,positive_plots,detected_cells_ge1_positive_plot,detected_cells_ge2_positive_plots,detected_cells_ge3_positive_plots,tpa_unadj_available_fraction,obvious_variance_support_failure,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean
93,Picea engelmannii,50,A,57920,11604,1545,275,215,179,1.0,0,1,1.0,2.0,4.0,8.0,13.0,27,5.618181818181818
93,Picea engelmannii,50,B,57805,13161,1579,280,221,177,1.0,0,1,1.0,2.0,4.0,9.0,13.0,24,5.639285714285714
93,Picea engelmannii,75,A,57920,11604,1545,151,131,119,1.0,0,1,1.0,3.0,7.0,14.0,26.0,36,10.2317880794702
93,Picea engelmannii,75,B,57805,13161,1579,167,136,114,1.0,0,1,1.0,2.0,6.0,15.0,23.0,41,9.455089820359282
94,Picea glauca,25,A,57920,5074,1358,484,295,209,1.0,0,1,1.0,1.0,2.0,4.0,5.699999999999989,16,2.8057851239669422
94,Picea glauca,25,B,57805,4653,1359,510,299,197,1.0,0,1,1.0,1.0,2.0,4.0,5.0,14,2.664705882352941
94,Picea glauca,50,A,57920,5074,1358,199,145,127,1.0,0,1,1.0,1.0,5.0,9.5,18.0,39,6.824120603015075
94,Picea glauca,50,B,57805,4653,1359,224,159,127,1.0,0,1,1.0,1.0,3.0,9.0,15.0,36,6.066964285714286
94,Picea glauca,75,A,57920,5074,1358,123,90,76,1.0,0,1,1.0,1.0,6.0,18.0,29.0,49,11.040650406504065
94,Picea glauca,75,B,57805,4653,1359,135,99,85,1.0,0,1,1.0,1.0,5.0,16.0,27.0,49,10.066666666666666
95,Picea mariana,25,A,57920,10129,1182,361,235,158,1.0,0,1,1.0,1.0,2.0,4.0,8.0,22,3.2742382271468142
95,Picea mariana,25,B,57805,9878,1143,354,208,147,1.0,0,1,1.0,1.0,2.0,5.0,7.0,16,3.2288135593220337
95,Picea mariana,50,A,57920,10129,1182,147,111,96,1.0,0,1,1.0,2.0,5.0,12.0,22.0,54,8.040816326530612
95,Picea mariana,50,B,57805,9878,1143,142,107,92,1.0,0,1,1.0,2.0,4.0,10.75,20.900000000000006,46,8.049295774647888
95,Picea mariana,75,A,57920,10129,1182,83,69,62,1.0,0,1,1.0,2.5,8.0,18.0,37.59999999999998,103,14.240963855421686
95,Picea mariana,75,B,57805,9878,1143,78,66,57,1.0,0,1,1.0,2.0,8.5,19.75,37.599999999999994,94,14.653846153846153
96,Picea pungens,25,A,57920,570,86,64,12,5,1.0,0,1,1.0,1.0,1.0,1.0,2.0,5,1.34375
96,Picea pungens,25,B,57805,537,89,79,9,1,1.0,0,1,1.0,1.0,1.0,1.0,2.0,3,1.1265822784810127
96,Picea pungens,50,A,57920,570,86,49,22,6,1.0,0,1,1.0,1.0,1.0,2.0,3.0,10,1.7551020408163265
96,Picea pungens,50,B,57805,537,89,67,14,5,1.0,0,1,1.0,1.0,1.0,1.0,2.0,4,1.328358208955224
96,Picea pungens,75,A,57920,570,86,39,20,8,1.0,0,1,1.0,1.0,2.0,2.0,5.0,10,2.2051282051282053
96,Picea pungens,75,B,57805,537,89,56,15,10,1.0,0,1,1.0,1.0,1.0,2.0,3.5,5,1.5892857142857142
97,Picea rubens,25,A,57920,11542,1505,289,236,187,1.0,0,1,1.0,2.0,4.0,8.0,10.0,35,5.2076124567474045
97,Picea rubens,25,B,57805,10788,1516,296,230,197,1.0,0,1,1.0,2.0,4.0,7.0,10.0,30,5.121621621621622
97,Picea rubens,50,A,57920,11542,1505,103,93,85,1.0,0,1,2.0,3.5,11.0,25.0,32.0,64,14.611650485436893
97,Picea rubens,50,B,57805,10788,1516,109,89,84,1.0,0,1,1.0,3.0,9.0,23.0,30.0,64,13.908256880733944
97,Picea rubens,75,A,57920,11542,1505,61,49,44,1.0,0,1,1.0,2.0,14.0,43.0,62.0,106,24.672131147540984
97,Picea rubens,75,B,57805,10788,1516,64,51,46,1.0,0,1,1.0,2.0,12.0,40.0,63.7,104,23.6875
98,Picea sitchensis,25,A,57920,558,119,54,28,15,1.0,0,1,1.0,1.0,2.0,3.0,4.0,9,2.2037037037037037
98,Picea sitchensis,25,B,57805,692,138,55,37,21,1.0,0,1,1.0,1.0,2.0,3.0,4.0,10,2.5090909090909093
98,Picea sitchensis,50,A,57920,558,119,35,20,15,1.0,0,1,1.0,1.0,2.0,3.5,6.800000000000004,22,3.4
98,Picea sitchensis,50,B,57805,692,138,32,28,20,1.0,0,1,1.1,2.0,3.0,6.0,7.900000000000002,21,4.3125
98,Picea sitchensis,75,A,57920,558,119,25,16,12,1.0,0,1,1.0,1.0,2.0,6.0,8.200000000000003,34,4.76
98,Picea sitchensis,75,B,57805,692,138,23,19,18,1.0,0,1,1.0,3.0,4.0,7.0,11.400000000000002,25,6.0
101,Pinus albicaulis,25,A,57920,2467,329,203,81,31,1.0,0,1,1.0,1.0,1.0,2.0,3.0,5,1.6206896551724137
101,Pinus albicaulis,25,B,57805,2540,374,203,104,41,1.0,0,1,1.0,1.0,2.0,2.0,3.0,6,1.8423645320197044
101,Pinus albicaulis,50,A,57920,2467,329,117,74,50,1.0,0,1,1.0,1.0,2.0,4.0,6.0,10,2.8119658119658117
101,Pinus albicaulis,50,B,57805,2540,374,113,77,54,1.0,0,1,1.0,1.0,2.0,4.0,7.0,14,3.309734513274336
