fia_species_code,fia_name_raw,scientific_name,common_name,taxon_rank,species_level_flag,native_status_if_available,woodland_drc_flag,grain_km,n_unique_plot_lineages_total,n_detection_plots_total,qualifying_tree_records,n_sampled_cells_total,n_detection_cells_total,n_plots_A,n_plots_B,n_detection_plots_A,n_detection_plots_B,n_sampled_cells_A,n_sampled_cells_B,n_detection_cells_A,n_detection_cells_B,n_detection_cells_both_folds,n_detection_cells_A_only,n_detection_cells_B_only,cell_detection_IoU_AB,detection_cell_count_ratio_AB,detection_cell_count_ratio_A_over_B,detection_plot_count_ratio_AB,detection_plot_count_ratio_A_over_B,fraction_detection_cells_one_positive_plot,n_connected_components_detection_support,largest_component_fraction,spatial_span_km,n_connected_components_detection_support_A,largest_component_fraction_A,spatial_span_km_A,n_connected_components_detection_support_B,largest_component_fraction_B,spatial_span_km_B,geometry_information_flag,tpa_unadj_available_fraction,formal_expansion_metadata_status,obvious_variance_support_failure,hard_detection_is_not_latent_support_truth,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean,tree_records_per_detected_cell_min,tree_records_per_detected_cell_q10,tree_records_per_detected_cell_q25,tree_records_per_detected_cell_median,tree_records_per_detected_cell_q75,tree_records_per_detected_cell_q90,tree_records_per_detected_cell_max,tree_records_per_detected_cell_mean
756,Prosopis glandulosa,Prosopis glandulosa,honey mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,75,115725,2489,13909,1441,153,57920,57805,1244,1245,1411,1397,135,130,112,23,18,0.7320261437908496,0.9629629629629629,1.0384615384615385,0.9991967871485944,0.9991967871485944,0.16993464052287582,8,0.934640522875817,2355.0477702161375,8,0.7555555555555555,2250.0,5,0.9692307692307692,2295.784179752095,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,2.0,10.0,24.0,44.0,65,16.26797385620915,1,2.200000000000001,7.0,32.0,132.0,287.4000000000005,528,90.90849673202614
757,Prosopis velutina,Prosopis velutina,velvet mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,25,115725,241,1475,10051,106,57920,57805,116,125,9235,9171,72,70,36,36,34,0.33962264150943394,0.9722222222222222,1.0285714285714285,0.928,0.928,0.5188679245283019,17,0.7547169811320755,790.5694150420948,18,0.375,730.1540933255117,21,0.5,763.2168761236874,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,1.0,3.0,4.5,8,2.2735849056603774,1,1.0,2.0,7.0,21.0,33.0,80,13.915094339622641
757,Prosopis velutina,Prosopis velutina,velvet mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,50,115725,241,1475,2970,50,57920,57805,116,125,2846,2830,38,41,29,9,12,0.58,0.926829268292683,0.926829268292683,0.928,0.928,0.28,4,0.92,790.5694150420948,4,0.9210526315789473,710.6335201775947,4,0.8780487804878049,763.2168761236874,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,3.0,6.0,11.0,27,4.82,1,2.0,4.0,16.5,36.0,75.6,226,29.5
757,Prosopis velutina,Prosopis velutina,velvet mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,75,115725,241,1475,1441,27,57920,57805,116,125,1411,1397,24,23,20,4,3,0.7407407407407407,0.9583333333333334,1.0434782608695652,0.928,0.928,0.14814814814814814,3,0.8888888888888888,750.0,4,0.875,750.0,3,0.9130434782608695,707.5485849042452,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,2.0,5.0,9.5,25.00000000000001,33,8.925925925925926,1,3.6,7.0,27.0,65.5,160.80000000000007,281,54.629629629629626
758,Prosopis pubescens,Prosopis pubescens,screwbean mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,25,115725,1,2,10051,1,57920,57805,1,0,9235,9171,1,0,0,1,0,0.0,0.0,,0.0,,1.0,1,1.0,0.0,1,1.0,0.0,0,,,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2,2.0,2.0,2.0,2.0,2.0,2,2.0
758,Prosopis pubescens,Prosopis pubescens,screwbean mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,50,115725,1,2,2970,1,57920,57805,1,0,2846,2830,1,0,0,1,0,0.0,0.0,,0.0,,1.0,1,1.0,0.0,1,1.0,0.0,0,,,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2,2.0,2.0,2.0,2.0,2.0,2,2.0
758,Prosopis pubescens,Prosopis pubescens,screwbean mesquite,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,1,75,115725,1,2,1441,1,57920,57805,1,0,1411,1397,1,0,0,1,0,0.0,0.0,,0.0,,1.0,1,1.0,0.0,1,1.0,0.0,0,,,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2,2.0,2.0,2.0,2.0,2.0,2,2.0
760,Prunus spp.,Prunus spp.,Prunus,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,25,115725,6,6,10051,6,57920,57805,4,2,9235,9171,4,2,0,4,2,0.0,0.5,2.0,0.5,2.0,1.0,6,0.16666666666666666,1352.081728298996,4,0.25,989.0020222426241,2,0.5,625.4998001598402,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
760,Prunus spp.,Prunus spp.,Prunus,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,50,115725,6,6,2970,6,57920,57805,4,2,2846,2830,4,2,0,4,2,0.0,0.5,2.0,0.5,2.0,1.0,6,0.16666666666666666,1328.5330255586423,4,0.25,965.6603957913983,2,0.5,600.0,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
760,Prunus spp.,Prunus spp.,Prunus,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,75,115725,6,6,1441,6,57920,57805,4,2,1411,1397,4,2,0,4,2,0.0,0.5,2.0,0.5,2.0,1.0,6,0.16666666666666666,1352.081728298996,4,0.25,1044.629120788809,2,0.5,600.0,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
