detection_band,fia_species_code,species,physical_plot_lineage_ID,selected_primary_measurement_ID,year,state,P2PANEL,AB_fold,projected_x_m,projected_y_m,cell_25km,cell_50km,cell_75km,species_detected,qualifying_tree_records_for_species,trace_selection_rule
HIGH_DETECTION,611,Liquidambar styraciflua,100633061010478,749621284290487,2021,MS,1,A,612909.9130369548,1091507.5112591572,25km_24_43,50km_12_21,75km_8_14,1,14,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,70418572010478,1210916597290487,2023,LA,1,A,334124.72430477076,1043418.4672597311,25km_13_41,50km_6_20,75km_4_13,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,56680649010478,533665298126144,2019,GA,5,B,1220640.1362873057,1108657.7326932903,25km_48_44,50km_24_22,75km_16_14,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,35381338010690,429485479489998,2019,NV,1,A,-1810809.4340817258,1914341.131125114,25km_-73_76,50km_-37_38,75km_-25_25,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,66031883010661,821615094290487,2022,MN,4,B,226556.6852830339,2790958.840482721,25km_9_111,50km_4_55,75km_3_37,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,40401165010690,670953738126144,2022,NV,4,A,-1698641.2758855335,1848128.549238679,25km_-68_73,50km_-34_36,75km_-23_24,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,92225094010661,514080415126144,2018,MN,1,A,107351.42417578846,2778401.335172872,25km_4_111,50km_2_55,75km_1_37,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,90718709010661,722613025290487,2021,WI,1,A,458955.52916256146,2291888.3643869143,25km_18_91,50km_9_45,75km_6_30,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,67056815010661,451193742489998,2018,MO,4,A,139272.5886446812,1642128.2904963,25km_5_65,50km_2_32,75km_1_21,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,31459135010690,188768938020004,2018,MT,5,A,-1037592.3486325318,2602619.318084906,25km_-42_104,50km_-21_52,75km_-14_34,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,74601618010478,386054017489998,2017,KY,2,A,1149713.3457091434,1767503.7150134258,25km_45_70,50km_22_35,75km_15_23,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,143600813010854,635268036126144,2020,TX,5,B,-436256.81460761535,914450.4259874374,25km_-18_36,50km_-9_18,75km_-6_12,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,611,Liquidambar styraciflua,53107527010538,1184860092290487,2023,ME,5,A,2123856.242880827,2820872.958381541,25km_84_112,50km_42_56,75km_28_37,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,304200421489998,1185821691290487,2023,MO,2,B,334870.0020207113,1539187.1307831425,25km_13_61,50km_6_30,75km_4_20,1,20,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,79228179010478,740835237290487,2021,VA,2,B,1426285.9411533838,1684119.5969470274,25km_57_67,50km_28_33,75km_19_22,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,43266354020004,815077790290487,2022,GA,2,A,1167676.9188372707,1252643.4319975413,25km_46_50,50km_23_25,75km_15_16,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,43914290010478,480976952489998,2017,VA,5,B,1646704.1307592774,1731116.1989754522,25km_65_69,50km_32_34,75km_21_23,1,3,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,74642504010478,495155043126144,2018,KY,4,A,1031574.0004706067,1633071.06459352,25km_41_65,50km_20_32,75km_13_21,1,4,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,144988709010661,719393319290487,2021,CT,1,B,1951321.4629625112,2277434.9106968353,25km_78_91,50km_39_45,75km_26_30,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,58285461010538,375840783489998,2017,PA,3,A,1328391.681078351,2124865.872020972,25km_53_84,50km_26_42,75km_17_28,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,24116709010478,488022557489998,2018,SC,5,B,1190893.5628322363,1403359.336802991,25km_47_56,50km_23_28,75km_15_18,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,32432396010478,946016034290487,2022,TN,2,A,764259.1996787464,1458049.0263961013,25km_30_58,50km_15_29,75km_10_19,1,7,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,69901440010661,603060288126144,2020,WI,5,A,468405.17493715923,2395382.8212778615,25km_18_95,50km_9_47,75km_6_31,1,7,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,802,Quercus alba,68759550010661,1185817687290487,2023,MN,5,A,344391.488071111,2715776.858696292,25km_13_108,50km_6_54,75km_4_36,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
