check_id,stage,scope,expected,observed,status,blocking,details
P0_SPECIES_BLIND_ORDER,P0,execution order,schema gate before species identity/TREE.SPCD,P0 completed before authority species rows or TREE.SPCD were read,PASS,YES,
STARTING_UNIVERSE_IDENTITY,D1,Range Gate v02 PASS_COARSE,101,rows=101;unique_ids=101,PASS,YES,
AUTH_D08B1_MEMBER_SHA256,AUTHORITY,outputs/Q1_ANALYSIS_SPECIES_MASTER_v02.csv,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,PASS,YES,
AUTH_D08B1_MEMBER_SHA256,AUTHORITY,outputs/Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02.csv,d19db4f15c2f5f3f328d39bbc9ad17486a384de509253ff0c237ee25ab481cdd,d19db4f15c2f5f3f328d39bbc9ad17486a384de509253ff0c237ee25ab481cdd,PASS,YES,
AUTH_D08B1_MEMBER_SHA256,AUTHORITY,outputs/Q1_GLOBAL_RANGE_FLAGS_v02.csv,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,PASS,YES,
AUTH_D08B1_MEMBER_SHA256,AUTHORITY,outputs/Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,PASS,YES,
D08B1_AUTHORITY_CLOSURE,D1,frozen taxonomy/native authority,396 unique raw codes and all 101 species in master/global flags,code_rows=396;unique_codes=396;master=361;global=361,PASS,YES,
D1_STARTING_SPECIES_HAVE_FROZEN_CONTRIBUTORS,D1,101 accepted species,101,101,PASS,YES,
NATIVE_STATE_CROSSWALK,D2,48 CONUS states,47 exact + 1 authorized RI/RHO alias,exact=47;alias=1,PASS,YES,
OPERATIONAL_NATIVE_DOMAIN_CLOSURE,D2,101 species,at least one confirmed-native CONUS state each,101,PASS,YES,
F0_PARTITION_IDENTITY,F0,D09C final partitions,48 states,rows=48;states=48,PASS,YES,
F0_PLOT_FRAME_CLOSURE,F0,48-state whole-panel F0,positive A/B plot counts in every state,plots=338619;state_fold_cells=96,PASS,YES,
F0_PLOT_COUNTS_RECONCILE_TO_FROZEN_TI,F0,48 states x A/B,zero mismatches,0,PASS,YES,[]
F0_WV_MERGED_FRAME_IDENTITY,F0,WV,R2 sparse fallback with EU3 partner EU4,class=R2;fallback=1;partner=4,PASS,YES,
F0_OR_LINKAGE_TREATMENT,F0,OR 412301,4 retained PLT_CN-resolved mismatches,4,PASS,YES,No STATECD/INVYR rewrite
OBSERVATION_LINK_KEY_DETERMINISM,D3,F0 COND/SUBPLOT,zero conflicting or missing keys,{},PASS,YES,
D3_STATE_FOLD_OPPORTUNITY_CLOSURE,D3,48 states x A/B,96 positive legitimate-opportunity cells,96,PASS,YES,"{""NO_ACCESSIBLE_FOREST_CONDITION"": 202123, ""NO_RELEVANT_SAMPLED_SUBPLOT"": 203773, ""PLOT_STATUS_NOT_SAMPLED"": 202123}"
TREE_UNIQUE_KEY,D1_D2,F0 live DIA>=5 TREE.CN,0 duplicates,0,PASS,YES,
TREE_PLT_CN_LINKAGE_DIAGNOSTIC,D2,retained TREE records,PLT_CN authoritative; mismatches audited,state_mismatch=0;invyr_mismatch=0,PASS,NO,Accepted OR and all other records retain PLT_CN linkage; no key rewrite
SPECIES_LEDGER_ROW_COUNT,FINAL,eligibility ledger,101,101,PASS,YES,
SPECIES_MECHANICAL_CLASSIFICATION,FINAL,eligibility ledger,all 101 have one allowed status,101,PASS,YES,"{""D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE"": 93, ""FAIL_D4_NO_POSITIVE_ENCOUNTER_A"": 1, ""ONE_DIRECTION_ONLY_DIAGNOSTIC"": 7}"
NO_ABUNDANCE_TOTAL,BOUNDARY,D08C2,not computed,not computed,PASS,YES,
NO_OCCUPANCY_OR_DETECTION_MODEL,BOUNDARY,D08C2,not fitted,not fitted,PASS,YES,
NO_SUPPORT_OR_GEOMETRY_GATE,BOUNDARY,D08C2,not run,not run,PASS,YES,
NO_GRID,BOUNDARY,D08C2,NO GRID REQUIRED,no grid read/generated,PASS,YES,
NO_NETWORK_ACQUISITION,BOUNDARY,runner,local-only,standard-library local filesystem/SQLite/ZIP only,PASS,YES,
CENTRAL_REGISTRY_NOT_MODIFIED,GOVERNANCE,Registry,delta only,REGISTRY_DELTA_v01.csv only,PASS,YES,
TASK_LEVEL_STATUS,FINAL,D08C2_CORRECTED_CONSTRUCTIBILITY_v01,PASS_READY_FOR_MAINLINE_OBSERVATION_GATE_AUDIT,PASS_READY_FOR_MAINLINE_OBSERVATION_GATE_AUDIT,PASS,YES,Eligible-species count is descriptive and not a PASS criterion
