fia_species_code,fia_name_raw,mapping_present_in_frozen_d08b1,mapping_class,taxonomy_resolution_status,analysis_species_id,analysis_species_name,belongs_to_101_starting_universe,f0_live_large_tree_count,f0_live_large_tree_state_codes,f0_live_large_tree_folds,f0_native_candidate_tree_count,valid_encounter_tree_count,valid_encounter_tree_count_A,valid_encounter_tree_count_B,outside_operational_native_domain_tree_count,invalid_native_candidate_link_tree_count,outside_starting_universe_tree_count,unmapped_tree_count,valid_encounter_state_codes,valid_encounter_folds,silent_drop_used
111,Pinus elliottii,1,ACCEPTED_SPECIES,RESOLVED,379943,Pinus elliottii,1,35216,1;12;13;22;28;37;45;48,A;B,34755,34074,13378,20696,461,681,0,0,1;12;13;22;28;45,A;B,NO
112,Pinus engelmannii,1,ACCEPTED_SPECIES,RESOLVED,379946,Pinus engelmannii,0,4,4,A;B,0,0,0,0,0,0,4,0,,,NO
113,Pinus flexilis,1,ACCEPTED_SPECIES,RESOLVED,379971,Pinus flexilis,0,3899,4;6;8;16;30;32;35;49;56,A;B,0,0,0,0,0,0,3899,0,,,NO
114,Pinus strobiformis,1,ACCEPTED_SPECIES,RESOLVED,380012,Pinus strobiformis,0,430,4;8;35,A;B,0,0,0,0,0,0,430,0,,,NO
115,Pinus glabra,1,ACCEPTED_SPECIES,RESOLVED,379966,Pinus glabra,1,744,1;12;13;22;28;45,A;B,744,737,328,409,0,7,0,0,1;12;13;22;28;45,A;B,NO
116,Pinus jeffreyi,1,ACCEPTED_SPECIES,RESOLVED,379708,Pinus jeffreyi,0,5848,6;32;41,A;B,0,0,0,0,0,0,5848,0,,,NO
117,Pinus lambertiana,1,ACCEPTED_SPECIES,RESOLVED,379703,Pinus lambertiana,0,3650,6;41,A;B,0,0,0,0,0,0,3650,0,,,NO
118,Pinus leiophylla,1,ACCEPTED_SPECIES,RESOLVED,379770,Pinus leiophylla,0,31,4;35,A;B,0,0,0,0,0,0,31,0,,,NO
119,Pinus monticola,1,ACCEPTED_SPECIES,RESOLVED,380255,Pinus monticola,0,2843,6;16;30;32;41;53,A;B,0,0,0,0,0,0,2843,0,,,NO
120,Pinus muricata,1,ACCEPTED_SPECIES,RESOLVED,380239,Pinus muricata,0,89,6,A;B,0,0,0,0,0,0,89,0,,,NO
121,Pinus palustris,1,ACCEPTED_SPECIES,RESOLVED,380268,Pinus palustris,1,15350,1;12;13;22;28;37;45;48;51,A;B,15350,15161,5918,9243,0,189,0,0,1;12;13;22;28;37;45;48;51,A;B,NO
122,Pinus ponderosa,1,ACCEPTED_SPECIES,RESOLVED,380358,Pinus ponderosa,0,92720,4;6;8;16;20;30;31;32;35;38;41;46;48;49;53;56,A;B,0,0,0,0,0,0,92720,0,,,NO
123,Pinus pungens,1,ACCEPTED_SPECIES,RESOLVED,380272,Pinus pungens,1,787,13;24;36;37;42;47;51;54,A;B,786,782,247,535,1,4,0,0,13;24;37;42;47;51;54,A;B,NO
124,Pinus radiata,1,ACCEPTED_SPECIES,RESOLVED,380297,Pinus radiata,0,51,6,A;B,0,0,0,0,0,0,51,0,,,NO
125,Pinus resinosa,1,ACCEPTED_SPECIES,RESOLVED,380302,Pinus resinosa,0,25128,9;17;18;23;24;26;27;33;34;36;39;42;50;54;55,A;B,0,0,0,0,0,0,25128,0,,,NO
126,Pinus rigida,1,ACCEPTED_SPECIES,RESOLVED,380293,Pinus rigida,0,5824,9;13;21;23;24;25;33;34;36;37;39;42;44;45;47;51;54,A;B,0,0,0,0,0,0,5824,0,,,NO
127,Pinus sabiniana,1,ACCEPTED_SPECIES,RESOLVED,380011,Pinus sabiniana,1,699,6,A;B,699,664,276,388,0,35,0,0,6,A;B,NO
128,Pinus serotina,1,ACCEPTED_SPECIES,RESOLVED,379991,Pinus serotina,1,2128,12;13;34;37;45;51,A;B,2128,2089,864,1225,0,39,0,0,12;13;34;37;45;51,A;B,NO
129,Pinus strobus,1,ACCEPTED_SPECIES,RESOLVED,380022,Pinus strobus,0,33662,9;13;17;18;19;20;21;23;24;25;26;27;29;33;34;36;37;39;42;44;45;47;50;51;54;55,A;B,0,0,0,0,0,0,33662,0,,,NO
130,Pinus sylvestris,1,ACCEPTED_SPECIES,RESOLVED,380126,Pinus sylvestris,0,1530,9;16;17;18;19;23;24;26;27;29;31;34;36;38;39;41;42;44;46;50;51;54;55,A;B,0,0,0,0,0,0,1530,0,,,NO
131,Pinus taeda,1,ACCEPTED_SPECIES,RESOLVED,380129,Pinus taeda,1,270600,1;5;10;12;13;17;18;21;22;24;26;28;29;34;37;39;40;42;45;47;48;51;54,A;B,270034,264782,104893,159889,566,5252,0,0,1;5;10;12;13;21;22;24;28;37;40;45;47;48;51,A;B,NO
132,Pinus virginiana,1,ACCEPTED_SPECIES,RESOLVED,380091,Pinus virginiana,1,13962,1;5;10;13;18;21;24;28;34;37;39;42;45;47;51;54,A;B,13935,13504,5250,8254,27,431,0,0,1;10;13;18;21;24;28;34;37;39;42;45;47;51;54,A;B,NO
133,Pinus monophylla,1,ACCEPTED_SPECIES,RESOLVED,380231,Pinus monophylla,1,20515,4;6;16;32;49,A;B,20515,20413,8214,12199,0,102,0,0,4;6;16;32;49,A;B,NO
134,Pinus discolor,1,ACCEPTED_SPECIES,RESOLVED,379837,Pinus discolor,0,278,4;35,A;B,0,0,0,0,0,0,278,0,,,NO
135,Pinus arizonica,1,ACCEPTED_SPECIES,RESOLVED,380503,Pinus arizonica,0,11,4,B,0,0,0,0,0,0,11,0,,,NO
136,Pinus nigra,1,ACCEPTED_SPECIES,RESOLVED,380171,Pinus nigra,0,101,26;27;31;39;42,A;B,0,0,0,0,0,0,101,0,,,NO
137,Pinus washoensis,1,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,380358,Pinus ponderosa,0,37,6,A;B,0,0,0,0,0,0,37,0,,,NO
140,Pinus cembroides,1,ACCEPTED_SPECIES,RESOLVED,380484,Pinus cembroides,0,290,4;35;48,A;B,0,0,0,0,0,0,290,0,,,NO
141,Pinus remota,1,ACCEPTED_SPECIES,RESOLVED,380317,Pinus remota,0,51,48,A;B,0,0,0,0,0,0,51,0,,,NO
142,Pinus longaeva,1,ACCEPTED_SPECIES,RESOLVED,379762,Pinus longaeva,1,256,6;32;49,A;B,256,256,79,177,0,0,0,0,6;32;49,A;B,NO
143,Pinus monophylla var. fallax,1,ACCEPTED_HYBRID_NONCORE,RESOLVED_ACCEPTED_HYBRID_NONCORE,,,0,1278,4;35,A;B,0,0,0,0,0,0,1278,0,,,NO
201,Pseudotsuga macrocarpa,1,ACCEPTED_SPECIES,RESOLVED,378313,Pseudotsuga macrocarpa,1,24,6,A;B,24,23,6,17,0,1,0,0,6,A;B,NO
202,Pseudotsuga menziesii,1,ACCEPTED_SPECIES,RESOLVED,379633,Pseudotsuga menziesii,0,217372,4;6;8;16;26;30;32;35;36;41;42;48;49;53;56,A;B,0,0,0,0,0,0,217372,0,,,NO
211,Sequoia sempervirens,1,ACCEPTED_SPECIES,RESOLVED,378988,Sequoia sempervirens,1,6534,6;41,A;B,6534,6409,2581,3828,0,125,0,0,6;41,A;B,NO
212,Sequoiadendron giganteum,1,ACCEPTED_SPECIES,RESOLVED,381300,Sequoiadendron giganteum,1,48,6;41;53,A;B,35,35,20,15,13,0,0,0,6,A;B,NO
221,Taxodium distichum,1,ACCEPTED_SPECIES,RESOLVED,378596,Taxodium distichum,0,6846,1;5;10;12;13;17;21;22;24;28;29;37;39;45;47;48;51,A;B,0,0,0,0,0,0,6846,0,,,NO
222,Taxodium ascendens,1,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,378596,Taxodium distichum,0,8030,1;12;13;22;28;37;45,A;B,0,0,0,0,0,0,8030,0,,,NO
231,Taxus brevifolia,1,ACCEPTED_SPECIES,RESOLVED,378623,Taxus brevifolia,0,696,6;16;30;41;53,A;B,0,0,0,0,0,0,696,0,,,NO
241,Thuja occidentalis,1,ACCEPTED_SPECIES,RESOLVED,378542,Thuja occidentalis,0,41750,23;26;27;33;36;50;51;55,A;B,0,0,0,0,0,0,41750,0,,,NO
242,Thuja plicata,1,ACCEPTED_SPECIES,RESOLVED,378546,Thuja plicata,0,18618,6;16;30;41;53,A;B,0,0,0,0,0,0,18618,0,,,NO
251,Torreya californica,1,ACCEPTED_SPECIES,RESOLVED,378636,Torreya californica,1,38,6,A;B,38,38,19,19,0,0,0,0,6,A;B,NO
261,Tsuga canadensis,1,ACCEPTED_SPECIES,RESOLVED,379363,Tsuga canadensis,0,30317,1;9;13;21;23;24;25;26;33;34;36;37;39;42;44;45;47;50;51;54;55,A;B,0,0,0,0,0,0,30317,0,,,NO
262,Tsuga caroliniana,1,ACCEPTED_SPECIES,RESOLVED,379383,Tsuga caroliniana,1,15,37;51,A;B,15,15,5,10,0,0,0,0,37;51,A;B,NO
263,Tsuga heterophylla,1,ACCEPTED_SPECIES,RESOLVED,379395,Tsuga heterophylla,0,46373,6;16;30;41;53,A;B,0,0,0,0,0,0,46373,0,,,NO
264,Tsuga mertensiana,1,ACCEPTED_SPECIES,RESOLVED,379433,Tsuga mertensiana,0,14583,6;16;30;32;41;53,A;B,0,0,0,0,0,0,14583,0,,,NO
