analysis_species_id,analysis_species_name,fold,native_state_count,native_state_codes,f0_plot_visit_count_in_native_domain,legitimate_opportunity_plot_visit_count,encounter_plot_visit_count,qualifying_tree_count,f0_live_large_tree_count_all_states,f0_native_candidate_tree_count,outside_operational_native_domain_tree_count,invalid_native_candidate_link_tree_count,opportunity_positive,encounter_positive,direction_constructible,tp_unadj_used_for_eligibility,abundance_total_computed
379943,Pinus elliottii,B,6,1;12;13;22;28;45,20283,12848,1665,20696,35216,34755,461,681,1,1,1,NO,NO
379966,Pinus glabra,A,6,1;12;13;22;28;45,13494,8480,113,328,744,744,0,7,1,1,1,NO,NO
379966,Pinus glabra,B,6,1;12;13;22;28;45,20283,12848,183,409,744,744,0,7,1,1,1,NO,NO
379762,Pinus longaeva,A,3,6;32;49,14767,4091,18,79,256,256,0,0,1,1,1,NO,NO
379762,Pinus longaeva,B,3,6;32;49,22224,6176,18,177,256,256,0,0,1,1,1,NO,NO
380231,Pinus monophylla,A,5,4;6;16;32;49,23116,6924,752,8214,20515,20515,0,102,1,1,1,NO,NO
380231,Pinus monophylla,B,5,4;6;16;32;49,34532,10320,1103,12199,20515,20515,0,102,1,1,1,NO,NO
380268,Pinus palustris,A,9,1;12;13;22;28;37;45;48;51,27272,14479,709,5918,15350,15350,0,189,1,1,1,NO,NO
380268,Pinus palustris,B,9,1;12;13;22;28;37;45;48;51,41048,22027,1036,9243,15350,15350,0,189,1,1,1,NO,NO
380272,Pinus pungens,A,8,13;24;37;42;45;47;51;54,13229,8887,72,247,787,786,1,4,1,1,1,NO,NO
380272,Pinus pungens,B,8,13;24;37;42;45;47;51;54,19906,13460,132,535,787,786,1,4,1,1,1,NO,NO
380011,Pinus sabiniana,A,1,6,6693,2126,106,276,699,699,0,35,1,1,1,NO,NO
380011,Pinus sabiniana,B,1,6,10057,3141,149,388,699,699,0,35,1,1,1,NO,NO
379991,Pinus serotina,A,9,1;10;12;13;24;34;37;45;51,14432,9071,150,864,2128,2128,0,39,1,1,1,NO,NO
379991,Pinus serotina,B,9,1;10;12;13;24;34;37;45;51,21827,13793,207,1225,2128,2128,0,39,1,1,1,NO,NO
380129,Pinus taeda,A,15,1;5;10;12;13;21;22;24;28;37;40;45;47;48;51,36527,19051,6399,104893,270600,270034,566,5252,1,1,1,NO,NO
380129,Pinus taeda,B,15,1;5;10;12;13;21;22;24;28;37;40;45;47;48;51,54970,28855,9743,159889,270600,270034,566,5252,1,1,1,NO,NO
380091,Pinus virginiana,A,16,1;10;13;18;21;24;28;34;36;37;39;42;45;47;51;54,25016,15492,1031,5250,13962,13935,27,431,1,1,1,NO,NO
380091,Pinus virginiana,B,16,1;10;13;18;21;24;28;34;36;37;39;42;45;47;51;54,37685,23372,1585,8254,13962,13935,27,431,1,1,1,NO,NO
2551587,Planera aquatica,A,14,1;5;12;13;17;21;22;28;29;37;40;45;47;48,39299,19128,81,436,1161,1161,0,14,1,1,1,NO,NO
2551587,Planera aquatica,B,14,1;5;12;13;17;21;22;28;29;37;40;45;47;48,59239,29025,130,711,1161,1161,0,14,1,1,1,NO,NO
2959079,Prunus caroliniana,A,9,1;5;12;13;22;28;37;45;48,27610,14579,2,4,6,6,0,0,1,1,1,NO,NO
2959079,Prunus caroliniana,B,9,1;5;12;13;22;28;37;45;48,41553,22148,1,2,6,6,0,0,1,1,1,NO,NO
378313,Pseudotsuga macrocarpa,A,1,6,6693,2126,2,6,24,24,0,1,1,1,1,NO,NO
378313,Pseudotsuga macrocarpa,B,1,6,10057,3141,4,17,24,24,0,1,1,1,1,NO,NO
171657,Quercus arkansana,A,6,1;5;12;13;22;48,21686,10563,0,0,1,1,0,0,1,0,0,NO,NO
171657,Quercus arkansana,B,6,1;5;12;13;22;48,32614,16093,1,1,1,1,0,0,1,1,1,NO,NO
171890,Quercus buckleyi,A,2,40;48,12493,4163,45,150,463,463,0,16,1,1,1,NO,NO
171890,Quercus buckleyi,B,2,40;48,18816,6378,94,297,463,463,0,16,1,1,1,NO,NO
172244,Quercus coccinea,A,27,1;5;9;10;13;17;18;21;23;24;25;26;28;29;33;34;36;37;39;42;44;45;47;50;51;54;55,42727,25044,1667,4558,11343,11343,0,174,1,1,1,NO,NO
172244,Quercus coccinea,B,27,1;5;9;10;13;17;18;21;23;24;25;26;28;29;33;34;36;37;39;42;44;45;47;50;51;54;55,64265,37786,2456,6611,11343,11343,0,174,1,1,1,NO,NO
172538,Quercus douglasii,A,1,6,6693,2126,177,1229,3283,3283,0,124,1,1,1,NO,NO
172538,Quercus douglasii,B,1,6,10057,3141,264,1930,3283,3283,0,124,1,1,1,NO,NO
172729,Quercus falcata,A,23,1;5;10;12;13;17;18;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,49960,24960,1891,4008,10631,10631,0,294,1,1,1,NO,NO
172729,Quercus falcata,B,23,1;5;10;12;13;17;18;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,75373,37815,2965,6329,10631,10631,0,294,1,1,1,NO,NO
172866,Quercus geminata,A,7,1;12;13;22;28;37;45,15767,9887,25,124,216,216,0,0,1,1,1,NO,NO
