analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
73044,Eucalyptus grandis,W.Hill ex Maiden,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
83824,Fagus grandifolia,Ehrh.,SINGLE_SPECIES_LAYER,0,1,Fagus_grandifolia,ATLASG-0240,Fagus grandifolia,Fagus grandifolia,Ehrh.,SPECIES,individual_taxa/atlas_pages/Fagus_grandifolia.pdf,Fagus_grandifolia,3364,Little (1971),,,redigitized,1,,83824,Fagus grandifolia,Fagus grandifolia,Ehrh.,83824,Ehrh.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
113859,Liriodendron tulipifera,L.,SINGLE_SPECIES_LAYER,0,1,Liriodendron_tulipifera,ATLASG-0342,Liriodendron tulipifera,Liriodendron tulipifera,L.,SPECIES,individual_taxa/atlas_pages/Liriodendron_tulipifera.pdf,Liriodendron_tulipifera,2329,Little (1971),,,redigitized,1,,113859,Liriodendron tulipifera,Liriodendron tulipifera,L.,113859,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
117423,Magnolia acuminata,(L.) L.,SINGLE_SPECIES_LAYER,0,1,Magnolia_acuminata,ATLASG-0354,Magnolia acuminata,Magnolia acuminata,(L.) L.,SPECIES,individual_taxa/atlas_pages/Magnolia_acuminata.pdf,Magnolia_acuminata,740,Little (1971),,,redigitized,1,,117423,Magnolia acuminata,Magnolia acuminata,(L.)L.,117423,(L.) L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
117583,Magnolia fraseri,Walter,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0356,Magnolia fraseri,Magnolia fraseri,Walter,SPECIES,individual_taxa/atlas_pages/Magnolia_fraseri.pdf,Magnolia_fraseri,117,Little (1977),,,redigitized,1,,117583,Magnolia fraseri,Magnolia fraseri,Walter,117583,Walter,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
117583,Magnolia fraseri,Walter,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0359,Magnolia pyramidata,Magnolia pyramidata,W. Bartram,SPECIES,individual_taxa/atlas_pages/Magnolia_pyramidata.pdf,Magnolia_pyramidata,60,Little (1977),,,redigitized,1,,117583,Magnolia fraseri,Magnolia pyramidata,W.Bartram,117798,W.Bartram,Synonym,RESOLVED,Exact authored infraspecific component resolved through explicit parent to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
117615,Magnolia grandiflora,L.,SINGLE_SPECIES_LAYER,0,1,Magnolia_grandiflora,ATLASG-0357,Magnolia grandiflora,Magnolia grandiflora,L.,SPECIES,individual_taxa/atlas_pages/Magnolia_grandiflora.pdf,Magnolia_grandiflora,582,Little (1971),,,redigitized,1,,117615,Magnolia grandiflora,Magnolia grandiflora,L.,117615,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
117698,Magnolia macrophylla,Michx.,SINGLE_SPECIES_LAYER,0,1,Magnolia_macrophylla,ATLASG-0358,Magnolia macrophylla,Magnolia macrophylla,Michx.,SPECIES,individual_taxa/atlas_pages/Magnolia_macrophylla.pdf,Magnolia_macrophylla,231,Little (1977),,,redigitized,1,,117698,Magnolia macrophylla,Magnolia macrophylla,Michx.,117698,Michx.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
117869,Magnolia tripetala,(L.) L.,SINGLE_SPECIES_LAYER,0,1,Magnolia_tripetala,ATLASG-0360,Magnolia tripetala,Magnolia tripetala,(L.) L.,SPECIES,individual_taxa/atlas_pages/Magnolia_tripetala.pdf,Magnolia_tripetala,277,Little (1977),,,redigitized,1,,117869,Magnolia tripetala,Magnolia tripetala,(L.)L.,117869,(L.) L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
117883,Magnolia virginiana,L.,SINGLE_SPECIES_LAYER,0,1,Magnolia_virginiana,ATLASG-0361,Magnolia virginiana,Magnolia virginiana,L.,SPECIES,individual_taxa/atlas_pages/Magnolia_virginiana.pdf,Magnolia_virginiana,1036,Little (1971),,,redigitized,1,,117883,Magnolia virginiana,Magnolia virginiana,L.,117883,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
123857,Melaleuca quinquenervia,(Cav.) S.T.Blake,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
136188,Nyssa aquatica,L.,SINGLE_SPECIES_LAYER,0,1,Nyssa_aquatica,ATLASG-0388,Nyssa aquatica,Nyssa aquatica,L.,SPECIES,individual_taxa/atlas_pages/Nyssa_aquatica.pdf,Nyssa_aquatica,689,Little (1971),,,redigitized,1,,136188,Nyssa aquatica,Nyssa aquatica,L.,136188,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
136191,Nyssa biflora,Walter,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
136212,Nyssa ogeche,W.Bartram ex Marshall,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
136221,Nyssa sylvatica,Marshall,SINGLE_SPECIES_LAYER,0,1,Nyssa_sylvatica,ATLASG-0390,Nyssa sylvatica,Nyssa sylvatica,Marshall,SPECIES,individual_taxa/atlas_pages/Nyssa_sylvatica.pdf,Nyssa_sylvatica,2940,Little (1971),,,redigitized,1,,136221,Nyssa sylvatica,Nyssa sylvatica,Marshall,136221,Marshall,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
