fia_species_code,fia_name_raw,fia_scientific_name,fia_concept_author,fia_author_evidence_status,matched_wcvp_plant_name_id,matched_wcvp_taxon_name,matched_wcvp_taxon_authors,matched_wcvp_taxon_status,matched_wcvp_taxon_rank,accepted_taxon_id,accepted_taxon_name,accepted_taxon_authors,accepted_taxon_status,accepted_taxon_rank,terminal_target_taxon_id,terminal_target_taxon_name,terminal_target_taxon_authors,terminal_target_taxon_status,terminal_target_taxon_rank,analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,mapping_class,taxonomy_resolution_status,hybrid_or_nothotaxon_flag,ordinary_analysis_species_flag,no_analysis_species_reason,distribution_query_plant_name_id,terminal_target_hybrid_formula,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,distribution_query_taxon_name,diameter_measurement_basis,woodland_indicator,dia_threshold_inches,main_analysis_candidate_retained_flag,dbh_only_sensitivity_component_flag,supplementary_sensitivity_candidate_flag,d08b1_correction_applied_flag,d08b1_correction_case_class,d08b1_authority_source,v01_mapping_class,v01_taxonomy_resolution_status
59,Juniperus coahuilensis,Juniperus coahuilensis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377511,Juniperus coahuilensis,(Martínez) Gaussen ex R.P.Adams,Accepted,Species,377511,Juniperus coahuilensis,(Martínez) Gaussen ex R.P.Adams,Accepted,Species,377511,Juniperus coahuilensis,(Martínez) Gaussen ex R.P.Adams,Accepted,Species,377511,Juniperus coahuilensis,(Martínez) Gaussen ex R.P.Adams,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377511,,,0,Juniperus coahuilensis,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
60,Juniperus flaccida,Juniperus flaccida,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377397,Juniperus flaccida,Schltdl.,Accepted,Species,377397,Juniperus flaccida,Schltdl.,Accepted,Species,377397,Juniperus flaccida,Schltdl.,Accepted,Species,377397,Juniperus flaccida,Schltdl.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377397,,,0,Juniperus flaccida,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
61,Juniperus ashei,Juniperus ashei,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377454,Juniperus ashei,J.Buchholz,Accepted,Species,377454,Juniperus ashei,J.Buchholz,Accepted,Species,377454,Juniperus ashei,J.Buchholz,Accepted,Species,377454,Juniperus ashei,J.Buchholz,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377454,,,0,Juniperus ashei,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
62,Juniperus californica,Juniperus californica,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377520,Juniperus californica,Carrière,Accepted,Species,377520,Juniperus californica,Carrière,Accepted,Species,377520,Juniperus californica,Carrière,Accepted,Species,377520,Juniperus californica,Carrière,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377520,,,0,Juniperus californica,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
63,Juniperus deppeana,Juniperus deppeana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377371,Juniperus deppeana,Steud.,Accepted,Species,377371,Juniperus deppeana,Steud.,Accepted,Species,377371,Juniperus deppeana,Steud.,Accepted,Species,377371,Juniperus deppeana,Steud.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377371,,,0,Juniperus deppeana,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
64,Juniperus occidentalis,Juniperus occidentalis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377592,Juniperus occidentalis,Hook.,Accepted,Species,377592,Juniperus occidentalis,Hook.,Accepted,Species,377592,Juniperus occidentalis,Hook.,Accepted,Species,377592,Juniperus occidentalis,Hook.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377592,,,0,Juniperus occidentalis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
65,Juniperus osteosperma,Juniperus osteosperma,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377597,Juniperus osteosperma,(Torr.) Little,Accepted,Species,377597,Juniperus osteosperma,(Torr.) Little,Accepted,Species,377597,Juniperus osteosperma,(Torr.) Little,Accepted,Species,377597,Juniperus osteosperma,(Torr.) Little,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377597,,,0,Juniperus osteosperma,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
66,Juniperus scopulorum,Juniperus scopulorum,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377330,Juniperus scopulorum,Sarg.,Accepted,Species,377330,Juniperus scopulorum,Sarg.,Accepted,Species,377330,Juniperus scopulorum,Sarg.,Accepted,Species,377330,Juniperus scopulorum,Sarg.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377330,,,0,Juniperus scopulorum,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
67,Juniperus virginiana var. silicicola,Juniperus virginiana var. silicicola,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377291,Juniperus virginiana var. silicicola,(Small) A.E.Murray,Accepted,Variety,377291,Juniperus virginiana var. silicicola,(Small) A.E.Murray,Accepted,Variety,377291,Juniperus virginiana var. silicicola,(Small) A.E.Murray,Accepted,Variety,377287,Juniperus virginiana,L.,Species,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,0,1,,377287,,,0,Juniperus virginiana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED
68,Juniperus virginiana,Juniperus virginiana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377287,Juniperus virginiana,L.,Accepted,Species,377287,Juniperus virginiana,L.,Accepted,Species,377287,Juniperus virginiana,L.,Accepted,Species,377287,Juniperus virginiana,L.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377287,,,0,Juniperus virginiana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
