analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,analysis_species_hybrid_flag,ordinary_core_class,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name,source_code_map_version
35028,Castanea pumila,(L.) Mill.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30006331-2,30006331-2,Y,1,422,Castanea pumila,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,35028,Castanea pumila,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
39927,Chrysolepis chrysophylla,(Douglas ex Hook.) Hjelmq.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,57670-2,57670-2,Y,1,431,Chrysolepis chrysophylla var. chrysophylla,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,0,1,1,0,DBH_ONLY,1,1,1,0,39927,Chrysolepis chrysophylla,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
47363,Cornus florida,L.,Cornaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,271574-1,271574-1,Y,1,491,Cornus florida,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,47363,Cornus florida,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
47451,Cornus nuttallii,Audubon ex Torr. & A.Gray,Cornaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,66154-2,66154-2,Y,1,492,Cornus nuttallii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,47451,Cornus nuttallii,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
73008,Eucalyptus globulus,Labill.,Myrtaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,592965-1,592965-1,Y,1,511,Eucalyptus globulus,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,73008,Eucalyptus globulus,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
73044,Eucalyptus grandis,W.Hill ex Maiden,Myrtaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,592976-1,592976-1,Y,1,513,Eucalyptus grandis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,73044,Eucalyptus grandis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
83824,Fagus grandifolia,Ehrh.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295597-1,295597-1,Y,1,531,Fagus grandifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,83824,Fagus grandifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
113859,Liriodendron tulipifera,L.,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30197364-2,30197364-2,Y,1,621,Liriodendron tulipifera,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,113859,Liriodendron tulipifera,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
117423,Magnolia acuminata,(L.) L.,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,554627-1,554627-1,Y,1,651,Magnolia acuminata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117423,Magnolia acuminata,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
117583,Magnolia fraseri,Walter,Magnoliaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30302949-2,30302949-2,Y,1,655,Magnolia fraseri,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,117583,Magnolia fraseri,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
