analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
2383853,Neltuma glandulosa,(Torr.) Britton & Rose,SINGLE_OFFICIAL_ALIAS_LAYER,1,0,,ATLASG-0462,Prosopis glandulosa,Prosopis glandulosa,Torr.,SPECIES,individual_taxa/atlas_pages/Prosopis_glandulosa.pdf,Prosopis_glandulosa,1889,Benson and Darrow (1981); SEINet (2013); Calflora (2013),Burkart (1976),Prosopis glandulosa as used here includes what has been known as either Prosopis glandulosa var. torreyana or Prosopis juliflora var. torreyana,new,1,,2383853,Neltuma glandulosa,Prosopis glandulosa,Torr.,2536023,Torr.,Synonym,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
2469375,Zanthoxylum clava-herculis,L.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0687,Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,L.,SPECIES,individual_taxa/atlas_pages/Zanthoxylum_clava-herculis.pdf,Zanthoxylum_clava-herculis,545,Little (1977),,,redigitized,1,,2469375,Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,L.,2469375,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2469375,Zanthoxylum clava-herculis,L.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0689,Zanthoxylum hirsutum,Zanthoxylum hirsutum,Buckley,SPECIES,individual_taxa/atlas_pages/Zanthoxylum_hirsutum.pdf,Zanthoxylum_hirsutum,180,Little (1977),,,redigitized,1,,2469375,Zanthoxylum clava-herculis,Zanthoxylum hirsutum,Buckley,2469455,Buckley,Synonym,RESOLVED,Exact authored infraspecific component resolved through explicit parent to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2518218,Tilia americana,L.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2540278,Piscidia piscipula,(L.) Sarg.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2601502,Swietenia mahagoni,(L.) Jacq.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2701748,Carya aquatica,(F.Michx.) Nutt. ex Elliott,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2701789,Carya laciniosa,(F.Michx.) G.Don,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2701803,Carya myristiciformis,(F.Michx.) Nutt. ex Elliott,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
2701846,Carya pallida,(Ashe) Engelm. & Graebn.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
