analysis_species_id,analysis_species_name,wcvp_distribution_record_count,confirmed_current_native_record_count,native_historical_extinct_record_count,native_location_doubtful_record_count,introduced_audit_record_count,all_distribution_flags_valid_binary,confirmed_native_CONUS,confirmed_native_Canada,confirmed_native_Alaska,confirmed_native_Mexico,confirmed_native_Central_America,confirmed_native_outside_USA_Canada,confirmed_native_outside_North_America,transcontinental_circumboreal_global_extension_flag,introduced_in_CONUS_audit_flag,extinct_native_outside_primary_CONUS_domain_flag,doubtful_native_outside_primary_CONUS_domain_flag,confirmed_native_level3_areas,confirmed_native_outside_USA_Canada_level3_areas,confirmed_native_outside_North_America_level3_areas,introduced_CONUS_level3_areas,extinct_native_outside_domain_level3_areas,doubtful_native_outside_domain_level3_areas,macro_region_rule_version
21620,Betula populifolia,22,22,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CNT:Connecticut;DEL:Delaware;ILL:Illinois;INI:Indiana;MAI:Maine;MAS:Massachusetts;MRY:Maryland;NBR:New Brunswick;NCA:North Carolina;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;VER:Vermont;VRG:Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
34302,Carpinus caroliniana,36,36,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KAN:Kansas;KTY:Kentucky;LOU:Louisiana;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;ONT:Ontario;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VER:Vermont;VRG:Virginia;WIS:Wisconsin;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
34965,Castanea dentata,29,29,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;KTY:Kentucky;LOU:Louisiana;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WIS:Wisconsin;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
35016,Castanea mollissima,14,5,0,0,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,CHC:China South-Central;CHN:China North-Central;CHS:China Southeast;KOR:Korea;MYA:Myanmar,CHC:China South-Central;CHN:China North-Central;CHS:China Southeast;KOR:Korea;MYA:Myanmar,CHC:China South-Central;CHN:China North-Central;CHS:China Southeast;KOR:Korea;MYA:Myanmar,ALA:Alabama;ARK:Arkansas;FLA:Florida;ILL:Illinois;KTY:Kentucky;MAS:Massachusetts;OHI:Ohio,,,TAXON_RANGE_BUILD_CONTRACT_v01
35021,Castanea ozarkensis,5,5,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ARK:Arkansas;LOU:Louisiana;MSO:Missouri;OKL:Oklahoma;TEX:Texas,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
35028,Castanea pumila,22,22,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;DEL:Delaware;FLA:Florida;GEO:Georgia;INI:Indiana;KTY:Kentucky;LOU:Louisiana;MAS:Massachusetts;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;NWY:New York;OKL:Oklahoma;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
39927,Chrysolepis chrysophylla,3,3,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CAL:California;ORE:Oregon;WAS:Washington,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
47363,Cornus florida,35,35,0,0,0,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;KAN:Kansas;KTY:Kentucky;LOU:Louisiana;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MRY:Maryland;MSI:Mississippi;MSO:Missouri;MXE:Mexico Northeast;MXG:Mexico Gulf;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VER:Vermont;VRG:Virginia;WDC:District of Columbia;WVA:West Virginia,MXE:Mexico Northeast;MXG:Mexico Gulf,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
47451,Cornus nuttallii,5,5,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BRC:British Columbia;CAL:California;IDA:Idaho;ORE:Oregon;WAS:Washington,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
73008,Eucalyptus globulus,51,2,0,0,49,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TAS:Tasmania;VIC:Victoria,TAS:Tasmania;VIC:Victoria,TAS:Tasmania;VIC:Victoria,CAL:California,,,TAXON_RANGE_BUILD_CONTRACT_v01
73044,Eucalyptus grandis,21,2,0,0,19,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NSW:New South Wales;QLD:Queensland,NSW:New South Wales;QLD:Queensland,NSW:New South Wales;QLD:Queensland,CAL:California;FLA:Florida,,,TAXON_RANGE_BUILD_CONTRACT_v01
83824,Fagus grandifolia,37,37,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;KTY:Kentucky;LOU:Louisiana;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NBR:New Brunswick;NCA:North Carolina;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VER:Vermont;VRG:Virginia;WDC:District of Columbia;WIS:Wisconsin;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
