group_type,group_value,weighting,estimand,target_count,zero_opportunity_target_count,zplus_target_count,raw_selected_y_zero_opportunities,raw_z0_events,raw_zplus_events,weighted_selected_y_zero_opportunities,weighted_z0_mass,weighted_zplus_mass,hidden_positive_frequency
H3_TI_BAND,LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4384,4384,2308,25846709,24656633,1190076,4370.3623590535535,4276.525773195876,93.8365858576772,0.02147112256339277
H3_TI_BAND,LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4384,4384,2308,25846709,24656633,1190076,25846709.0,24656633.0,1190076.0,0.04604361816430866
H3_TI_BAND,P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,216,216,95,180476,177265,3211,215.43503876116995,213.9381443298969,1.496894431273051,0.006948240359974589
H3_TI_BAND,P95_TO_LT_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,216,216,95,180476,177265,3211,180476.0,177265.0,3211.0,0.0177918393581418
H3_TI_BAND,GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,40,40,19,15564,15465,99,39.84081983308787,39.618556701030926,0.2222631320569465,0.0055787790760358945
H3_TI_BAND,GE_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,40,40,19,15564,15465,99,15564.0,15465.0,99.0,0.006360832690824981
H4_ALL,ALL,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4640,4640,2422,26042749,24849363,1193386,4625.638217647811,4530.082474226804,95.5557434210072,0.020657850641332336
H4_ALL,ALL,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4640,4640,2422,26042749,24849363,1193386,26042749.0,24849363.0,1193386.0,0.04582411787634247
FOLD,A,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2324,2324,1180,10497901,10056485,441416,2316.7382894895,2272.3092783505153,44.429011138984436,0.01917739752502407
FOLD,A,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2324,2324,1180,10497901,10056485,441416,10497901.0,10056485.0,441416.0,0.042048024647974865
FOLD,B,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2316,2316,1242,15544848,14792878,751970,2308.8999281583115,2257.773195876289,51.126732282022765,0.022143329669035886
FOLD,B,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,2316,2316,1242,15544848,14792878,751970,15544848.0,14792878.0,751970.0,0.04837422662479556
B9_ROUTE,LEVEL1,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4397,4397,2364,25572294,24380413,1191881,4382.950819225459,4288.618556701031,94.33226252442797,0.021522546433933764
B9_ROUTE,LEVEL1,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,4397,4397,2364,25572294,24380413,1191881,25572294.0,24380413.0,1191881.0,0.046608294117062785
B9_ROUTE,LEVEL2,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,243,243,58,470455,468950,1505,242.68739842235243,241.4639175257732,1.2234808965792257,0.005041386180464072
B9_ROUTE,LEVEL2,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,243,243,58,470455,468950,1505,470455.0,468950.0,1505.0,0.0031990307255741783
REFERENCE_STRENGTH,R1,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,288,288,101,93877,93549,328,287.3548109965636,286.4123711340206,0.9424398625429553,0.00327970796547487
