group_type,group_value,weighting,state,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H2_FOLD_TI_BAND,A|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2090,2090,1077,438256,9880527,2083.3912996019462,2040.6101514507388,0.9794656202320797,0.0003193430123694846,0.0,0.0,0.0,0.003144293414574297,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2090,2090,1077,438256,9880527,10318783.0,9880748.0,0.9575497420577601,0.0009520573968790616,0.0,0.0,0.0,0.016288292302777892,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,198,198,86,3080,164250,197.49328345652805,196.11340206185565,0.9930130211492679,0.00014078233696660742,0.0,0.0,0.0,0.0,0.38169362951953767,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,198,198,86,3080,164250,167330.0,164250.0,0.9815932588298572,0.0008537400896323934,0.0,0.0,0.0,0.0063784018944531935,0.38169362951953767,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,36,36,17,80,11708,35.85370643102602,35.65979381443299,0.994591560095298,4.349120147684762e-05,0.0,0.0,0.0,0.0,0.065063920457783,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,36,36,17,80,11708,11788.0,11708.0,0.99321343739396,5.746670467365878e-05,0.0,0.0,0.0,0.0,0.065063920457783,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2294,2294,1231,751820,14776106,2286.9710594516077,2235.9896907216494,0.9777079082311679,0.00030826001594872176,0.0,0.0,0.0,0.00312990904073645,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,2294,2294,1231,751820,14776106,15527926.0,14776106.0,0.9515827161979005,0.0009287869455874857,0.0,0.0,0.0,0.017951127672433623,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,18,18,9,131,13015,17.9417553046419,17.824742268041238,0.9934781723073444,7.37232332723911e-05,0.0,0.0,0.0,0.0,0.07844570765252974,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,18,18,9,131,13015,13146.0,13015.0,0.9900349916324357,7.270667036273245e-05,0.0,0.0,0.0,0.0,0.07844570765252974,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
