FIA_SPCD,accepted_scientific_name,direction,fold,actual_case_count,observed_positive_case_count,max_individual_state_aligned_p95,marginal_mean_triangle_upper_sum_raw,marginal_mean_triangle_upper_sum_capped_at_1,empirical_marginal_expected_hidden_positive_count,marginal_union_outer_bound_capped_at_1,observed_point_tv_sum,parent_extreme_failure_conditional_p95_sum_capped_at_1,AB_fold_discrepancy_tv,max_p95_to_fold_tv_ratio,mean_sum_to_fold_tv_ratio,primary_labels,outer_label
127,Pinus sabiniana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.45683390900972903,0.0,0.0001290350765849416,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
128,Pinus serotina,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.415350340036553,0.0,0.00014192259582712974,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
131,Pinus taeda,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.15471305803230503,0.0,0.0003810124315645031,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
132,Pinus virginiana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.2900502121754186,0.0,0.00020323239205223502,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
133,Pinus monophylla,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.1868175741857012,0.0,0.000315535616456904,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
142,Pinus longaeva,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.8291132064974289,0.0,7.109716498750695e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
201,Pseudotsuga macrocarpa,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.8108755733587351,0.0,7.269623154573672e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
211,Sequoia sempervirens,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.16631792861953643,0.0,0.00035442720412009977,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
212,Sequoiadendron giganteum,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.9999999999999999,0.0,5.894759843566863e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
251,Torreya californica,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.7763479123093466,0.0,7.592935783175022e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
262,Tsuga caroliniana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.9008862031401049,0.0,6.543290176961579e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
323,Acer leucoderme,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,NA,NA,NA,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
332,Aesculus flava,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.479115858898129,0.0,0.00012303412074740407,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
333,Aesculus californica,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.5422390647593217,0.0,0.0001087114563791768,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
373,Betula nigra,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.6855512442578121,0.0,8.598569243278986e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
401,Carya aquatica,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.5055358064854162,0.0,0.0001166042002948987,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
408,Carya texana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.23334009957787769,0.0,0.00025262523904938486,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
410,Carya pallida,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.7105110020840925,0.0,8.296507480216596e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
411,Carya floridana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,NA,NA,NA,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
422,Castanea pumila,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,1.0,0.0,5.8947598435668624e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
423,Castanea ozarkensis,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,1.0,0.0,5.8947598435668624e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
431,Chrysolepis chrysophylla var. chrysophylla,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.338332111116818,0.0,0.0001742299843815754,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
451,Catalpa bignonioides,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,1.0,0.0,5.8947598435668624e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
452,Catalpa speciosa,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.977503566589065,0.0,6.030422849643652e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
481,Cladrastis kentukea,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,1.0,0.0,5.8947598435668624e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
521,Diospyros virginiana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.5905744196957625,0.0,9.981400560159004e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
545,Fraxinus profunda,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.7421442066758173,0.0,7.942876587247694e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
555,Gordonia lasianthus,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.514717752151513,0.0,0.00011452412159726079,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
582,Halesia diptera,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.7545235495937637,0.0,7.81255912653834e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
591,Ilex opaca,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.34495113084556217,0.0,0.00017088681023069325,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
603,Juglans hindsii,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,NA,NA,NA,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
604,Juglans californica,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,1.0,0.0,5.8947598435668624e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
631,Notholithocarpus densiflorus,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.20946523508346293,0.0,0.0002814194842985784,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
641,Maclura pomifera,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.5741595925554724,0.0,0.00010266761924729735,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
