FIA_SPCD,accepted_scientific_name,direction,fold,max_individual_state_aligned_p95,marginal_mean_triangle_upper_sum_raw,AB_fold_discrepancy_tv,max_p95_to_fold_tv_ratio,mean_sum_to_fold_tv_ratio,p95_minus_fold_tv,mean_sum_minus_fold_tv,primary_comparison
604,Juglans californica,AB,B,0.0,5.8947598435668624e-05,1.0,0.0,5.8947598435668624e-05,-1.0,-0.9999410524015643,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
604,Juglans californica,BA,A,0.0,0.001493305668856408,1.0,0.0,0.001493305668856408,-1.0,-0.9985066943311436,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
631,Notholithocarpus densiflorus,AB,B,0.0,5.8947598435668624e-05,0.20946523508346293,0.0,0.0002814194842985784,-0.20946523508346293,-0.20940628748502726,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
631,Notholithocarpus densiflorus,BA,A,0.0,0.001493305668856408,0.20946523508346293,0.0,0.007129133711670052,-0.20946523508346293,-0.20797192941460652,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
641,Maclura pomifera,AB,B,0.0,5.8947598435668624e-05,0.5741595925554724,0.0,0.00010266761924729735,-0.5741595925554724,-0.5741006449570367,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
641,Maclura pomifera,BA,A,0.0,0.001493305668856408,0.5741595925554724,0.0,0.0026008546895646134,-0.5741595925554724,-0.572666286886616,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
652,Magnolia grandiflora,AB,B,0.0,5.8947598435668624e-05,0.4698732021014619,0.0,0.000125454267602475,-0.4698732021014619,-0.4698142545030262,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
652,Magnolia grandiflora,BA,A,0.0,0.001493305668856408,0.4698732021014619,0.0,0.0031781035014930513,-0.4698732021014619,-0.46837989643260547,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
654,Magnolia macrophylla,AB,B,0.0,5.8947598435668624e-05,0.5637727426576268,0.0,0.0001045591494150452,-0.5637727426576268,-0.5637137950591911,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
654,Magnolia macrophylla,BA,A,0.0,0.001493305668856408,0.5637727426576268,0.0,0.0026487723791273764,-0.5637727426576268,-0.5622794369887704,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
655,Magnolia fraseri,AB,B,0.0,5.8947598435668624e-05,0.39226438784805734,0.0,0.00015027517220987655,-0.39226438784805734,-0.3922054402496217,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
655,Magnolia fraseri,BA,A,0.0,0.001493305668856408,0.39226438784805734,0.0,0.0038068856493667642,-0.39226438784805734,-0.3907710821792009,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
658,Magnolia tripetala,AB,B,0.0,5.8947598435668624e-05,0.8953530859549531,0.0,6.583726505258775e-05,-0.8953530859549531,-0.8952941383565174,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
