group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H2_FOLD_TI_BAND,B|GE_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4,2,2,7,0,7.0,0.0,0.0,0.018008131897485385,0.011509182520758101,0.03284837205911055,0.0376534369370356,0.041497488839375665,0.042458501814960685,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4384,2310,2310,94874,0,13.637640946446512,0.02323530328753597,0.0017037626506503877,0.05056954202469349,0.015931566034421255,0.12792913055658647,0.23028691387651115,0.5333865297518918,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
H3_TI_BAND,LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4384,2310,2310,94874,0,94874.0,26.0,0.0002740476842970677,0.1034526221314295,0.04503736188694501,0.2744943435552632,0.43302293998148356,0.7629908829688941,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,216,98,98,623,0,0.5649612388300417,0.0,0.0,0.04137580055580923,0.009358028037535599,0.1060535811556079,0.2239027187833363,0.4513435207817056,0.9042613168968997,WEIGHTED_INVERSE_EMPIRICAL_CDF
H3_TI_BAND,P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,216,98,98,623,0,623.0,0.0,0.0,0.14906459755958126,0.038935464715851215,0.4546956883688225,0.6067203473125415,0.8424787391086337,0.9042613168968997,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,40,19,19,53,0,0.15918016691212566,0.0,0.0,0.011291941922760344,0.0036574933454011894,0.029004533282307877,0.042458501814960685,0.22710785111423298,0.22710785111423298,WEIGHTED_INVERSE_EMPIRICAL_CDF
H3_TI_BAND,GE_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,40,19,19,53,0,53.0,0.0,0.0,0.01379661188468384,0.004125802628444182,0.02892093322169848,0.042519059869001834,0.13183709344971933,0.22710785111423298,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H4_ALL,ALL,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4640,2427,2427,95550,0,14.36178235218868,0.02323530328753597,0.0016178565248898232,0.049772543279747804,0.015507153954831446,0.12572792304022803,0.22801588374405032,0.5279401242502406,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
H4_ALL,ALL,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4640,2427,2427,95550,0,95550.0,26.0,0.00027210884353741496,0.10370028819263999,0.04494543101835173,0.2758389982325382,0.4348818582053421,0.7644587757845045,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,A,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2324,1184,1184,38142,0,7.261710510500102,0.013773571571047763,0.0018967392807977966,0.04887481382602598,0.01536472450735198,0.12458464176385983,0.22421582310043237,0.5191899792636451,0.9557394916381825,WEIGHTED_INVERSE_EMPIRICAL_CDF
FOLD,A,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2324,1184,1184,38142,0,38142.0,16.0,0.0004194850820617692,0.10299118902067944,0.044486636742191034,0.271360337007987,0.42865603900214755,0.7617191425011408,0.9557394916381825,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
FOLD,B,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2316,1243,1243,57408,0,7.100071841688578,0.009461731716488207,0.0013326247857004734,0.05069071024411573,0.015634182807723735,0.1268035257730914,0.23422539032784762,0.537761650632772,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
FOLD,B,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,2316,1243,1243,57408,0,57408.0,10.0,0.0001741917502787068,0.1041714152240105,0.04514643312349804,0.2797432034767953,0.43863652260954594,0.7651525578440717,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL1,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4397,2369,2369,95264,0,14.049180774541101,0.01808066411227824,0.001286955047588447,0.050675289539265374,0.016034781762099763,0.12814901638578655,0.23191536405371363,0.5327636181223686,0.9559649231842995,WEIGHTED_INVERSE_EMPIRICAL_CDF
B9_ROUTE,LEVEL1,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,4397,2369,2369,95264,0,95264.0,24.0,0.0002519314746388982,0.10397184359457057,0.04515879292611978,0.2764340008126587,0.4359586597276812,0.7650515230762369,0.9559649231842995,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
B9_ROUTE,LEVEL2,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,243,58,58,286,0,0.3126015776475784,0.005154639175257732,0.016489485478761667,0.009200625860311439,0.002951750169502587,0.018668133591694093,0.02823554918676906,0.12628118812594125,0.35848966793697556,WEIGHTED_INVERSE_EMPIRICAL_CDF
B9_ROUTE,LEVEL2,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,243,58,58,286,0,286.0,2.0,0.006993006993006993,0.013247652495037173,0.003977694933960879,0.025659077086901676,0.046405345216791655,0.15571727841895883,0.35848966793697556,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
