group_type,group_value,state,target_equal_mean,event_equal_mean,target_equal_p95,event_equal_p95,target_minus_event_mean,target_minus_event_p95,target_equal_quantile_method,event_equal_quantile_method
H2_FOLD_TI_BAND,A|GE_P99,POSITIVE,0.010054201486731314,0.013155728404474909,0.029004533282307877,0.04241564204042975,-0.003101526917743595,-0.013411108758121876,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|LT_P95,ZERO_MIXTURE,0.00030826001594872176,0.0009287869455874857,0.0,0.0,-0.0006205269296387639,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|LT_P95,ZPLUS_CONDITIONAL,0.013828222992501757,0.01918296262516095,0.05146990818119752,0.07702932399285986,-0.005354739632659191,-0.025559415811662343,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|LT_P95,POSITIVE,0.05092421477991852,0.10424501914050731,0.2362155360308973,0.43896440295030414,-0.05332080436058879,-0.20274886691940686,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,ZERO_MIXTURE,7.37232332723911e-05,7.270667036273245e-05,0.0,0.0,1.0165629096586424e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,ZPLUS_CONDITIONAL,0.011304075597613822,0.007296197622812831,0.038788168361331095,0.020684952543093285,0.004007877974800991,0.01810321581823781,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,POSITIVE,0.028119609629890473,0.025510335932939228,0.1132468364597703,0.09558505266658053,0.0026092736969512455,0.017661783793189764,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|GE_P99,ZERO_MIXTURE,8.29032653079064e-05,3.089850530230548e-05,0.0,0.0,5.200476000560092e-05,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|GE_P99,ZPLUS_CONDITIONAL,0.011659213766484653,0.006140671369552921,0.04660998228038563,0.008983049422744353,0.005518542396931733,0.03762693285764128,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|GE_P99,POSITIVE,0.025343242872727975,0.018008131897485385,0.042458501814960685,0.0376534369370356,0.00733511097524259,0.004805064877925085,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,LT_P95,ZERO_MIXTURE,0.0003135433806721763,0.0009380772090864033,0.0,0.0,-0.000624533828414227,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,LT_P95,ZPLUS_CONDITIONAL,0.014603026914240279,0.02037366407085633,0.053369614705602315,0.07913368493818622,-0.005770637156616052,-0.025764070232583904,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,LT_P95,POSITIVE,0.05056954202469349,0.1034526221314295,0.23028691387651115,0.43302293998148356,-0.05288308010673601,-0.2027360261049724,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,P95_TO_LT_P99,ZERO_MIXTURE,0.0001351975535611371,0.0007968490607436825,0.0,0.0,-0.0006616515071825454,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,P95_TO_LT_P99,ZPLUS_CONDITIONAL,0.019457811842541313,0.04478733450226623,0.10347301183600205,0.38169362951953767,-0.025329522659724914,-0.2782206176835356,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,P95_TO_LT_P99,POSITIVE,0.04137580055580923,0.14906459755958126,0.2239027187833363,0.6067203473125415,-0.10768879700377204,-0.3828176285292052,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,GE_P99,ZERO_MIXTURE,4.743540665540739e-05,5.10209631659339e-05,0.0,0.0,-3.5855565105265115e-06,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,GE_P99,ZPLUS_CONDITIONAL,0.008502829384151471,0.008021113845601972,0.04660998228038563,0.048455376098125266,0.000481715538549499,-0.0018453938177396337,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,GE_P99,POSITIVE,0.011291941922760344,0.01379661188468384,0.042458501814960685,0.042519059869001834,-0.0025046699619234968,-6.055805404114878e-05,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H4_ALL,ALL,ZERO_MIXTURE,0.00030294508099571805,0.0009365683655034234,0.0,0.0,-0.0006336232845077053,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
