group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H2_FOLD_TI_BAND,A|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,198,198,86,3080,0,3080.0,0.0,0.0,0.04638192506434687,0.006616681118240687,0.14667332695051116,0.38169362951953767,0.38169362951953767,0.38169362951953767,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,A|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,36,36,17,80,0,0.19391261659302897,0.0,0.0,0.00804135799660782,0.0024559330818190173,0.02184354596909463,0.03093831398571201,0.065063920457783,0.065063920457783,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,A|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,36,36,17,80,0,80.0,0.0,0.0,0.008467718933663621,0.002902169298604469,0.01928539963418049,0.065063920457783,0.065063920457783,0.065063920457783,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,2294,2294,1231,751820,0,50.98136872995818,0.0,0.0,0.013828222992501757,0.0024693884540709587,0.026016680852333343,0.05146990818119752,0.21125374227637067,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,2294,2294,1231,751820,0,751820.0,0.0,0.0,0.01918296262516095,0.003971648850038955,0.03965761245983149,0.07702932399285986,0.2620351720297514,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,18,18,9,131,0,0.11701303660066546,0.0,0.0,0.011304075597613822,0.004779113400183438,0.038788168361331095,0.038788168361331095,0.07844570765252974,0.07844570765252974,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,18,18,9,131,0,131.0,0.0,0.0,0.007296197622812831,0.0021779030338717974,0.011266946656867201,0.020684952543093285,0.06654844586516968,0.07844570765252974,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H2_FOLD_TI_BAND,B|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,4,4,2,19,0,0.028350515463917526,0.0,0.0,0.011659213766484653,0.0038411198648800196,0.04660998228038563,0.04660998228038563,0.04660998228038563,0.04660998228038563,WEIGHTED_INVERSE_EMPIRICAL_CDF
H2_FOLD_TI_BAND,B|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,4,4,2,19,0,19.0,0.0,0.0,0.006140671369552921,0.0038411198648800188,0.004802279105228752,0.008983049422744353,0.03908459570885741,0.04660998228038563,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H3_TI_BAND,LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,4384,4384,2308,1190076,0,93.83658585767719,0.07406897651185035,0.0007893400621394244,0.014603026914240279,0.0026773139275387877,0.02687502154998231,0.053369614705602315,0.21595845113884568,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
