layer,synthetic_species_id,world,orientation,target_fold,support_cells,support_cells_zero_target_fold_plots,support_truth_mass_fraction_zero_target_fold_plots,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,entropy_bias,true_concentration,estimated_concentration,concentration_bias,estimated_total_mass,total_mass_relative_error,cell_bias,cell_relative_bias,cell_rmse,cell_relative_rmse,cell_mass_correlation,ci95_coverage_all_support,ci95_coverage_positive_exposure
A1,SYN006,PAIRED_NULL,AB,B,66,0,0.0,0.2947294214055242,16.48673409118497,6.344119877191539,3.1920759122705515,3.1652160528997655,-0.026859859370786054,0.060108578177479895,0.053688,-0.006420578177479895,100000000.0,0.0,-5.798717734940124e-11,0.08016834342577556,1944360.3589351552,1.4983325939808052,0.7032383760008206,,
A2,SYN006,PAIRED_NULL,AB,B,66,0,0.0,0.08652780568049105,1.9047221324719672,2.155965285629102,3.1920759122705515,3.1563336174996195,-0.03574229477093205,0.060108578177479895,0.060048541168481316,-6.0037008998578556e-05,102058361.13218515,0.02058361132185138,31187.289881592962,0.002316011432870723,266880.3399635537,1.0181770116689783,0.9951380376433375,0.7727272727272727,0.7727272727272727
A1,SYN006,PAIRED_NULL,BA,A,66,1,0.0011320741407339688,0.31754566631274855,20.43671972724045,25.747684770058015,3.1920759122705515,3.164166291611974,-0.027909620658577605,0.060108578177479895,0.0604721601855668,0.0003635820080869073,100000000.0,0.0,-1.6822895938248345e-10,0.3805956232009935,1876043.5618459485,2.0487236101151125,0.7427004176406844,,
A2,SYN006,PAIRED_NULL,BA,A,66,1,0.0011320741407339688,0.09083054415558874,1.6970350014556617,1.7885311890419586,3.1920759122705515,3.132236753469283,-0.05983915880126833,0.060108578177479895,0.06230542182695337,0.002196843649473472,95685137.41297947,-0.04314862587020529,-65376.7058639475,-0.15437965287840097,266098.81877152255,0.7259042642902769,0.995221319233565,0.7424242424242424,0.7538461538461538
A1,SYN007,STRONG,AB,B,134,4,0.03337957619535628,0.32590861193676063,21.168739705429026,19.208489112985937,3.2393650073076348,2.489254594932579,-0.7501104123750557,0.07966250210209708,0.15345672279761285,0.07379422069551578,100000000.00000001,2.220446049250313e-16,-9.035219007463598e-11,-0.4243734529982662,1427455.0817186069,1.1703071433129193,0.9296441770897386,,
A2,SYN007,STRONG,AB,B,134,4,0.03337957619535628,0.18234661690575052,3.6480341668214273,2.431250872325252,3.2393650073076348,3.0659610589067476,-0.17340394840088713,0.07966250210209708,0.08800951888904937,0.008347016786952294,95344987.3992829,-0.04655012600717101,-34738.900005351585,-0.14482259665163658,294314.42515913583,1.0167984151178746,0.9921540021269003,0.582089552238806,0.6
A1,SYN007,STRONG,BA,A,134,8,0.009243132419104856,0.32005858890980327,19.73784310670211,18.937661917153903,3.2393650073076348,2.481528961600425,-0.7578360457072097,0.07966250210209708,0.1534324806662701,0.07376997856417303,100000000.00000001,2.220446049250313e-16,-1.0685884018442524e-10,-0.2753920672295293,1327087.996385213,2.1281798645790633,0.9476466065272046,,
A2,SYN007,STRONG,BA,A,134,8,0.009243132419104856,0.15940739879219798,3.411840302156359,4.050919856588017,3.2393650073076348,3.110613016699298,-0.12875199060833697,0.07966250210209708,0.08197746159237065,0.002314959490273577,97903794.78241557,-0.020962052175844348,-15643.322519286905,-0.10885220752758981,244713.00378490327,1.4200225120085546,0.9944501624638176,0.5522388059701493,0.5873015873015873
A1,SYN007,PAIRED_NULL,AB,B,134,4,0.0558880503310203,0.5297615806949493,110.42750859155512,160.61103991755633,3.2393650073076348,3.3636076729278623,0.12424266562022757,0.07966250210209706,0.050047784316684274,-0.02961471778541279,100000000.0,0.0,-2.780067386911876e-11,2.3936536603357426,2156359.1240478754,11.342581961833323,0.47319228538921415,,
A2,SYN007,PAIRED_NULL,AB,B,134,4,0.0558880503310203,0.21196128657158086,8.539479671286083,8.242195519178829,3.2393650073076348,3.087921259625589,-0.1514437476820456,0.07966250210209706,0.08567042450584611,0.006007922403749047,94845339.81619847,-0.051546601838015293,-38467.613311951754,-0.14445127631787985,480111.2500235878,1.2259121488442606,0.9785535147797524,0.582089552238806,0.6
A1,SYN007,PAIRED_NULL,BA,A,134,8,0.1584798078738694,0.5522853680949583,83.34922954768392,114.73395424259436,3.2393650073076348,3.412490079732358,0.1731250724247233,0.07966250210209706,0.04807412155468795,-0.03158838054740911,100000000.0,0.0,0.0,1.7368918497434793,2206812.581433927,6.741054854338477,0.4390918105169082,,
A2,SYN007,PAIRED_NULL,BA,A,134,8,0.1584798078738694,0.3237522553717267,15.656327934858068,20.02771348182452,3.2393650073076348,3.226308266041292,-0.013056741266342708,0.07966250210209706,0.08134826254437132,0.0016857604422742534,87355560.96042165,-0.12644439039578348,-94361.48536998764,0.3260248045129079,1260101.1407624504,4.659073725396626,0.8418457871869313,0.5671641791044776,0.6031746031746031
A1,SYN008,STRONG,AB,B,122,0,0.0,0.20041507683102727,12.907861228400439,16.920668075716723,4.10020036133893,3.907968014165262,-0.19223234717366822,0.021966215527144936,0.02795248078266946,0.005986265255524523,100000000.0,2.220446049250313e-16,1.898905659308199e-10,-0.09121819589091341,573551.776603045,1.0012328312309826,0.8946674457678524,,
A2,SYN008,STRONG,AB,B,122,0,0.0,0.11208751830448602,2.4527781042474768,1.0334079940823713,4.10020036133893,4.1141364332357195,0.013936071896789137,0.021966215527144936,0.020926042918486477,-0.0010401726086584594,97635718.30332643,-0.023642816966735536,-19379.35816945547,0.14954847023314166,248191.3029202777,1.125208049458035,0.9731058802549089,0.819672131147541,0.819672131147541
A1,SYN008,STRONG,BA,A,122,1,0.00037306934003599406,0.2369438490574457,14.704223232160752,21.743619374638193,4.10020036133893,3.865403713459405,-0.23479664787952537,0.021966215527144936,0.027644985857997576,0.00567877033085264,100000000.0,2.220446049250313e-16,1.9859785946910498e-10,-0.08264128836003407,574928.4749296766,1.4504716587548199,0.891727834333621,,
A2,SYN008,STRONG,BA,A,122,1,0.00037306934003599406,0.13695635843946508,4.24106649567522,4.16723623743882,4.10020036133893,4.0545960209681535,-0.045604340370776875,0.021966215527144936,0.02297229742549724,0.0010060818983523047,97803608.49091303,-0.02196391509086948,-18003.209090876695,0.02943695076515466,312869.6153332218,1.0194498860657095,0.9574242560259436,0.7377049180327869,0.743801652892562
A1,SYN008,PAIRED_NULL,AB,B,122,0,0.0,0.27596920375362544,26.165020325535906,33.63523547076735,4.100200361338931,3.894295709095371,-0.20590465224356036,0.02196621552714495,0.02605583673469388,0.004089621207548931,100000000.00000001,2.220446049250313e-16,-9.923929073771492e-11,-0.11146250054322135,789873.1758846594,1.1457598813914844,0.7657736407020482,,
A2,SYN008,PAIRED_NULL,AB,B,122,0,0.0,0.12781122236563097,4.240972784305654,4.36630639095883,4.100200361338931,4.007504465020658,-0.09269589631827291,0.02196621552714495,0.023802237357373215,0.0018360218302282648,96178873.35095185,-0.038211266490481455,-31320.71023809951,-0.13081858595793458,234721.63956223906,0.9742664963330925,0.9768661273020293,0.7049180327868853,0.7049180327868853
A1,SYN008,PAIRED_NULL,BA,A,122,1,0.0039157538221955826,0.296895664953264,27.377782500146854,37.97153543233427,4.100200361338931,3.8431645068662608,-0.2570358544726705,0.02196621552714495,0.027926251074150383,0.005960035547005433,100000000.0,0.0,-9.160549914250608e-11,-0.1473678928798653,858193.3920538248,1.3579699320950573,0.7436401357192887,,
