analysis_level,state,world,orientation,predictor,outcome,statistic,value,n,notes
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,strong_minus_null_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,pearson_r,-0.1506388666497539,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,AB,strong_minus_null_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,spearman_rho,-0.10215469112286031,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,mean_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,pearson_r,0.0422691210026612,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,mean_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,spearman_rho,0.010298735937130618,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,mean_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,pearson_r,-0.1630353121307532,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,mean_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,spearman_rho,-0.006751129894271108,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,strong_minus_null_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,pearson_r,-0.14449273046006011,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,strong_minus_null_zero_truth_mass_fraction,D0_minus_A0_individual_separation_distortion_pp,spearman_rho,-0.1266459762591385,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,strong_minus_null_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,pearson_r,0.0996046533930309,80,Frozen paired test occurrences
HELDOUT_SPECIES_PAIR,D0_D1,STRONG_MINUS_PAIRED_NULL,BA,strong_minus_null_zero_truth_mass_fraction,D1_minus_D0_individual_separation_change_pp,spearman_rho,0.18707392801928394,80,Frozen paired test occurrences
OFFICIAL_SPLIT_AGGREGATE,D0_D1,STRONG_MINUS_PAIRED_NULL,ALL,test_mean_zero_truth_mass_fraction_both_worlds,D0_minus_A0_separation_distortion_pp,pearson_r,-0.6663123251319587,10,Exact official aggregate gain; 10 orientation-split rows
OFFICIAL_SPLIT_AGGREGATE,D0_D1,STRONG_MINUS_PAIRED_NULL,ALL,test_mean_zero_truth_mass_fraction_both_worlds,D0_minus_A0_separation_distortion_pp,spearman_rho,-0.6606060606060605,10,Exact official aggregate gain; 10 orientation-split rows
OFFICIAL_SPLIT_AGGREGATE,D0_D1,STRONG_MINUS_PAIRED_NULL,ALL,test_mean_zero_truth_mass_fraction_both_worlds,D1_minus_D0_separation_change_pp,pearson_r,0.5424499903360799,10,Exact official aggregate gain; 10 orientation-split rows
OFFICIAL_SPLIT_AGGREGATE,D0_D1,STRONG_MINUS_PAIRED_NULL,ALL,test_mean_zero_truth_mass_fraction_both_worlds,D1_minus_D0_separation_change_pp,spearman_rho,0.5393939393939393,10,Exact official aggregate gain; 10 orientation-split rows
