state,matching_latent_reference,observation_regime,orientation,state_separation_pp,matching_reference_separation_pp,distortion_vs_matching_reference_pp,D0_separation_pp,full_A0_reference_separation_pp,movement_from_D0_toward_positive_pp,fraction_full_D0_to_A0_gap_removed,interpretation
D2,D2_A0_REF,O3,BA,-29.729416211128004,6.342723799083107,-36.072140010211115,-34.68070838144731,6.05399724982147,4.951292170319306,0.12154972261585693,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2_A0_REF,D2_A0_REF,O1,AB,2.928156721209879,2.928156721209879,0.0,-17.889425736445197,6.05399724982147,20.817582457655078,0.8694488866356122,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2_A0_REF,D2_A0_REF,O1,BA,6.342723799083107,6.342723799083107,0.0,-34.68070838144731,6.05399724982147,41.02343218053042,1.0070879743645431,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2_A0_REF,D2_A0_REF,O2,AB,2.928156721209879,2.928156721209879,0.0,-17.889425736445197,6.05399724982147,20.817582457655078,0.8694488866356122,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2_A0_REF,D2_A0_REF,O2,BA,6.342723799083107,6.342723799083107,0.0,-34.68070838144731,6.05399724982147,41.02343218053042,1.0070879743645431,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2_A0_REF,D2_A0_REF,O3,AB,2.928156721209879,2.928156721209879,0.0,-17.889425736445197,6.05399724982147,20.817582457655078,0.8694488866356122,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2_A0_REF,D2_A0_REF,O3,BA,6.342723799083107,6.342723799083107,0.0,-34.68070838144731,6.05399724982147,41.02343218053042,1.0070879743645431,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3,D3_A0_REF,O1,AB,-17.798126782709243,11.231045573323405,-29.029172356032646,-17.889425736445197,6.05399724982147,0.09129895373595431,0.0038131120094366225,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3,D3_A0_REF,O1,BA,-26.49497107039925,11.231045573323405,-37.72601664372265,-34.68070838144731,6.05399724982147,8.185737311048062,0.20095241107534909,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3,D3_A0_REF,O2,AB,-17.798126782709243,11.231045573323405,-29.029172356032646,-17.889425736445197,6.05399724982147,0.09129895373595431,0.0038131120094366225,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3,D3_A0_REF,O2,BA,-26.49497107039925,11.231045573323405,-37.72601664372265,-34.68070838144731,6.05399724982147,8.185737311048062,0.20095241107534909,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3,D3_A0_REF,O3,AB,-17.798126782709243,11.231045573323405,-29.029172356032646,-17.889425736445197,6.05399724982147,0.09129895373595431,0.0038131120094366225,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3,D3_A0_REF,O3,BA,-26.49497107039925,11.231045573323405,-37.72601664372265,-34.68070838144731,6.05399724982147,8.185737311048062,0.20095241107534909,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3_A0_REF,D3_A0_REF,O1,AB,11.231045573323405,11.231045573323405,0.0,-17.889425736445197,6.05399724982147,29.120471309768604,1.2162200586971779,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3_A0_REF,D3_A0_REF,O1,BA,11.231045573323405,11.231045573323405,0.0,-34.68070838144731,6.05399724982147,45.91175395477072,1.1270918309896396,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3_A0_REF,D3_A0_REF,O2,AB,11.231045573323405,11.231045573323405,0.0,-17.889425736445197,6.05399724982147,29.120471309768604,1.2162200586971779,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3_A0_REF,D3_A0_REF,O2,BA,11.231045573323405,11.231045573323405,0.0,-34.68070838144731,6.05399724982147,45.91175395477072,1.1270918309896396,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3_A0_REF,D3_A0_REF,O3,AB,11.231045573323405,11.231045573323405,0.0,-17.889425736445197,6.05399724982147,29.120471309768604,1.2162200586971779,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D3_A0_REF,D3_A0_REF,O3,BA,11.231045573323405,11.231045573323405,0.0,-34.68070838144731,6.05399724982147,45.91175395477072,1.1270918309896396,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
