state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D3,SYN008,STRONG,AB,B,122,121,1,0.9918032786885246,0.008196721311475419,0.9996269306599638,0.00037306934003622505,0.999194307074862,0.0008056929251379907
D2,SYN009,STRONG,AB,B,84,80,4,0.9523809523809523,0.04761904761904767,0.9448409503612285,0.055159049638771496,1.0,0.0
D3,SYN009,STRONG,AB,B,84,70,14,0.8333333333333334,0.16666666666666663,0.918072290182402,0.081927709817598,0.970401546065754,0.029598453934245983
D2,SYN010,STRONG,AB,B,104,104,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
D3,SYN010,STRONG,AB,B,104,100,4,0.9615384615384616,0.038461538461538436,0.9990631060549645,0.0009368939450354885,0.9992992374349288,0.0007007625650712335
D2,SYN011,STRONG,AB,B,123,123,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN011,STRONG,AB,B,123,122,1,0.991869918699187,0.008130081300813052,0.9999008693653061,9.913063469391137e-05,1.0,0.0
D2,SYN012,STRONG,AB,B,156,154,2,0.9871794871794872,0.012820512820512775,0.9959681820059285,0.004031817994071485,1.0,0.0
D3,SYN012,STRONG,AB,B,156,150,6,0.9615384615384616,0.038461538461538436,0.9936673606168589,0.006332639383141103,0.996779796137807,0.0032202038621930162
D2,SYN013,STRONG,AB,B,127,126,1,0.9921259842519685,0.007874015748031482,0.999335395123822,0.0006646048761780321,1.0,0.0
D3,SYN013,STRONG,AB,B,127,118,9,0.9291338582677166,0.07086614173228345,0.9942308435851909,0.005769156414809129,0.9919584578985443,0.00804154210145569
D2,SYN014,STRONG,AB,B,125,125,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D3,SYN014,STRONG,AB,B,125,125,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D2,SYN015,STRONG,AB,B,166,163,3,0.9819277108433735,0.01807228915662651,0.9960802515534147,0.0039197484465852694,0.9999999999999999,1.1102230246251565e-16
D3,SYN015,STRONG,AB,B,166,151,15,0.9096385542168675,0.09036144578313254,0.9906652989407023,0.009334701059297679,0.9940739391920651,0.005926060807934896
D2,SYN016,STRONG,AB,B,103,98,5,0.9514563106796117,0.04854368932038833,0.9968600511082812,0.003139948891718758,1.0,0.0
D3,SYN016,STRONG,AB,B,103,89,14,0.8640776699029126,0.13592233009708743,0.9789449977327307,0.021055002267269307,0.9832641153182899,0.016735884681710056
D2,SYN017,STRONG,AB,B,168,168,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN017,STRONG,AB,B,168,168,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D2,SYN018,STRONG,AB,B,66,66,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN018,STRONG,AB,B,66,64,2,0.9696969696969697,0.030303030303030276,0.9986391078879984,0.0013608921120016326,1.0,0.0
D2,SYN019,STRONG,AB,B,76,73,3,0.9605263157894737,0.03947368421052633,0.9964361297182803,0.003563870281719672,1.0,0.0
D3,SYN019,STRONG,AB,B,76,69,7,0.9078947368421053,0.09210526315789469,0.9897558297222864,0.010244170277713627,0.996701794845699,0.003298205154301015
D2,SYN020,STRONG,AB,B,105,94,11,0.8952380952380953,0.10476190476190472,0.9040339777844385,0.0959660222155615,1.0,0.0
D3,SYN020,STRONG,AB,B,105,75,30,0.7142857142857143,0.2857142857142857,0.7224953152265995,0.2775046847734005,0.8088553409505824,0.19114465904941758
D2,SYN021,STRONG,AB,B,161,161,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN021,STRONG,AB,B,161,160,1,0.9937888198757764,0.006211180124223614,0.9997726746355818,0.00022732536441816276,0.9993783415650516,0.0006216584349484355
D2,SYN022,STRONG,AB,B,168,166,2,0.9880952380952381,0.011904761904761862,0.993998952458591,0.006001047541408955,1.0,0.0
