state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D2,SYN071,STRONG,AB,B,93,92,1,0.989247311827957,0.010752688172043001,0.9983052752351269,0.00169472476487309,1.0,0.0
D3,SYN071,STRONG,AB,B,93,89,4,0.956989247311828,0.043010752688172005,0.9943111441913098,0.005688855808690163,0.9949341643354617,0.005065835664538332
D2,SYN072,STRONG,AB,B,87,84,3,0.9655172413793104,0.03448275862068961,0.9603133620135323,0.039686637986467654,1.0,0.0
D3,SYN072,STRONG,AB,B,87,80,7,0.9195402298850575,0.08045977011494254,0.8451901867677921,0.15480981323220788,0.8746917819238329,0.1253082180761671
D2,SYN001,STRONG,BA,A,142,140,2,0.9859154929577465,0.014084507042253502,0.9854326294163176,0.014567370583682404,1.0,0.0
D3,SYN001,STRONG,BA,A,142,137,5,0.9647887323943662,0.035211267605633756,0.984996608271957,0.015003391728042992,0.9994742397776597,0.0005257602223402991
D2,SYN002,STRONG,BA,A,65,65,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
D3,SYN002,STRONG,BA,A,65,65,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
D2,SYN003,STRONG,BA,A,175,171,4,0.9771428571428571,0.02285714285714291,0.9991564987296415,0.0008435012703584821,1.0,0.0
D3,SYN003,STRONG,BA,A,175,170,5,0.9714285714285714,0.02857142857142858,0.998279896710588,0.0017201032894119672,0.9979747922473462,0.0020252077526538015
D2,SYN004,STRONG,BA,A,148,148,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN004,STRONG,BA,A,148,148,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D2,SYN005,STRONG,BA,A,140,136,4,0.9714285714285714,0.02857142857142858,0.9748944369270782,0.025105563072921777,1.0,0.0
D3,SYN005,STRONG,BA,A,140,134,6,0.9571428571428572,0.042857142857142816,0.9581279065610766,0.0418720934389234,0.9828798027676648,0.017120197232335155
D2,SYN006,STRONG,BA,A,66,65,1,0.9848484848484849,0.015151515151515138,0.9997254342673707,0.00027456573262929496,0.9999999999999999,1.1102230246251565e-16
D3,SYN006,STRONG,BA,A,66,65,1,0.9848484848484849,0.015151515151515138,0.9997254342673707,0.00027456573262929496,0.9999999999999999,1.1102230246251565e-16
D2,SYN007,STRONG,BA,A,134,126,8,0.9402985074626866,0.05970149253731338,0.9907568675808953,0.009243132419104683,1.0,0.0
D3,SYN007,STRONG,BA,A,134,122,12,0.9104477611940298,0.08955223880597019,0.957377291385539,0.04262270861446105,0.976657954411011,0.023342045588989002
D2,SYN008,STRONG,BA,A,122,121,1,0.9918032786885246,0.008196721311475419,0.9996269306599638,0.00037306934003622505,0.9999999999999999,1.1102230246251565e-16
D3,SYN008,STRONG,BA,A,122,121,1,0.9918032786885246,0.008196721311475419,0.9996269306599638,0.00037306934003622505,0.9999999999999999,1.1102230246251565e-16
D2,SYN009,STRONG,BA,A,84,74,10,0.8809523809523809,0.11904761904761907,0.9732313398211733,0.02676866017882673,0.9999999999999999,1.1102230246251565e-16
D3,SYN009,STRONG,BA,A,84,70,14,0.8333333333333334,0.16666666666666663,0.918072290182402,0.081927709817598,0.9461377934832479,0.05386220651675211
D2,SYN010,STRONG,BA,A,104,100,4,0.9615384615384616,0.038461538461538436,0.9990631060549645,0.0009368939450354885,1.0,0.0
D3,SYN010,STRONG,BA,A,104,100,4,0.9615384615384616,0.038461538461538436,0.9990631060549645,0.0009368939450354885,1.0,0.0
D2,SYN011,STRONG,BA,A,123,122,1,0.991869918699187,0.008130081300813052,0.9999008693653061,9.913063469391137e-05,1.0,0.0
D3,SYN011,STRONG,BA,A,123,122,1,0.991869918699187,0.008130081300813052,0.9999008693653061,9.913063469391137e-05,1.0,0.0
D2,SYN012,STRONG,BA,A,156,152,4,0.9743589743589743,0.02564102564102566,0.9976991786109304,0.0023008213890696183,1.0,0.0
D3,SYN012,STRONG,BA,A,156,150,6,0.9615384615384616,0.038461538461538436,0.9936673606168589,0.006332639383141103,0.9978264960222397,0.0021735039777602827
D2,SYN013,STRONG,BA,A,127,119,8,0.937007874015748,0.06299212598425197,0.9948954484613686,0.00510455153863143,1.0,0.0
D3,SYN013,STRONG,BA,A,127,118,9,0.9291338582677166,0.07086614173228345,0.9942308435851909,0.005769156414809129,1.0,0.0
D2,SYN014,STRONG,BA,A,125,125,0,1.0,0.0,1.0,0.0,1.0,0.0
D3,SYN014,STRONG,BA,A,125,125,0,1.0,0.0,1.0,0.0,1.0,0.0
D2,SYN015,STRONG,BA,A,166,154,12,0.927710843373494,0.07228915662650603,0.9945850473872878,0.005414952612712187,1.0,0.0
D3,SYN015,STRONG,BA,A,166,151,15,0.9096385542168675,0.09036144578313254,0.9906652989407023,0.009334701059297679,0.9973336337571526,0.00266636624284744
D2,SYN016,STRONG,BA,A,103,94,9,0.912621359223301,0.08737864077669899,0.9820849466244495,0.01791505337555055,1.0,0.0
D3,SYN016,STRONG,BA,A,103,89,14,0.8640776699029126,0.13592233009708743,0.9789449977327307,0.021055002267269307,0.9970786819703048,0.002921318029695197
D2,SYN017,STRONG,BA,A,168,168,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999997,3.3306690738754696e-16
D3,SYN017,STRONG,BA,A,168,168,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999997,3.3306690738754696e-16
D2,SYN018,STRONG,BA,A,66,64,2,0.9696969696969697,0.030303030303030276,0.9986391078879984,0.0013608921120016326,1.0,0.0
D3,SYN018,STRONG,BA,A,66,64,2,0.9696969696969697,0.030303030303030276,0.9986391078879984,0.0013608921120016326,1.0,0.0
D2,SYN019,STRONG,BA,A,76,72,4,0.9473684210526315,0.052631578947368474,0.9933197000040059,0.006680299995994066,1.0,0.0
D3,SYN019,STRONG,BA,A,76,69,7,0.9078947368421053,0.09210526315789469,0.9897558297222864,0.010244170277713627,0.9981321635249755,0.0018678364750245313
D2,SYN020,STRONG,BA,A,105,86,19,0.819047619047619,0.18095238095238098,0.8184613374421607,0.18153866255783935,1.0,0.0
D3,SYN020,STRONG,BA,A,105,75,30,0.7142857142857143,0.2857142857142857,0.7224953152265995,0.2775046847734005,0.8853821551918893,0.11461784480811066
D2,SYN021,STRONG,BA,A,161,160,1,0.9937888198757764,0.006211180124223614,0.9997726746355818,0.00022732536441816276,1.0,0.0
D3,SYN021,STRONG,BA,A,161,160,1,0.9937888198757764,0.006211180124223614,0.9997726746355818,0.00022732536441816276,1.0,0.0
D2,SYN022,STRONG,BA,A,168,166,2,0.9880952380952381,0.011904761904761862,0.9990608247646977,0.000939175235302292,1.0,0.0
D3,SYN022,STRONG,BA,A,168,164,4,0.9761904761904762,0.023809523809523836,0.9930597772232888,0.006940222776711247,0.9941785347576411,0.005821465242358936
