synthetic_species_id,world,orientation,target_fold,oracle_support_cells,zero_opportunity_support_cells,zero_opportunity_support_fraction,zero_opportunity_truth_mass_fraction,D0_hellinger,D1_hellinger,D1_minus_D0_hellinger,D0_sliced_wasserstein_km,D1_sliced_wasserstein_km,D1_minus_D0_sliced_wasserstein_km
SYN054,STRONG,BA,A,118,3,0.025423728813559324,0.002084766634313084,0.13269762881379712,0.12864189718900496,-0.004055731624792169,2.9138568790978185,2.951630932445683,0.037774053347864545
SYN055,STRONG,BA,A,98,3,0.030612244897959183,0.0023939945203826926,0.13640188295134753,0.13186218291998805,-0.004539700031359478,2.722971192074971,3.0701860241843915,0.3472148321094206
SYN056,STRONG,BA,A,159,23,0.14465408805031446,0.031604717067327065,0.2043918864709186,0.15945042107005528,-0.04494146540086333,5.071937966078988,3.56858973092095,-1.5033482351580374
SYN057,STRONG,BA,A,175,7,0.04,0.005441117859996245,0.1573333094051624,0.14821958899837787,-0.009113720406784542,3.4958709616035986,4.155249422771814,0.6593784611682159
SYN058,STRONG,BA,A,70,4,0.05714285714285714,0.005646818476485729,0.1042696534773749,0.08957064569738328,-0.014699007779991613,2.9277450358034494,3.0208294204758586,0.0930843846724092
SYN059,STRONG,BA,A,143,7,0.04895104895104895,0.009170665614001846,0.1420790111084813,0.12457307766708169,-0.017505933441399626,3.19289228343166,2.284004857295752,-0.9088874261359079
SYN060,STRONG,BA,A,140,0,0.0,0.0,0.1409540558836919,0.1409540558836919,0.0,2.279823371039845,2.279823371039845,0.0
SYN061,STRONG,BA,A,103,2,0.019417475728155338,0.03673747325908452,0.1697710538419551,0.10045464562307961,-0.06931640821887548,7.14771660679412,1.8872012514801066,-5.260515355314013
SYN062,STRONG,BA,A,134,0,0.0,0.0,0.14801682683148898,0.14801682683148898,0.0,4.110842023261329,4.110842023261329,0.0
SYN063,STRONG,BA,A,180,0,0.0,0.0,0.1511882906066706,0.1511882906066706,0.0,4.481620633012695,4.481620633012695,0.0
SYN064,STRONG,BA,A,139,2,0.014388489208633094,0.01920426016426282,0.1717480864763298,0.14019660048283308,-0.03155148599349672,5.010077164500426,3.0519844422561406,-1.958092722244285
SYN065,STRONG,BA,A,144,14,0.09722222222222222,0.08190351860117329,0.24927831799451639,0.13958241768965093,-0.10969590030486545,16.493694293939463,6.7260187713787145,-9.767675522560747
SYN066,STRONG,BA,A,146,4,0.0273972602739726,0.007243983667151141,0.16598155684902632,0.15438967384136523,-0.011591883007661091,6.130017754698166,5.56307987384512,-0.5669378808530459
SYN067,STRONG,BA,A,109,0,0.0,0.0,0.12111271410101841,0.12111271410101841,0.0,2.5572696864882625,2.5572696864882625,0.0
SYN068,STRONG,BA,A,69,2,0.028985507246376812,0.0020171781702124033,0.10314385747280633,0.09808034719520019,-0.00506351027760614,2.5094415344703456,2.6529094225646674,0.14346788809432187
SYN069,STRONG,BA,A,76,0,0.0,0.0,0.10633875608375623,0.10633875608375623,0.0,3.830290764930269,3.830290764930269,0.0
SYN070,STRONG,BA,A,98,0,0.0,0.0,0.10889628439544775,0.10889628439544775,0.0,4.966583244612612,4.966583244612612,0.0
SYN071,STRONG,BA,A,93,3,0.03225806451612903,0.003994131043817074,0.12581869615364888,0.11748763395304664,-0.008331062200602243,5.767368680616977,5.463115586844943,-0.3042530937720347
SYN072,STRONG,BA,A,87,4,0.04597701149425287,0.11512317524574017,0.26945333803178384,0.11181615789549967,-0.15763718013628417,27.401162911515264,3.011955661349754,-24.389207250165512
SYN001,PAIRED_NULL,AB,B,142,3,0.02112676056338028,0.01583818944758296,0.15485139408921864,0.1261149135518744,-0.028736480537344233,2.456373152750664,2.3113804621058582,-0.14499269064480558
SYN002,PAIRED_NULL,AB,B,65,0,0.0,0.0,0.08393500441024927,0.08393500441024927,0.0,4.3163835111120825,4.3163835111120825,0.0
SYN003,PAIRED_NULL,AB,B,175,1,0.005714285714285714,0.0011874585895371554,0.12902544922644188,0.126665155282085,-0.0023602939443568838,4.6731892180498456,4.702776220918595,0.029587002868749046
SYN004,PAIRED_NULL,AB,B,148,0,0.0,0.0,0.11307637537545163,0.11307637537545163,0.0,2.3419904282717776,2.3419904282717776,0.0
SYN005,PAIRED_NULL,AB,B,140,2,0.014285714285714285,0.006847797650775318,0.12649244810890312,0.11192448796887257,-0.014567960140030548,2.9192669290689244,3.7515356620098315,0.8322687329409071
SYN006,PAIRED_NULL,AB,B,66,0,0.0,0.0,0.08652780568049105,0.08652780568049105,0.0,1.9047221324719672,1.9047221324719672,0.0
SYN007,PAIRED_NULL,AB,B,134,4,0.029850746268656716,0.0558880503310203,0.21196128657158086,0.1269409154164555,-0.08502037115512537,8.539479671286083,3.9796279042288916,-4.559851767057191
SYN008,PAIRED_NULL,AB,B,122,0,0.0,0.0,0.12781122236563097,0.12781122236563097,0.0,4.240972784305654,4.240972784305654,0.0
SYN009,PAIRED_NULL,AB,B,84,4,0.047619047619047616,0.25339915044769284,0.3814608016042869,0.09146097308753262,-0.2899998285167543,26.99590484758734,2.94048286570547,-24.05542198188187
SYN010,PAIRED_NULL,AB,B,104,0,0.0,0.0,0.08846447904377375,0.08846447904377375,0.0,4.5143403714586166,4.5143403714586166,0.0
SYN011,PAIRED_NULL,AB,B,123,0,0.0,0.0,0.10195352725501518,0.10195352725501518,0.0,1.9006176804100652,1.9006176804100652,0.0
SYN012,PAIRED_NULL,AB,B,156,2,0.01282051282051282,0.013588864158904562,0.16193362067946013,0.1388196667932327,-0.023113953886227417,13.581172766361496,11.877466814216683,-1.7037059521448121
SYN013,PAIRED_NULL,AB,B,127,1,0.007874015748031496,0.001409603914316697,0.1108264745315985,0.1075629975625769,-0.0032634769690216003,3.6784139270464338,3.6105982156295955,-0.06781571141683829
SYN014,PAIRED_NULL,AB,B,125,0,0.0,0.0,0.11427616325581366,0.11427616325581366,0.0,4.55209354433437,4.55209354433437,0.0
SYN015,PAIRED_NULL,AB,B,166,3,0.018072289156626505,0.0005134027948976425,0.12050050833620717,0.1194154531390043,-0.0010850551972028666,5.7588924842593,5.6175372853194,-0.1413551989399
SYN016,PAIRED_NULL,AB,B,103,5,0.04854368932038835,0.06184842938637392,0.2036164551090251,0.09862515367105644,-0.10499130143796866,3.819056054079258,2.7245280681559683,-1.09452798592329
SYN017,PAIRED_NULL,AB,B,168,0,0.0,0.0,0.11926516436811764,0.11926516436811764,0.0,2.3509648807189505,2.3509648807189505,0.0
SYN018,PAIRED_NULL,AB,B,66,0,0.0,0.0,0.0785722023356693,0.0785722023356693,0.0,1.7523712656794637,1.7523712656794637,0.0
SYN019,PAIRED_NULL,AB,B,76,3,0.039473684210526314,0.009524508385849185,0.11042768425784287,0.08593597001264693,-0.024491714245195945,4.461151514754192,3.2278232565349865,-1.2333282582192058
SYN020,PAIRED_NULL,AB,B,105,11,0.10476190476190476,0.13217331444359376,0.27925965568182287,0.0946572229431293,-0.1846024327386936,15.24884019528092,4.293517887293587,-10.955322307987334
SYN021,PAIRED_NULL,AB,B,161,0,0.0,0.0,0.1268268904451283,0.1268268904451283,0.0,2.5498633784398437,2.5498633784398437,0.0
SYN022,PAIRED_NULL,AB,B,168,2,0.011904761904761904,0.032553745592915,0.19116470780947692,0.14073736277065324,-0.05042734503882368,8.17194252397149,5.156383489561957,-3.0155590344095327
SYN023,PAIRED_NULL,AB,B,170,0,0.0,0.0,0.13456771675473803,0.13456771675473803,0.0,3.634814987594702,3.634814987594702,0.0
SYN024,PAIRED_NULL,AB,B,75,0,0.0,0.0,0.08098411791256742,0.08098411791256742,0.0,4.330790632459498,4.330790632459498,0.0
SYN025,PAIRED_NULL,AB,B,133,1,0.007518796992481203,0.022171432483732018,0.17568165330879967,0.13961616356660075,-0.03606548974219892,4.567604631452742,5.759828126784808,1.1922234953320663
SYN026,PAIRED_NULL,AB,B,133,6,0.045112781954887216,0.0131163005742578,0.13707435270693769,0.1101301411316716,-0.02694421157526608,2.907368576430921,1.9129557729231041,-0.994412803507817
SYN027,PAIRED_NULL,AB,B,147,0,0.0,0.0,0.1276802794728331,0.1276802794728331,0.0,3.1426697186238575,3.1426697186238575,0.0
SYN028,PAIRED_NULL,AB,B,175,3,0.017142857142857144,0.0012498133470939341,0.1286750507270892,0.1261852161728744,-0.0024898345542148093,6.478877551938934,6.319238037994971,-0.15963951394396325
SYN029,PAIRED_NULL,AB,B,136,5,0.03676470588235294,0.08650015715821542,0.24778401413053736,0.12805472104807214,-0.11972929308246522,12.117162496454684,3.277786996278122,-8.839375500176562
SYN030,PAIRED_NULL,AB,B,88,0,0.0,0.0,0.09575297826788183,0.09575297826788183,0.0,2.583655964859586,2.583655964859586,0.0
SYN031,PAIRED_NULL,AB,B,87,1,0.011494252873563218,0.00029464941139841085,0.10385246188660015,0.10313300620698573,-0.0007194556796144141,1.975127962692237,1.9947757603011227,0.019647797608885798
SYN032,PAIRED_NULL,AB,B,169,1,0.005917159763313609,0.04956147515043944,0.20824186368537398,0.13344446350707756,-0.07479740017829642,3.5240318498306276,6.3578562290534135,2.833824379222786
SYN033,PAIRED_NULL,AB,B,148,0,0.0,0.0,0.12969786004949294,0.12969786004949294,0.0,4.537890390251707,4.537890390251707,0.0
SYN034,PAIRED_NULL,AB,B,118,1,0.00847457627118644,0.011677670042815402,0.11506944204694544,0.08569877861888485,-0.029370663428060592,3.9050977868041117,3.430537248376992,-0.47456053842711965
SYN035,PAIRED_NULL,AB,B,136,8,0.058823529411764705,0.043729014483620654,0.1855578605888775,0.10976782535561587,-0.07579003523326162,12.022820285316222,2.4484453690340002,-9.57437491628222
SYN036,PAIRED_NULL,AB,B,129,7,0.05426356589147287,0.06466768562501637,0.21664221976335477,0.11659418860949945,-0.10004803115385531,7.033485664557656,3.58613690424034,-3.4473487603173156
SYN037,PAIRED_NULL,AB,B,63,0,0.0,0.0,0.08493744986924379,0.08493744986924379,0.0,4.564359925057356,4.564359925057356,0.0
SYN038,PAIRED_NULL,AB,B,93,0,0.0,0.0,0.10102009717097854,0.10102009717097854,0.0,5.2048821245814985,5.2048821245814985,0.0
SYN039,PAIRED_NULL,AB,B,134,5,0.03731343283582089,0.003752471307910902,0.1242025081254514,0.116289745969422,-0.007912762156029401,3.6884751486981013,3.9053094093803415,0.2168342606822402
