state,synthetic_species_id,world,orientation,target_fold,original_support_cells,evaluated_support_cells,zero_opportunity_truth_mass_fraction_full_domain,latent_truth_mass_fraction_retained,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
D1,SYN006,PAIRED_NULL,AB,B,66,66,0.0,1.0000000000000002,0.08652780568049105,1.9047221324719672,2.155965285629102,3.1920759122705515,3.1563336174996195,0.060108578177479895,0.060048541168481316
D2,SYN006,PAIRED_NULL,AB,B,66,66,0.0,1.0000000000000002,0.08652780568049105,1.9047221324719668,2.1559652856293856,3.1920759122705507,3.1563336174996195,0.06010857817747987,0.060048541168481316
D3,SYN006,PAIRED_NULL,AB,B,66,65,0.0,0.9988679258592661,0.0832152906054105,1.7348737282337647,1.8100775042857253,3.186872599570313,3.15633361749962,0.06024361986627654,0.060048541168481316
D0,SYN007,PAIRED_NULL,AB,B,134,134,0.0558880503310203,1.0,0.21196128657158086,8.539479671286083,8.242195519178829,3.2393650073076348,3.087921259625589,0.07966250210209706,0.08567042450584611
D1,SYN007,PAIRED_NULL,AB,B,134,134,0.0558880503310203,1.0,0.1269409154164555,3.9796279042288916,3.7812943670621055,3.2393650073076348,3.1678218451225453,0.07966250210209706,0.0784561453965726
D2,SYN007,PAIRED_NULL,AB,B,134,130,0.0558880503310203,0.9441119496689796,0.13063520540918847,3.702840180491545,3.9849363409194076,3.163595972479532,3.0879212596255887,0.08704762071205595,0.08567042450584611
D3,SYN007,PAIRED_NULL,AB,B,134,122,0.0558880503310203,0.7856321417951102,0.1392017544943122,6.238346159484825,7.1900120251008355,3.154061518239624,3.0881467886158602,0.0931981300193403,0.08894119282304125
D0,SYN008,PAIRED_NULL,AB,B,122,122,0.0,1.0000000000000002,0.12781122236563097,4.240972784305654,4.36630639095883,4.100200361338931,4.007504465020658,0.02196621552714495,0.023802237357373215
D1,SYN008,PAIRED_NULL,AB,B,122,122,0.0,1.0000000000000002,0.12781122236563097,4.240972784305654,4.36630639095883,4.100200361338931,4.007504465020658,0.02196621552714495,0.023802237357373215
D2,SYN008,PAIRED_NULL,AB,B,122,122,0.0,1.0000000000000002,0.12781122236563097,4.240972784305654,4.36630639095883,4.100200361338931,4.007504465020658,0.02196621552714495,0.023802237357373215
D3,SYN008,PAIRED_NULL,AB,B,122,121,0.0,0.9960842461778046,0.1279419587230815,4.217188499463086,4.506258339507195,4.0906060560072275,3.998901924673518,0.022123805927243095,0.023940765704200166
D0,SYN009,PAIRED_NULL,AB,B,84,84,0.25339915044769284,1.0,0.3814608016042869,26.99590484758734,34.52336991202404,3.0144266293007425,3.0682750005237556,0.10744588475964005,0.10861989292702724
D1,SYN009,PAIRED_NULL,AB,B,84,84,0.25339915044769284,1.0,0.09146097308753262,2.94048286570547,2.4858384776593896,3.0144266293007425,2.984923260147426,0.10744588475964005,0.10919233770830802
D2,SYN009,PAIRED_NULL,AB,B,84,80,0.25339915044769284,0.7466008495523071,0.10525732156046222,3.515646969845666,4.716285541729766,3.1247663119445503,3.0682750005237556,0.10203180276447785,0.10861989292702724
D3,SYN009,PAIRED_NULL,AB,B,84,70,0.25339915044769284,0.6785370013999851,0.10514773969201549,3.7735694024693944,4.626608117722816,2.951032076945521,2.8902516669620026,0.12081928188371911,0.1301734869503469
D0,SYN010,PAIRED_NULL,AB,B,104,104,0.0,1.0,0.08846447904377375,4.5143403714586166,6.086172633006318,3.5565944522872517,3.55872049379737,0.04415089328568365,0.04308798321867284
D1,SYN010,PAIRED_NULL,AB,B,104,104,0.0,1.0,0.08846447904377375,4.5143403714586166,6.086172633006318,3.5565944522872517,3.55872049379737,0.04415089328568365,0.04308798321867284
D2,SYN010,PAIRED_NULL,AB,B,104,104,0.0,1.0,0.08846447904377375,4.514340371458607,6.086172633006222,3.5565944522872526,3.55872049379737,0.04415089328568367,0.04308798321867284
D3,SYN010,PAIRED_NULL,AB,B,104,100,0.0,0.9984709323147237,0.0873951892950313,4.688360413692334,6.2295729813371326,3.5485631205053325,3.547573189329622,0.04428555586893981,0.04329856355736591
D0,SYN011,PAIRED_NULL,AB,B,123,123,0.0,1.0,0.10195352725501518,1.9006176804100652,2.626961197876274,3.9682740553563414,3.932588369546931,0.027243874560500356,0.027468090931957935
D1,SYN011,PAIRED_NULL,AB,B,123,123,0.0,1.0,0.10195352725501518,1.9006176804100652,2.626961197876274,3.9682740553563414,3.932588369546931,0.027243874560500356,0.027468090931957935
D2,SYN011,PAIRED_NULL,AB,B,123,123,0.0,1.0,0.10195352725501518,1.9006176804100652,2.626961197876274,3.9682740553563414,3.932588369546931,0.027243874560500356,0.027468090931957935
D3,SYN011,PAIRED_NULL,AB,B,123,122,0.0,0.9998234658418352,0.10152418710773638,1.9069232318331029,2.5312044303062398,3.9672722883362104,3.932588369546931,0.027253464881815914,0.027468090931957935
D0,SYN012,PAIRED_NULL,AB,B,156,156,0.013588864158904562,1.0,0.16193362067946013,13.581172766361496,14.584234810266107,4.101538350802214,4.119294273116008,0.027902685112388668,0.025835019266712382
D1,SYN012,PAIRED_NULL,AB,B,156,156,0.013588864158904562,1.0,0.1388196667932327,11.877466814216683,12.151688476561587,4.101538350802214,4.136818730704468,0.027902685112388668,0.025308509794990587
D2,SYN012,PAIRED_NULL,AB,B,156,154,0.013588864158904562,0.9864111358410956,0.13977849970383613,12.537495114712245,12.353641748625746,4.0835848956170215,4.119294273116008,0.028495857260953498,0.025835019266712382
D3,SYN012,PAIRED_NULL,AB,B,156,150,0.013588864158904562,0.9111442729869955,0.14169586666320974,10.533590671668467,10.495958106393582,4.117763252119639,4.131756992125626,0.02691409150738436,0.025446298122288085
D0,SYN013,PAIRED_NULL,AB,B,127,127,0.001409603914316697,0.9999999999999999,0.1108264745315985,3.6784139270464338,5.196576970821594,3.754056729417148,3.7093430176229627,0.03892925829746108,0.04034293323822764
D1,SYN013,PAIRED_NULL,AB,B,127,127,0.001409603914316697,0.9999999999999999,0.1075629975625769,3.6105982156295955,4.850471570456693,3.754056729417148,3.714634844102963,0.03892925829746108,0.040235095302204205
D2,SYN013,PAIRED_NULL,AB,B,127,126,0.001409603914316697,0.9985903960856832,0.10763654306452497,3.467369974650633,4.845827490237252,3.748679002538851,3.709343017622963,0.03903724786269313,0.04034293323822764
D3,SYN013,PAIRED_NULL,AB,B,127,118,0.001409603914316697,0.9419002988405428,0.10642780522223921,3.619253338349983,3.5378878055603247,3.6418557266826554,3.608612462333924,0.043061702862803905,0.04436289174517878
D0,SYN014,PAIRED_NULL,AB,B,125,125,0.0,1.0000000000000002,0.11427616325581366,4.55209354433437,6.023531249850086,3.7842007847202317,3.717817177245677,0.03306652431721953,0.03514056570010135
D1,SYN014,PAIRED_NULL,AB,B,125,125,0.0,1.0000000000000002,0.11427616325581366,4.55209354433437,6.023531249850086,3.7842007847202317,3.717817177245677,0.03306652431721953,0.03514056570010135
D2,SYN014,PAIRED_NULL,AB,B,125,125,0.0,1.0000000000000002,0.11427616325581366,4.552093544334374,6.023531249850179,3.7842007847202312,3.717817177245677,0.03306652431721952,0.03514056570010135
D3,SYN014,PAIRED_NULL,AB,B,125,125,0.0,1.0000000000000002,0.11427616325581366,4.552093544334374,6.023531249850179,3.7842007847202312,3.717817177245677,0.03306652431721952,0.03514056570010135
D0,SYN015,PAIRED_NULL,AB,B,166,166,0.0005134027948976425,1.0,0.12050050833620717,5.7588924842593,6.725435362717134,4.0717811512719715,4.028636646053929,0.026730598765853524,0.026892646949696605
D1,SYN015,PAIRED_NULL,AB,B,166,166,0.0005134027948976425,1.0,0.1194154531390043,5.6175372853194,6.462178847132259,4.0717811512719715,4.0314833694344125,0.026730598765853524,0.026865567463562372
D2,SYN015,PAIRED_NULL,AB,B,166,163,0.0005134027948976425,0.9994865972051024,0.11944580805490276,5.761370160309804,6.461293601669788,4.068917486926721,4.028636646053929,0.026757974301157113,0.026892646949696605
D3,SYN015,PAIRED_NULL,AB,B,166,151,0.0005134027948976425,0.992943031930362,0.11540749315210604,5.37518335510091,6.126096093392904,4.047375906610172,4.013421769769922,0.027090863507762557,0.027142370591550516
D0,SYN016,PAIRED_NULL,AB,B,103,103,0.06184842938637392,1.0000000000000002,0.2036164551090251,3.819056054079258,1.5949393442567337,3.3479873330201193,3.260866365302691,0.07135879664314418,0.07552711505602941
D1,SYN016,PAIRED_NULL,AB,B,103,103,0.06184842938637392,1.0000000000000002,0.09862515367105644,2.7245280681559683,4.268861805472295,3.3479873330201193,3.34712897612863,0.07135879664314418,0.06864298104205799
D2,SYN016,PAIRED_NULL,AB,B,103,98,0.06184842938637392,0.9381515706136263,0.10182159078280094,3.163684199272245,4.558253989809758,3.261744833383471,3.260866365302691,0.07862049578841157,0.07552711505602941
D3,SYN016,PAIRED_NULL,AB,B,103,89,0.06184842938637392,0.9244765137047004,0.09665200653821758,3.057192590581151,3.834140599572825,3.205483609831353,3.208878390682101,0.08092107626128264,0.07773609917563379
D0,SYN017,PAIRED_NULL,AB,B,168,168,0.0,1.0,0.11926516436811764,2.3509648807189505,1.6292855029690196,4.143431467017391,4.081994794162589,0.024780601207551076,0.024771967250017603
D1,SYN017,PAIRED_NULL,AB,B,168,168,0.0,1.0,0.11926516436811764,2.3509648807189505,1.6292855029690196,4.143431467017391,4.081994794162589,0.024780601207551076,0.024771967250017603
D2,SYN017,PAIRED_NULL,AB,B,168,168,0.0,1.0,0.11926516436811764,2.3509648807189505,1.6292855029690196,4.143431467017391,4.081994794162589,0.024780601207551076,0.024771967250017603
D3,SYN017,PAIRED_NULL,AB,B,168,168,0.0,1.0,0.11926516436811764,2.3509648807189505,1.6292855029690196,4.143431467017391,4.081994794162589,0.024780601207551076,0.024771967250017603
D0,SYN018,PAIRED_NULL,AB,B,66,66,0.0,1.0,0.0785722023356693,1.7523712656794637,0.26368919090995957,3.032102492797904,2.993577437144805,0.07712691256957195,0.08097837697845728
D1,SYN018,PAIRED_NULL,AB,B,66,66,0.0,1.0,0.0785722023356693,1.7523712656794637,0.26368919090995957,3.032102492797904,2.993577437144805,0.07712691256957195,0.08097837697845728
D2,SYN018,PAIRED_NULL,AB,B,66,66,0.0,1.0,0.0785722023356693,1.7523712656794637,0.26368919090995957,3.032102492797904,2.993577437144805,0.07712691256957195,0.08097837697845728
D3,SYN018,PAIRED_NULL,AB,B,66,64,0.0,0.9923537714752473,0.07776337764269405,1.5776189429520355,0.20634179494078336,3.0060431525768028,2.9666166068495246,0.07828197459900867,0.08217234143681124
D0,SYN019,PAIRED_NULL,AB,B,76,76,0.009524508385849185,1.0,0.11042768425784287,4.461151514754192,5.721115248156502,3.42535682873782,3.3451287523659845,0.046124115958640216,0.04847566516982091
D1,SYN019,PAIRED_NULL,AB,B,76,76,0.009524508385849185,1.0,0.08593597001264693,3.2278232565349865,2.9912738655467526,3.42535682873782,3.376756035252765,0.046124115958640216,0.047576994106897315
D2,SYN019,PAIRED_NULL,AB,B,76,73,0.009524508385849185,0.9904754916141508,0.08634939932586419,2.8313360144899895,3.0667650247322795,3.3946670568434865,3.3451287523659845,0.046976226733917555,0.04847566516982091
D3,SYN019,PAIRED_NULL,AB,B,76,69,0.009524508385849185,0.9197319989462344,0.08595619758472345,2.5051563891111304,2.4331222608513596,3.350836283685155,3.3121401664926946,0.04954241363861887,0.05051157918881698
D0,SYN020,PAIRED_NULL,AB,B,105,105,0.13217331444359376,0.9999999999999999,0.27925965568182287,15.24884019528092,21.555256721189267,3.188963444901398,3.007465787477158,0.07135501001820899,0.08593289165639513
D1,SYN020,PAIRED_NULL,AB,B,105,105,0.13217331444359376,0.9999999999999999,0.0946572229431293,4.293517887293587,5.0259935219746055,3.188963444901398,3.135691234428318,0.07135501001820899,0.07417220988844664
D2,SYN020,PAIRED_NULL,AB,B,105,94,0.13217331444359376,0.8678266855564061,0.10129262750283412,3.991993560639849,5.074017443152346,3.069344468589386,3.0074657874771575,0.08226138918102886,0.08593289165639513
D3,SYN020,PAIRED_NULL,AB,B,105,75,0.13217331444359376,0.5681626750696069,0.11523378651505335,8.243987131029355,12.451272943765298,2.672481231784033,2.5797557460061755,0.1339337815344069,0.13897131071066648
D0,SYN021,PAIRED_NULL,AB,B,161,161,0.0,1.0,0.1268268904451283,2.5498633784398437,1.5503597799276965,4.3702009011489364,4.318802580189798,0.01746934765962922,0.018148949013372346
D1,SYN021,PAIRED_NULL,AB,B,161,161,0.0,1.0,0.1268268904451283,2.5498633784398437,1.5503597799276965,4.3702009011489364,4.318802580189798,0.01746934765962922,0.018148949013372346
D2,SYN021,PAIRED_NULL,AB,B,161,161,0.0,1.0,0.1268268904451283,2.5498633784398437,1.5503597799276965,4.3702009011489364,4.318802580189798,0.01746934765962922,0.018148949013372346
D3,SYN021,PAIRED_NULL,AB,B,161,160,0.0,0.9836324193250947,0.1278861139501459,2.682144776911996,1.7621529422667013,4.357986805636484,4.305832155043212,0.017778674887445316,0.018482514270769725
D0,SYN022,PAIRED_NULL,AB,B,168,168,0.032553745592915,1.0,0.19116470780947692,8.17194252397149,9.448546727873707,4.431819532106332,4.37464399343808,0.016573544167291687,0.017496721920798264
D1,SYN022,PAIRED_NULL,AB,B,168,168,0.032553745592915,1.0,0.14073736277065324,5.156383489561957,6.466492732764072,4.431819532106332,4.397455156133521,0.016573544167291687,0.01693750637102232
D2,SYN022,PAIRED_NULL,AB,B,168,166,0.032553745592915,0.967446254407085,0.14306753669121797,5.364479795233214,6.64431668436653,4.410300776368095,4.374643993438081,0.0171076660157522,0.017496721920798264
D3,SYN022,PAIRED_NULL,AB,B,168,164,0.032553745592915,0.9353177268128372,0.14439325169713443,5.239886108649816,6.878053952323892,4.387751801309843,4.349225968236889,0.01769612605810343,0.018089474692686187
D0,SYN023,PAIRED_NULL,AB,B,170,170,0.0,1.0,0.13456771675473803,3.634814987594702,2.9549007852473967,4.038687170326243,3.971098764346384,0.029314883588095975,0.030232569994538883
D1,SYN023,PAIRED_NULL,AB,B,170,170,0.0,1.0,0.13456771675473803,3.634814987594702,2.9549007852473967,4.038687170326243,3.971098764346384,0.029314883588095975,0.030232569994538883
D2,SYN023,PAIRED_NULL,AB,B,170,170,0.0,1.0,0.13456771675473803,3.634814987594702,2.9549007852473967,4.038687170326243,3.971098764346384,0.029314883588095975,0.030232569994538883
D3,SYN023,PAIRED_NULL,AB,B,170,166,0.0,0.9893026789240247,0.133795414856231,3.3755069016171877,2.8915749028211857,4.019563767507341,3.953118840415642,0.029848882227861098,0.030860625165937516
D0,SYN024,PAIRED_NULL,AB,B,75,75,0.0,0.9999999999999999,0.08098411791256742,4.330790632459498,5.61705616299156,3.1274565354957815,3.0678179367590306,0.06472058258089491,0.06809695844935673
D1,SYN024,PAIRED_NULL,AB,B,75,75,0.0,0.9999999999999999,0.08098411791256742,4.330790632459498,5.61705616299156,3.1274565354957815,3.0678179367590306,0.06472058258089491,0.06809695844935673
D2,SYN024,PAIRED_NULL,AB,B,75,75,0.0,0.9999999999999999,0.08098411791256742,4.330790632459498,5.61705616299156,3.1274565354957815,3.0678179367590306,0.06472058258089491,0.06809695844935673
D3,SYN024,PAIRED_NULL,AB,B,75,74,0.0,0.971645877973314,0.0812321047499518,3.434647018685277,5.626335559504728,3.085983343073449,3.021944551493204,0.0677014263704579,0.07179265776533662
D0,SYN025,PAIRED_NULL,AB,B,133,133,0.022171432483732018,0.9999999999999998,0.17568165330879967,4.567604631452742,5.007714372531935,3.8141924249742383,3.7766365187630857,0.03445635113567502,0.03396011582540643
D1,SYN025,PAIRED_NULL,AB,B,133,133,0.022171432483732018,0.9999999999999998,0.13961616356660075,5.759828126784808,8.158926606998227,3.8141924249742383,3.7992540785073707,0.03445635113567502,0.032936657124582366
D2,SYN025,PAIRED_NULL,AB,B,133,132,0.022171432483732018,0.9778285675162679,0.1412036146458366,4.971758310296643,7.773473059087198,3.791890364760429,3.7766365187630866,0.03552248562657592,0.03396011582540643
D3,SYN025,PAIRED_NULL,AB,B,133,121,0.022171432483732018,0.8849247799157669,0.14236642705531535,5.068885568330989,7.163871673183058,3.6537874831864596,3.644865187646683,0.04126733925097554,0.03945220282824496
D0,SYN026,PAIRED_NULL,AB,B,133,133,0.0131163005742578,0.9999999999999999,0.13707435270693769,2.907368576430921,3.6967786831415315,3.3983991297583,3.2864359807847476,0.06839807500262732,0.07488980121852624
D1,SYN026,PAIRED_NULL,AB,B,133,133,0.0131163005742578,0.9999999999999999,0.1101301411316716,1.9129557729231041,2.1862895538127605,3.3983991297583,3.331412541674875,0.06839807500262732,0.07292240060963419
D2,SYN026,PAIRED_NULL,AB,B,133,127,0.0131163005742578,0.9868836994257421,0.11086230055092035,1.9935975797552692,2.269682589368564,3.3555535082023527,3.2864359807847476,0.0701688545665638,0.07488980121852624
D3,SYN026,PAIRED_NULL,AB,B,133,121,0.0131163005742578,0.9712870914308296,0.1077212486446365,2.167863849155038,2.0802758955098875,3.3099893868509107,3.2449040325282628,0.07231194145437538,0.07675693394808095
D0,SYN027,PAIRED_NULL,AB,B,147,147,0.0,0.9999999999999999,0.1276802794728331,3.1426697186238575,2.5950167604322503,4.1267731576090325,4.06820389976691,0.022206333107750394,0.023118461325944244
D1,SYN027,PAIRED_NULL,AB,B,147,147,0.0,0.9999999999999999,0.1276802794728331,3.1426697186238575,2.5950167604322503,4.1267731576090325,4.06820389976691,0.022206333107750394,0.023118461325944244
D2,SYN027,PAIRED_NULL,AB,B,147,147,0.0,0.9999999999999999,0.1276802794728331,3.1426697186238566,2.5950167604322294,4.126773157609033,4.06820389976691,0.0222063331077504,0.023118461325944244
D3,SYN027,PAIRED_NULL,AB,B,147,147,0.0,0.9999999999999999,0.1276802794728331,3.1426697186238566,2.5950167604322294,4.126773157609033,4.06820389976691,0.0222063331077504,0.023118461325944244
