state,world,orientation,metric,descriptive_cutoff,comparison,n_profiles,n_at_or_beyond_cutoff,fraction_at_or_beyond_cutoff,decision_status
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,24,0.3333333333333333,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,13,0.18055555555555555,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,2,0.027777777777777776,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,support_fraction_lost,0.0,>0,72,57,0.7916666666666666,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,support_fraction_lost,0.05,>=cutoff,72,25,0.3472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,support_fraction_lost,0.1,>=cutoff,72,11,0.1527777777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,support_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.0,>0,72,64,0.8888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,54,0.75,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,44,0.6111111111111112,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,24,0.3333333333333333,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,13,0.18055555555555555,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,2,0.027777777777777776,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,support_fraction_lost,0.0,>0,72,57,0.7916666666666666,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,support_fraction_lost,0.05,>=cutoff,72,25,0.3472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,support_fraction_lost,0.1,>=cutoff,72,11,0.1527777777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,support_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.0,>0,72,61,0.8472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,42,0.5833333333333334,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,22,0.3055555555555556,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,5,0.06944444444444445,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,4,0.05555555555555555,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,AB,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,support_fraction_lost,0.0,>0,72,57,0.7916666666666666,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,support_fraction_lost,0.05,>=cutoff,72,25,0.3472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,support_fraction_lost,0.1,>=cutoff,72,11,0.1527777777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,support_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.0,>0,72,61,0.8472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,42,0.5833333333333334,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,22,0.3055555555555556,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,5,0.06944444444444445,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,4,0.05555555555555555,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D3,STRONG,BA,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,support_fraction_lost,0.0,>0,576,422,0.7326388888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,support_fraction_lost,0.05,>=cutoff,576,148,0.2569444444444444,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,support_fraction_lost,0.1,>=cutoff,576,54,0.09375,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,support_fraction_lost,0.25,>=cutoff,576,4,0.006944444444444444,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,support_fraction_lost,0.5,>=cutoff,576,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.0,>0,576,476,0.8263888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.001,>=cutoff,576,349,0.6059027777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.01,>=cutoff,576,222,0.3854166666666667,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.05,>=cutoff,576,92,0.1597222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.1,>=cutoff,576,45,0.078125,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.25,>=cutoff,576,8,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
ALL,ALL,ALL,latent_truth_mass_fraction_lost,0.5,>=cutoff,576,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
