candidate_id,frame_id,state_fips,state_abbr,state_name,fold,estimator_family,selected_panels,parent_design_block_count,represented_design_block_count,missing_design_block_count,parent_area_acres,constant_response_recovered_area_acres,full_area_recovery_ratio,missing_parent_area_acres,max_represented_stratum_calibration_relative_error,constant_identity_status,full_design_coverage_status,variance_estimable_block_count_n_ge2,full_evaluation_expns_reused_as_final_fold_weight,final_estimator_selected
T1_IN_A3-5_B1-2-4,T1,18,IN,Indiana,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-4,102,101,1,23157078.3,23153163.866666663,0.999830961692031,3914.433333337307,1.5251709329734115e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,88,0,0
T1_IA_A3-5_B1-2-4,T1,19,IA,Iowa,A,TI_POOLED_SELECTED_PANELS,3-5,29,29,0,36013524.4,36013524.4,1.0,0.0,0.0,PASS,PASS,29,0,0
T1_IA_A3-5_B1-2-4,T1,19,IA,Iowa,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-5,58,55,3,36013524.4,35917124.92124247,0.9973232422995643,96399.47875753045,1.3657056264098824e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,51,0,0
T1_IA_A3-5_B1-2-4,T1,19,IA,Iowa,B,TI_POOLED_SELECTED_PANELS,1-2-4,29,29,0,36013524.4,36013524.4,1.0,0.0,1.2047014639279771e-16,PASS,PASS,29,0,0
T1_IA_A3-5_B1-2-4,T1,19,IA,Iowa,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-4,87,83,4,36013524.4,35963154.9610195,0.9986013743497846,50369.43898049742,0.0,PASS,CONDITIONAL_MISSING_PANEL_STRATA,75,0,0
T1_KS_A2-3_B1-4-5,T1,20,KS,Kansas,A,TI_POOLED_SELECTED_PANELS,2-3,22,22,0,52657279.3,52657279.3,1.0,0.0,1.315279935028015e-16,PASS,PASS,22,0,0
T1_KS_A2-3_B1-4-5,T1,20,KS,Kansas,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3,44,42,2,52657279.3,52576977.526283175,0.9984750109617452,80301.77371682227,1.315279935028015e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,38,0,0
T1_KS_A2-3_B1-4-5,T1,20,KS,Kansas,B,TI_POOLED_SELECTED_PANELS,1-4-5,22,22,0,52657279.3,52657279.300000004,1.0000000000000002,-7.450580596923828e-09,1.308920470285523e-16,PASS,PASS,22,0,0
T1_KS_A2-3_B1-4-5,T1,20,KS,Kansas,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-4-5,66,65,1,52657279.3,52620220.987294436,0.9992962357114117,37058.31270556152,1.3981545087302874e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,61,0,0
T1_KY_A2-3_B1-4-5,T1,21,KY,Kentucky,A,TI_POOLED_SELECTED_PANELS,2-3,29,29,0,25860092.06,25860092.06,1.0,0.0,1.5427393890295658e-16,PASS,PASS,29,0,0
T1_KY_A2-3_B1-4-5,T1,21,KY,Kentucky,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3,58,58,0,25860092.06,25860092.06,1.0,0.0,1.5892259835874432e-16,PASS,PASS,57,0,0
T1_KY_A2-3_B1-4-5,T1,21,KY,Kentucky,B,TI_POOLED_SELECTED_PANELS,1-4-5,29,29,0,25860092.06,25860092.06,1.0,0.0,1.169815145933709e-16,PASS,PASS,29,0,0
T1_KY_A2-3_B1-4-5,T1,21,KY,Kentucky,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-4-5,87,87,0,25860092.06,25860092.06,1.0,0.0,1.6809363689684967e-16,PASS,PASS,87,0,0
T1_LA_A2-4_B1-3-5,T1,22,LA,Louisiana,A,TI_POOLED_SELECTED_PANELS,2-4,26,26,0,33520164.380000003,33520164.380000003,1.0,0.0,1.3091388645436273e-16,PASS,PASS,26,0,0
T1_LA_A2-4_B1-3-5,T1,22,LA,Louisiana,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4,52,52,0,33520164.380000003,33520164.380000003,1.0,0.0,1.455713619858543e-16,PASS,PASS,52,0,0
T1_LA_A2-4_B1-3-5,T1,22,LA,Louisiana,B,TI_POOLED_SELECTED_PANELS,1-3-5,26,26,0,33520164.380000003,33520164.380000003,1.0,0.0,1.3522402888610345e-16,PASS,PASS,26,0,0
T1_LA_A2-4_B1-3-5,T1,22,LA,Louisiana,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3-5,78,78,0,33520164.380000003,33520164.38,0.9999999999999999,3.725290298461914e-09,1.455713619858543e-16,PASS,PASS,78,0,0
T1_ME_A1-5_B2-3-4,T1,23,ME,Maine,A,TI_POOLED_SELECTED_PANELS,1-5,63,63,0,21199748.7,21199748.7,1.0,0.0,1.3541981343715255e-16,PASS,PASS,63,0,0
T1_ME_A1-5_B2-3-4,T1,23,ME,Maine,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-5,126,125,1,21199748.7,21145707.65,0.9974508636510394,54041.050000000745,1.776106104638033e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,116,0,0
T1_ME_A1-5_B2-3-4,T1,23,ME,Maine,B,TI_POOLED_SELECTED_PANELS,2-3-4,63,63,0,21199748.7,21199748.7,1.0,0.0,1.7114604199026754e-16,PASS,PASS,63,0,0
T1_ME_A1-5_B2-3-4,T1,23,ME,Maine,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-3-4,189,186,3,21199748.7,21079946.08219156,0.9943488661349821,119802.61780843884,1.5146167538662506e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,177,0,0
T1_MD_A3-4_B1-2-5,T1,24,MD,Maryland,A,TI_POOLED_SELECTED_PANELS,3-4,25,25,0,6690527.0,6690527.0,1.0,0.0,1.2352964821877433e-16,PASS,PASS,25,0,0
T1_MD_A3-4_B1-2-5,T1,24,MD,Maryland,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-4,50,50,0,6690527.0,6690527.0,1.0,0.0,1.4465438825714566e-16,PASS,PASS,47,0,0
T1_MD_A3-4_B1-2-5,T1,24,MD,Maryland,B,TI_POOLED_SELECTED_PANELS,1-2-5,25,25,0,6690527.0,6690527.0,1.0,0.0,1.5953213605003117e-16,PASS,PASS,25,0,0
