observation_realization,AB_strong_gain_pp,AB_paired_null_gain_pp,AB_separation_pp,BA_strong_gain_pp,BA_paired_null_gain_pp,BA_separation_pp,pooled_strong_gain_pp,pooled_paired_null_gain_pp,pooled_separation_pp,BA_minus_AB_separation_pp,AB_STRONG_geometry_coverage,AB_PAIRED_NULL_geometry_coverage,BA_STRONG_geometry_coverage,BA_PAIRED_NULL_geometry_coverage,pooled_STRONG_geometry_coverage,pooled_PAIRED_NULL_geometry_coverage
34,-1.9222533646134385,4.056639240614976,-6.637799293341918,-24.183398524633127,3.8923340580929433,-26.194337359248262,-13.052825944623283,3.9744866493539597,-16.41606832629509,-19.556538065906345,1.0,0.8125,1.0,0.875,1.0,0.84375
35,-10.499603873431765,4.06554840338299,-14.65713500988223,-18.14467596800239,3.307637235619996,-21.452313203622385,-14.322139920717078,3.686592819501493,-18.054724106752307,-6.7951781937401545,1.0,0.8125,0.9375,0.8125,0.96875,0.8125
36,-5.939941943081676,4.3158669913678995,-10.255808934449576,-22.25202373341501,4.623309954708333,-27.056315180492057,-14.095982838248343,4.469588473038116,-18.656062057470816,-16.80050624604248,1.0,0.875,0.9375,0.875,0.96875,0.875
37,-12.372762183418905,4.115882684404806,-14.99571249738774,-18.628698558794234,3.5066104712161987,-23.40624144527042,-15.50073037110657,3.8112465778105022,-19.20097697132908,-8.410528947882682,1.0,0.875,0.9375,0.875,0.96875,0.875
38,-4.978171155078248,3.0608502791669054,-8.039021434245154,-24.50992586720715,2.6530464854858717,-24.444117490083986,-14.744048511142699,2.8569483823263884,-16.24156946216457,-16.405096055838833,1.0,0.875,0.9375,0.875,0.96875,0.875
39,-9.90626594165682,4.465919108140454,-14.531731009382698,-24.537088257099096,3.8880809030212564,-28.709926071504903,-17.221677099377956,4.177000005580855,-21.6208285404438,-14.178195062122205,1.0,0.875,0.9375,0.875,0.96875,0.875
40,-15.31257221683742,4.098259276525147,-19.41083149336257,-32.5353339536766,3.7272848325168266,-31.24164690774805,-23.92395308525701,3.912772054520987,-25.326239200555307,-11.83081541438548,1.0,0.875,0.9375,0.875,0.96875,0.875
41,-4.36963981622587,5.012324947781226,-9.381964764007098,-21.085942464934572,2.7439755543685664,-23.82991801930314,-12.727791140580221,3.8781502510748966,-16.60594139165512,-14.447953255296042,1.0,0.875,0.9375,0.875,0.96875,0.875
42,-12.830642732100177,4.735761008809366,-18.832864508905296,-18.196042290461826,2.9755740233430887,-21.171616313804915,-15.513342511281001,3.8556675160762275,-20.002240411355103,-2.338751804899619,1.0,0.875,0.9375,0.875,0.96875,0.875
43,-12.056175465753244,3.966366933708301,-14.25952555188163,-15.135007584692344,3.545013736512535,-18.8537292849085,-13.595591525222794,3.755690335110418,-16.556627418395067,-4.59420373302687,1.0,0.875,0.9375,0.875,0.96875,0.875
44,-12.955267832751435,3.572560990388455,-16.52782882313989,-17.14308582792955,4.035884023630024,-21.178969851559575,-15.049176830340492,3.8042225070092397,-18.853399337349735,-4.6511410284196835,1.0,0.875,0.9375,0.8125,0.96875,0.84375
45,-7.9437716703219525,4.128481318375345,-12.072252988697297,-30.989782585967916,3.7596169221630964,-34.86715907517363,-19.466777128144933,3.9440491202692205,-23.469706031935466,-22.794906086476335,1.0,0.875,0.9375,0.875,0.96875,0.875
46,-8.526258771098314,4.169106732190842,-13.28472420500116,-17.776993636616947,2.9128668762583607,-21.753197641171273,-13.151626203857631,3.5409868042246018,-17.518960923086215,-8.468473436170113,1.0,0.875,1.0,0.9375,1.0,0.90625
47,-12.0507201798854,4.427900558997461,-16.58220013685142,-25.513489061811367,3.0776879307879828,-28.59117699259935,-18.782104620848383,3.752794244892722,-22.586688564725385,-12.008976855747932,1.0,0.8125,0.9375,0.875,0.96875,0.84375
48,-10.607953500890327,3.8870940527714564,-14.780342740023794,-25.944131821338484,3.9024366231529575,-29.130283400269168,-18.276042661114406,3.894765337962207,-21.95531307014648,-14.349940660245373,1.0,0.875,0.9375,0.875,0.96875,0.875
49,-6.807763145125911,3.595531929770333,-10.403295074896244,-25.870654921198764,3.285957534172105,-30.804931737380716,-16.339209033162337,3.440744731971219,-20.60411340613848,-20.40163666248447,1.0,0.875,0.9375,0.875,0.96875,0.875
50,-11.913662446295385,3.681994729166824,-13.777387764793444,-18.10448772862601,4.003592136088257,-22.45025689308507,-15.009075087460698,3.8427934326275404,-18.113822328939257,-8.672869128291625,1.0,0.875,0.9375,0.875,0.96875,0.875
51,-11.54153296084981,4.7139331395257535,-16.482013096137653,-12.114671547122356,3.3916234667815255,-15.50629501390388,-11.828102253986083,4.052778303153639,-15.994154055020767,0.9757180822337723,1.0,0.8125,1.0,0.875,1.0,0.84375
52,-13.836470083234847,3.1643892688266977,-14.284819624657304,-26.38308543157791,3.150587642032069,-27.589309557574794,-20.109777757406377,3.1574884554293834,-20.937064591116048,-13.30448993291749,1.0,0.8125,0.9375,0.8125,0.96875,0.8125
53,-9.32639560750157,2.5188177994500123,-9.939429087647971,-31.512244280479802,4.07785456348002,-33.65302326510752,-20.419319943990686,3.2983361814650163,-21.796226176377747,-23.713594177459548,1.0,0.875,0.9375,0.875,0.96875,0.875
54,-9.616627064363945,3.5406209135742572,-10.995264311525862,-20.086940423837895,2.9079905477453085,-22.9949309715832,-14.85178374410092,3.2243057306597827,-16.99509764155453,-11.99966666005734,1.0,0.8125,0.9375,0.875,0.96875,0.84375
55,-4.743936151570986,3.4975979307812475,-8.241534082352233,-23.688522986164653,4.222643674536804,-29.8539958050034,-14.216229568867819,3.8601208026590257,-19.047764943677816,-21.61246172265117,1.0,0.8125,1.0,0.875,1.0,0.84375
56,-7.439641158294295,4.292096162347121,-11.802917355341439,-19.25253295371771,3.7029673337902103,-24.34835390976606,-13.346087056006002,3.997531748068666,-18.075635632553748,-12.545436554424622,1.0,0.8125,0.9375,0.875,0.96875,0.84375
57,-11.062754943698376,4.667147679631508,-18.617131989330254,-16.55550387157564,3.625525691696348,-21.589332571951736,-13.809129407637009,4.146336685663928,-20.103232280640995,-2.9722005826214826,1.0,0.875,0.9375,0.875,0.96875,0.875
58,-12.449955493082593,4.56857342184464,-14.816377320551899,-23.99192938232123,4.8529293329081495,-26.251654471806543,-18.22094243770191,4.710751377376395,-20.53401589617922,-11.435277151254644,1.0,0.8125,0.9375,0.875,0.96875,0.84375
59,-11.260051557726607,3.711346431708514,-12.256722888256169,-16.918993064057283,2.9162443766708877,-20.6211310634823,-14.089522310891944,3.313795404189701,-16.438926975869233,-8.36440817522613,1.0,0.875,0.9375,0.9375,0.96875,0.90625
60,-15.459589610608328,4.141016549518571,-17.45489805425372,-24.42782307606661,3.135729919751944,-25.09338871564107,-19.943706343337468,3.6383732346352575,-21.274143384947394,-7.638490661387348,1.0,0.8125,0.9375,0.8125,0.96875,0.8125
61,-11.613804345595973,3.4234357312660753,-13.739702915145118,-26.977046652107973,3.4575714179966464,-28.557802925879773,-19.295425498851973,3.440503574631361,-21.148752920512447,-14.818100010734655,1.0,0.875,1.0,0.875,1.0,0.875
62,-12.588176888776433,4.192526887401509,-16.78070377617794,-19.202994228117465,3.18823584431907,-22.391230072436535,-15.89558555844695,3.690381365860289,-19.585966924307236,-5.610526296258595,0.9375,0.875,1.0,0.875,0.96875,0.875
63,-5.629268439983019,3.3214183166210165,-9.434450314094157,-24.81232378179852,1.8011991881634795,-25.447836165393465,-15.220796110890769,2.561308752392248,-17.44114323974381,-16.013385851299308,1.0,0.9375,0.9375,0.875,0.96875,0.90625
64,-11.88333080070682,3.67319141929646,-15.55652222000328,-21.33938064801112,4.3160631015415545,-25.655443749552674,-16.61135572435897,3.994627260419007,-20.605982984777977,-10.098921529549393,1.0,0.875,1.0,0.875,1.0,0.875
65,-8.42643472131816,4.4590351080914195,-13.646629262199585,-23.070564442897403,3.8101791770534716,-24.764798557111163,-15.748499582107781,4.134607142572445,-19.205713909655373,-11.118169294911578,0.9375,0.8125,0.9375,0.875,0.9375,0.84375
66,-11.21601016911964,3.288220694050776,-14.259991056367566,-12.394593689661823,3.95332930814812,-16.575515915211923,-11.805301929390732,3.6207750010994477,-15.417753485789746,-2.3155248588443573,1.0,0.9375,0.9375,0.875,0.96875,0.90625
67,-14.221715004658495,3.148531229034525,-15.259625999761028,-24.04573625230683,3.3367118263769897,-29.060451701924748,-19.133725628482665,3.242621527705757,-22.160038850842888,-13.80082570216372,1.0,0.875,0.9375,0.875,0.96875,0.875
68,-8.150737446563602,3.5264257926924985,-12.7068905942857,-16.98874464188677,4.412324563954423,-19.04735403821904,-12.569741044225186,3.9693751783234603,-15.87712231625237,-6.340463443933341,1.0,0.875,1.0,0.875,1.0,0.875
69,-5.924374323058688,3.93705056882786,-10.801368845642246,-19.872862737262817,3.5351283522831807,-24.378762842342468,-12.898618530160753,3.7360894605555206,-17.590065843992356,-13.577393996700222,1.0,0.875,1.0,0.875,1.0,0.875
70,-13.250273714293515,4.259473695928434,-17.13984376253883,-21.332753438622888,2.5809645626058235,-25.41433656458165,-17.2915135764582,3.420219129267129,-21.27709016356024,-8.274492802042818,1.0,0.875,0.9375,0.9375,0.96875,0.90625
71,-8.285277688117297,3.2459799262699587,-11.531257614387256,-18.174490840598143,3.1970006128721993,-22.186285892097686,-13.22988426435772,3.221490269571079,-16.858771753242472,-10.65502827771043,1.0,0.875,0.9375,0.875,0.96875,0.875
72,-8.919027494092564,3.3033210338949046,-12.222348527987469,-17.36758515312978,3.409889036261467,-21.28907507043718,-13.143306323611172,3.3566050350781858,-16.755711799212325,-9.06672654244971,1.0,0.8125,0.9375,0.875,0.96875,0.84375
73,-3.0988785415218345,4.057687306327318,-7.350035479973466,-27.337674777846733,3.6579143423339793,-31.543465649703545,-15.218276659684284,3.8578008243306483,-19.446750564838506,-24.193430169730078,1.0,0.8125,1.0,0.875,1.0,0.84375
74,-4.379574201682542,4.143351367678799,-8.522925569361341,-28.471950446369313,3.596653943737351,-32.65825340650765,-16.42576232402593,3.870002655708075,-20.590589487934494,-24.135327837146306,1.0,0.875,0.9375,0.875,0.96875,0.875
75,-14.066373093112194,4.957729988709105,-17.800962507137427,-28.452811696570254,2.736631606620521,-30.831580658389093,-21.259592394841224,3.847180797664813,-24.31627158276326,-13.030618151251666,1.0,0.875,0.9375,0.875,0.96875,0.875
76,-7.655688186947135,4.88879296621218,-12.544481153159314,-21.78912894014548,3.3992839643410657,-26.099246377244746,-14.722408563546308,4.144038465276623,-19.321863765202032,-13.554765224085433,1.0,0.875,0.9375,0.875,0.96875,0.875
77,-9.371356959690816,4.3648538517276405,-13.736210811418456,-12.910082372461176,2.513260047819604,-17.453112496011165,-11.140719666075995,3.4390569497736223,-15.59466165371481,-3.7169016845927096,1.0,0.875,0.9375,0.9375,0.96875,0.90625
78,-12.150081036826398,3.6958576994296255,-16.660214350581967,-24.65823827720859,3.1052386389787143,-29.414412333983805,-18.404159657017495,3.40054816920417,-23.037313342282886,-12.754197983401838,1.0,0.875,0.9375,0.875,0.96875,0.875
79,-10.47310958702805,1.8759194407774173,-12.349029027805468,-24.043778540820746,2.5373047221429785,-26.581083262963723,-17.258444063924397,2.206612081460198,-19.465056145384594,-14.232054235158255,1.0,0.8125,0.9375,0.875,0.96875,0.84375
80,-5.721159409023774,4.568779829107479,-10.915161755002256,-22.444445983757863,4.339379953614546,-27.5761606093324,-14.082802696390818,4.454079891361012,-19.24566118216733,-16.660998854330145,1.0,0.875,0.9375,0.875,0.96875,0.875
81,-8.94344924463802,2.786284625091429,-11.729733869729449,-22.784320228546054,3.065101644821681,-23.594530047782907,-15.863884736592038,2.925693134956555,-17.662131958756177,-11.864796178053458,1.0,0.875,0.9375,0.875,0.96875,0.875
82,-11.221505452081923,3.6139890622524233,-14.835494514334346,-28.199427273449864,3.4456530909980705,-31.645080364447935,-19.710466362765892,3.5298210766252467,-23.24028743939114,-16.80958585011359,1.0,0.8125,0.9375,0.875,0.96875,0.84375
83,-9.655909929286507,3.099421255977339,-12.17617954460081,-24.121389331270496,3.614436719554287,-24.405225814570404,-16.8886496302785,3.356928987765813,-18.290702679585607,-12.229046269969594,1.0,0.9375,1.0,0.875,1.0,0.90625
84,-16.011758003087785,3.285708272374311,-19.614969301504317,-21.578653926324158,2.9294675864952615,-24.99558805607329,-18.79520596470597,3.1075879294347866,-22.305278678788802,-5.3806187545689745,1.0,0.8125,1.0,0.9375,1.0,0.875
85,-8.624028938243624,3.8812500769918428,-12.620140589132397,-19.639961373726962,3.0215276195246634,-24.048180025928957,-14.131995155985294,3.451388848258253,-18.334160307530677,-11.42803943679656,1.0,0.875,1.0,0.9375,1.0,0.90625
86,-14.034752930569178,3.2358013751124015,-17.27055430568158,-29.091240464964244,3.1026806800303635,-29.743586566289125,-21.56299669776671,3.1692410275713825,-23.50707043598535,-12.473032260607546,1.0,0.875,0.9375,0.875,0.96875,0.875
87,-16.425681205076515,3.540797134029669,-20.432419243614284,-15.808032124661505,3.4576869490112436,-20.12278732987403,-16.11685666486901,3.499242041520456,-20.277603286744156,0.30963191374025456,1.0,0.875,1.0,0.875,1.0,0.875
88,-6.866908661086494,3.2949139748293463,-11.360906439931135,-23.456988624696464,2.70074009081683,-24.427913132434252,-15.16194864289148,2.9978270328230883,-17.894409786182692,-13.067006692503117,1.0,0.875,1.0,0.875,1.0,0.875
89,-7.846590319925931,4.207354318256772,-11.996448970705305,-25.244750235152935,2.758582893166721,-27.701264112363937,-16.545670277539433,3.482968605711746,-19.848856541534623,-15.704815141658631,1.0,0.875,1.0,0.875,1.0,0.875
90,-11.764810612841332,3.978627007396321,-13.902153025583644,-14.89294580529721,4.136939890285673,-20.107242416763278,-13.32887820906927,4.057783448840997,-17.00469772117346,-6.205089391179634,1.0,0.875,0.9375,0.875,0.96875,0.875
91,-12.905182541301963,4.2471024850509576,-16.503464330324096,-18.877544793154716,2.558021806447377,-21.435566599602094,-15.89136366722834,3.402562145749167,-18.969515464963095,-4.932102269277998,1.0,0.875,1.0,0.875,1.0,0.875
92,-13.692743513538293,3.0353901652001465,-16.728133678738438,-20.197351320606103,3.8004930911002197,-23.99784441170632,-16.945047417072196,3.4179416281501833,-20.362989045222378,-7.269710732967884,1.0,0.875,0.9375,0.875,0.96875,0.875
93,-13.086024431085999,3.8384748130904014,-14.84457907850139,-25.610951286590236,3.15986991682255,-30.840800100002976,-19.34848785883812,3.4991723649564754,-22.84268958925218,-15.996221021501587,1.0,0.8125,0.9375,0.875,0.96875,0.84375
94,-11.826254736023765,3.8337877801442413,-17.06888343434411,-19.310146251353274,3.7960791234415883,-23.10622537479486,-15.568200493688519,3.814933451792915,-20.087554404569484,-6.037341940450752,1.0,0.875,1.0,0.875,1.0,0.875
95,-8.952530100896956,4.8204951655707315,-14.488170438598967,-18.750077590775188,3.782596956798505,-23.646185040712737,-13.851303845836071,4.301546061184618,-19.067177739655854,-9.15801460211377,1.0,0.875,0.9375,0.875,0.96875,0.875
96,-13.915648843084355,3.3494969222897057,-17.278206766971138,-26.017223427123678,3.2685328931168716,-27.305066983636447,-19.96643613510402,3.309014907703289,-22.291636875303794,-10.026860216665309,1.0,0.875,0.9375,0.875,0.96875,0.875
97,-9.293774248669115,4.283096237085401,-13.576870485754515,-24.12517347394276,3.687945829575009,-27.81311930351777,-16.709473861305938,3.9855210333302047,-20.694994894636142,-14.236248817763254,1.0,0.875,0.9375,0.875,0.96875,0.875
98,-9.612624079362813,4.376848954764427,-13.98947303412724,-26.660523227980697,3.2947757398452993,-31.142444301950484,-18.136573653671753,3.8358123473048633,-22.56595866803886,-17.152971267823244,1.0,0.8125,0.9375,0.875,0.96875,0.84375
99,-4.361264464248432,3.8530410114906184,-8.21430547573905,-28.867104462678583,3.09843754684773,-28.522066675795735,-16.61418446346351,3.475739279169174,-18.36818607576739,-20.307761200056685,1.0,0.875,0.9375,0.9375,0.96875,0.90625
