synthetic_species_id,world,orientation,target_fold,D3_support_cells,legal_target_fold_plots_in_support,plots_per_occupied_cell,target_fold_TI_sum_in_support,kish_effective_plot_information,mean_expected_total_tree_count,latent_concentration_D3,two_panel_plot_fraction,three_panel_plot_fraction,dominant_panel_role,E1_hellinger,E4_hellinger,E0_test_appearance_count,E5_test_appearance_count,individual_gain_missing_semantics,E0_individual_gain_pp_mean_over_test_appearances,E5_individual_gain_pp_mean_over_MC_and_test_appearances,E5_minus_E0_individual_gain_pp
SYN024,PAIRED_NULL,AB,B,74,4535,61.28378378378378,26989286.44129586,3446.2764537460234,2071.18994140625,0.0677014263704579,0.0,1.0,3_PANEL,0.0812321047499518,0.004196167694507067,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.09542129036823627,-4.696416661002135,-4.600995370633899
SYN024,PAIRED_NULL,BA,A,74,2965,40.067567567567565,26300342.468595,2264.2370569489462,1374.469970703125,0.0677014263704579,1.0,0.0,2_PANEL,0.08441485994701804,0.0056394026058233454,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.09542129036823627,-4.277456394305615,-4.182035103937379
SYN025,STRONG,AB,B,121,1956,16.165289256198346,24407159.670958772,1642.0298940465664,1354.3399658203125,0.0348407949108148,0.0,1.0,3_PANEL,0.12667664665189918,0.007719804106317698,4,800,OBSERVED_IN_FROZEN_TEST_SPLITS,11.032416102944909,-11.023820158545199,-22.056236261490106
SYN025,STRONG,BA,A,121,1286,10.62809917355372,24146041.050862808,1073.0052958984074,897.0150146484375,0.0348407949108148,1.0,0.0,2_PANEL,0.1485998261001922,0.007831323045043043,4,800,OBSERVED_IN_FROZEN_TEST_SPLITS,11.032416102944909,-15.661845083894066,-26.694261186838975
SYN025,PAIRED_NULL,AB,B,121,1956,16.165289256198346,24407159.670958772,1642.0298940465664,1322.5699462890625,0.04126733925097554,0.0,1.0,3_PANEL,0.14236642705531535,0.008961254121609736,4,800,OBSERVED_IN_FROZEN_TEST_SPLITS,-2.034302087048981,26.7402639687639,28.774566055812883
SYN025,PAIRED_NULL,BA,A,121,1286,10.62809917355372,24146041.050862808,1073.0052958984074,793.8350219726562,0.04126733925097554,1.0,0.0,2_PANEL,0.1471372897162171,0.00966743728323917,4,800,OBSERVED_IN_FROZEN_TEST_SPLITS,-2.034302087048981,23.003032008733822,25.037334095782803
SYN026,STRONG,AB,B,121,2712,22.41322314049587,29065018.097530674,2380.902653811437,1573.260009765625,0.06890969144144865,0.0,1.0,3_PANEL,0.12145841107994987,0.006413155664239276,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,26.094098967327596,29.57104633404051,3.4769473667129134
SYN026,STRONG,BA,A,121,1772,14.644628099173554,28698354.233715475,1477.9785754696788,1047.5999755859375,0.06890969144144865,1.0,0.0,2_PANEL,0.14247962301127406,0.009447310572988555,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,26.094098967327596,18.934313635688483,-7.159785331639114
SYN026,PAIRED_NULL,AB,B,121,2712,22.41322314049587,29065018.097530674,2380.902653811437,1608.0849609375,0.07231194145437538,0.0,1.0,3_PANEL,0.1077212486446365,0.007373451208077114,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,-2.099412365738537,12.532300871151078,14.631713236889615
SYN026,PAIRED_NULL,BA,A,121,1772,14.644628099173554,28698354.233715475,1477.9785754696788,1052.2149658203125,0.07231194145437538,1.0,0.0,2_PANEL,0.11966281471168846,0.009068648242034344,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,-2.099412365738537,9.52171947276375,11.621131838502288
