state,synthetic_species_id,world,orientation,support_cells_D3,cell_mass_correlation,allocation_bias,relative_bias,allocation_rmse,relative_rmse,entropy_bias,concentration_bias,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
E1,SYN014,PAIRED_NULL,AB,125,0.9907383180617204,2.0469737016526323e-19,2.5587171270657908e-17,0.002048136604552756,0.25601707556909453,-0.0663836074745543,0.002074041382881829,0.11427616325581366,4.552093544334374,6.023531249850179,3.7842007847202312,3.717817177245677,0.03306652431721952,0.03514056570010135
E1,SYN014,PAIRED_NULL,BA,125,0.9863197691541717,1.6653345369377347e-18,2.0816681711721688e-16,0.002369889102176179,0.29623613777202246,-0.07058735126982407,0.0007677822463137418,0.14626850276060926,6.5874965612919105,9.91961097892031,3.7842007847202312,3.713613433450407,0.03306652431721952,0.03383430656353326
E1,SYN015,STRONG,AB,151,0.9885854168423445,-5.744117470121878e-19,-8.673617379884037e-17,0.0017728288826652596,0.2676971612824542,-0.015725334045751715,0.00029077272749005595,0.11135417846243816,3.8610845091547157,4.344925644124254,4.036819074546298,4.021093740500547,0.027221380283798186,0.027512153011288242
E1,SYN015,STRONG,BA,151,0.9860596142423,-1.0281970271518162e-18,-1.5525775109992423e-16,0.0019535130192643974,0.294980465908924,0.005849967729729677,-0.001254153483429412,0.13622286394687322,3.2320100454048033,2.1431895517659476,4.036819074546298,4.042669042276028,0.027221380283798186,0.025967226800368774
E1,SYN015,PAIRED_NULL,AB,151,0.9814124238708317,1.8610940603194883e-18,2.8102520310824275e-16,0.002246267054102871,0.3391863251695336,-0.033954136840250726,5.150708378795846e-05,0.11540749315210604,5.37518335510091,6.126096093392904,4.047375906610172,4.013421769769922,0.027090863507762557,0.027142370591550516
E1,SYN015,PAIRED_NULL,BA,151,0.9851787178475546,9.133146777493786e-19,1.379105163401562e-16,0.0020205007757726004,0.3050956171416627,-0.0660304318343119,0.00047452589413633783,0.13171133406998498,3.8513774787113086,4.774307247439997,4.047375906610172,3.9813454747758605,0.027090863507762557,0.027565389401898895
E1,SYN016,STRONG,AB,89,0.9960736972373495,1.427735894553945e-18,1.2706849461530112e-16,0.00241660997625676,0.21507828788685165,0.014289268829393631,-0.002974517790199818,0.09632174484832558,2.3612456934925516,3.7115607093160246,3.2733440541817993,3.287633323011193,0.07435999952375472,0.0713854817335549
E1,SYN016,STRONG,BA,89,0.9905872681548786,2.0514566949051568e-18,1.8257964584655897e-16,0.003666177504092889,0.32628979786426715,-0.01714710707131939,0.0006589308141739941,0.1230837170255062,3.6826857385347416,2.051432341091639,3.2733440541817993,3.25619694711048,0.07435999952375472,0.07501893033792871
E1,SYN016,PAIRED_NULL,AB,89,0.9962342247241593,6.8219462538413765e-19,6.071532165918826e-17,0.0024858060024329763,0.22123673421653492,0.003394780850747736,-0.0031849770856488546,0.09665200653821758,3.057192590581151,3.834140599572825,3.205483609831353,3.208878390682101,0.08092107626128264,0.07773609917563379
E1,SYN016,PAIRED_NULL,BA,89,0.9850970828425085,1.5008281758451028e-18,1.3357370765021417e-16,0.005362443457192686,0.47725746769014915,-0.1172920280416827,0.010039206974169684,0.13646357723341182,4.07980719269812,5.31787613799647,3.205483609831353,3.0881915817896703,0.08092107626128264,0.09096028323545233
E1,SYN017,STRONG,AB,168,0.9897248480433554,-1.166808052293924e-18,-1.9602375278537923e-16,0.0015333811937863187,0.25760804055610154,-0.06854956307457183,0.0004872008848209389,0.11040031914135419,2.5750830852922553,3.1755816896946163,4.1434314670173915,4.07488190394282,0.024780601207551083,0.025267802092372022
E1,SYN017,STRONG,BA,168,0.9795818852122242,-1.7966778858331218e-18,-3.018418848199645e-16,0.0021651568723312525,0.36374635455165044,-0.0523134277899997,0.0006505444083251197,0.13695976083454883,5.492564529434191,8.192839055310749,4.1434314670173915,4.091118039227392,0.024780601207551083,0.025431145615876203
E1,SYN017,PAIRED_NULL,AB,168,0.9808312941486909,1.8070036208091741e-19,3.0357660829594124e-17,0.0020725827871542887,0.34819390824192054,-0.0614366728548017,-8.633957533473596e-06,0.11926516436811764,2.3509648807189505,1.6292855029690196,4.143431467017391,4.081994794162589,0.024780601207551076,0.024771967250017603
