K,orientation,metric,n,mean,sd,mcse,q05,median,q95,min,max
1,BA,PAIRED_NULL_sliced_wasserstein_km_median,200,4.4913754594009205,0.2286042997848413,0.01616476505862637,4.119316867698239,4.495973247472241,4.860449733841063,3.8836527802142893,5.116576898172714
1,BA,STRONG_geometry_coverage_crosscheck,200,0.951875,0.026368034458526295,0.0018645015972184498,0.9375,0.9375,1.0,0.9375,1.0
1,BA,PAIRED_NULL_geometry_coverage_crosscheck,200,0.874375,0.02657565998272833,0.0018791829388295168,0.8125,0.875,0.9375,0.8125,0.9375
2,AB,strong_gain_pp,100,-0.7976332018728762,1.1402991305087102,0.11402991305087103,-2.9308616484800054,-0.6849651554031709,0.6316970862723794,-3.474879302060276,1.5682285365985664
2,AB,paired_null_gain_pp,100,4.101685007909502,0.5497024545379898,0.054970245453798985,3.140042893646303,4.1520455482998955,4.851580978845242,2.7677540809403873,5.351816656286087
2,AB,separation_pp,100,-4.755162069330106,1.1181429235988452,0.11181429235988452,-6.738529753828012,-4.831307857249514,-2.875880407105887,-7.300193013518973,-2.049276278527598
2,AB,BA_minus_AB_separation_pp,100,-3.6757442160822222,2.396100571713797,0.23961005717137968,-7.413667379246443,-3.529079671430175,0.1945204109274972,-11.090756416405707,2.4693635274992527
2,AB,STRONG_hellinger_median,100,0.07716600787063506,0.0011365733023737652,0.00011365733023737652,0.07531867584845091,0.0771989581820996,0.07903662013635353,0.07473602802347924,0.07956617886275069
2,AB,PAIRED_NULL_hellinger_median,100,0.07860310194662813,0.0011487401981419285,0.00011487401981419285,0.07679619949804559,0.07863905912665155,0.08045146298693169,0.07588160423936627,0.08141888989585622
2,AB,STRONG_sliced_wasserstein_km_median,100,2.1245308107188734,0.10869546910575965,0.010869546910575966,1.9556098967062308,2.126072287337706,2.3054215537291536,1.8725926358103635,2.467962991641775
2,AB,PAIRED_NULL_sliced_wasserstein_km_median,100,2.5682041644435283,0.13539078390266865,0.013539078390266865,2.377017265304869,2.548616616483441,2.8380149439734748,2.248154696640337,3.0308459251553415
2,AB,STRONG_geometry_coverage_crosscheck,100,0.96,0.03015113445777636,0.003015113445777636,0.9375,0.9375,1.0,0.9375,1.0
2,AB,PAIRED_NULL_geometry_coverage_crosscheck,100,0.865625,0.027199633743077788,0.002719963374307779,0.8125,0.875,0.875,0.8125,0.9375
2,BA,strong_gain_pp,100,-4.59352351346716,2.1079000508460695,0.21079000508460694,-8.25596326435059,-4.446384709027146,-1.374935098062351,-9.938015149019975,0.09893245404432989
2,BA,paired_null_gain_pp,100,3.9196319173399963,0.5847984592652271,0.05847984592652271,2.934500924987265,3.9615335124294018,4.764880869659996,2.1770125805428266,5.0794526944133445
2,BA,separation_pp,100,-8.430906285412329,2.0928176558905283,0.20928176558905282,-11.800657758955508,-8.256813493509863,-4.834672370682166,-14.114764434626132,-3.8407646709621295
2,BA,BA_minus_AB_separation_pp,100,-3.6757442160822222,2.396100571713797,0.23961005717137968,-7.413667379246443,-3.529079671430175,0.1945204109274972,-11.090756416405707,2.4693635274992527
2,BA,STRONG_hellinger_median,100,0.0955444400106755,0.0015105332626730607,0.00015105332626730607,0.09305008513019708,0.09584510201952758,0.09777766617029779,0.09076373617068154,0.09895476267569721
2,BA,PAIRED_NULL_hellinger_median,100,0.09766420276342247,0.0015065122581338283,0.00015065122581338282,0.09557072646045649,0.09754137298938848,0.10001734137793258,0.09404258134191001,0.10134771653376826
2,BA,STRONG_sliced_wasserstein_km_median,100,2.6044147823414643,0.13319550292214202,0.013319550292214202,2.3958744987723684,2.5903331727608485,2.815293470902943,2.343623676080199,2.9683628337192838
2,BA,PAIRED_NULL_sliced_wasserstein_km_median,100,3.1840761399378668,0.18838306974943786,0.018838306974943785,2.8940948547819314,3.203971711762417,3.4017820432117305,2.737367074387302,4.010859866131224
2,BA,STRONG_geometry_coverage_crosscheck,100,0.985,0.02682716849943299,0.002682716849943299,0.9375,1.0,1.0,0.9375,1.0
2,BA,PAIRED_NULL_geometry_coverage_crosscheck,100,0.856875,0.03358686724770786,0.003358686724770786,0.8125,0.875,0.875,0.8125,0.9375
4,AB,strong_gain_pp,50,3.5788305899481605,1.16515496357408,0.16477779517527935,1.5316554058479133,3.7899620938826475,5.0048371767852124,-0.12906871149705595,5.337626761228681
4,AB,paired_null_gain_pp,50,3.8924969903987585,0.5158534516441708,0.07295269475121599,3.025051395497195,4.038170102257922,4.626819968586185,2.8098158228159704,4.7394256095202945
4,AB,separation_pp,50,-0.290556754792668,1.0362248462371453,0.14654432312165458,-2.0887106914869533,-0.2759674249860873,1.3570290741166304,-2.5166919718278726,1.6644156499527156
4,AB,BA_minus_AB_separation_pp,50,-2.7830524323574988,1.361164491310531,0.19249772842320276,-4.800849051545585,-2.8372575223643386,-0.8286476418379268,-5.835525691250194,0.19682591873267619
4,AB,STRONG_hellinger_median,50,0.053401929721101686,0.0008036198817212982,0.00011364901357229224,0.052054488284520625,0.05345179776476251,0.05462233746778362,0.05111604955882336,0.05488940660715264
4,AB,PAIRED_NULL_hellinger_median,50,0.05432363867779829,0.0008360250643044017,0.00011823179844231238,0.05301157083158773,0.054267410323033394,0.05577500833879545,0.05248836037248396,0.0566770640637874
4,AB,STRONG_sliced_wasserstein_km_median,50,1.5143388756761127,0.08604714130034717,0.012168903423038504,1.3762717542647191,1.508894111121641,1.6415804288733538,1.2631492749158668,1.6717206275567027
4,AB,PAIRED_NULL_sliced_wasserstein_km_median,50,1.7840397679423718,0.1053333404891703,0.014896383868984769,1.6026185130300368,1.7678097146902716,1.9721958969381175,1.577388418926603,2.0562230971000566
4,AB,STRONG_geometry_coverage_crosscheck,50,0.9725,0.031339158526400436,0.0044320263021395915,0.9375,1.0,1.0,0.9375,1.0
