scope,predictor,outcome,statistic,value,n,threshold_applied
AB,D3_support_cells,E4_hellinger,spearman_rho,0.7963655890604081,144,NO
AB,D3_support_cells,E5_minus_E0_individual_gain_pp,pearson_r,0.05238422508325654,98,NO
AB,D3_support_cells,E5_minus_E0_individual_gain_pp,spearman_rho,0.00977287163629738,98,NO
AB,latent_concentration_D3,E1_hellinger,pearson_r,-0.42796310211455035,144,NO
AB,latent_concentration_D3,E1_hellinger,spearman_rho,-0.5413246764493177,144,NO
AB,latent_concentration_D3,E4_hellinger,pearson_r,-0.5109820145590562,144,NO
AB,latent_concentration_D3,E4_hellinger,spearman_rho,-0.6245035301758441,144,NO
AB,latent_concentration_D3,E5_minus_E0_individual_gain_pp,pearson_r,0.03901716404897646,98,NO
AB,latent_concentration_D3,E5_minus_E0_individual_gain_pp,spearman_rho,0.08855098105252006,98,NO
AB,two_panel_plot_fraction,E1_hellinger,pearson_r,nan,144,NO
AB,two_panel_plot_fraction,E1_hellinger,spearman_rho,nan,144,NO
AB,two_panel_plot_fraction,E4_hellinger,pearson_r,nan,144,NO
AB,two_panel_plot_fraction,E4_hellinger,spearman_rho,nan,144,NO
AB,two_panel_plot_fraction,E5_minus_E0_individual_gain_pp,pearson_r,nan,98,NO
AB,two_panel_plot_fraction,E5_minus_E0_individual_gain_pp,spearman_rho,nan,98,NO
BA,legal_target_fold_plots_in_support,E1_hellinger,pearson_r,0.13977986578898235,144,NO
BA,legal_target_fold_plots_in_support,E1_hellinger,spearman_rho,0.13342041843750457,144,NO
BA,legal_target_fold_plots_in_support,E4_hellinger,pearson_r,0.21319975702451469,144,NO
BA,legal_target_fold_plots_in_support,E4_hellinger,spearman_rho,0.21368569200873416,144,NO
BA,legal_target_fold_plots_in_support,E5_minus_E0_individual_gain_pp,pearson_r,0.06843719930793894,98,NO
BA,legal_target_fold_plots_in_support,E5_minus_E0_individual_gain_pp,spearman_rho,0.03167872405539686,98,NO
BA,plots_per_occupied_cell,E1_hellinger,pearson_r,-0.3921519123361013,144,NO
BA,plots_per_occupied_cell,E1_hellinger,spearman_rho,-0.35391194697164496,144,NO
BA,plots_per_occupied_cell,E4_hellinger,pearson_r,-0.3106485508230309,144,NO
