K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,23,23,23,AB,-13.977939538976157,3.7996730472218703,-17.77761258619803,1.0,0.875,0.10981115517022909,0.11452573270863273,3.2487394349155334,3.6665799738953355,1.0,0.875,-3.7136160461489425
1,23,23,23,BA,-19.42095460879945,2.9337104124797166,-21.49122863234697,0.9375,0.875,0.1339268323851983,0.1387563724804149,3.727304494646335,4.860430424372121,0.9375,0.875,-3.7136160461489425
1,24,24,24,AB,-8.15307804523599,4.153517520326455,-12.306595565562445,1.0,0.8125,0.10881020640743816,0.11053507991766603,3.183334631529897,3.533220388437802,1.0,0.8125,-19.531396374313225
1,24,24,24,BA,-27.029998065219445,3.359900223125358,-31.83799193987567,0.9375,0.875,0.1334437828102168,0.13522594496612628,3.8786469763436284,4.441879680033739,0.9375,0.875,-19.531396374313225
1,25,25,25,AB,-13.998715414633063,4.73259047055341,-18.620448914278498,1.0,0.875,0.10915862602479419,0.11143200302482839,3.0164363476035847,3.5381715584630475,1.0,0.875,-13.329783543869564
1,25,25,25,BA,-30.609535555566094,4.0332783051505166,-31.95023245814806,1.0,0.875,0.1389902432763448,0.13954104616461588,3.7875366499256824,4.235442237794256,1.0,0.875,-13.329783543869564
1,26,26,26,AB,-11.306206609133294,3.754260905999637,-13.928303803757906,1.0,0.875,0.1061290842047791,0.10883794682832151,3.209580918358246,3.6871038627095927,1.0,0.875,-9.171627088005266
1,26,26,26,BA,-22.624351191293368,4.228904226035295,-23.099930891763172,0.9375,0.875,0.13622924193365327,0.13473405592082088,3.845214425267732,4.119542404181777,0.9375,0.875,-9.171627088005266
1,27,27,27,AB,-9.730812445099499,3.6248599751644077,-13.440170222815985,1.0,0.875,0.110857538058956,0.1123014055052016,2.8480525932942324,3.6645985669151826,1.0,0.875,-3.818741238253251
1,27,27,27,BA,-13.012457029134579,3.8843222180097094,-17.258911461069236,1.0,0.875,0.1329412793759371,0.1359289614783068,3.9697320468477866,4.539920304524365,1.0,0.875,-3.818741238253251
1,28,28,28,AB,-7.611615650501403,3.46002039292693,-11.071636043428335,1.0,0.875,0.10879684120482508,0.11121843260369858,3.203541993523633,3.6392078230356475,1.0,0.875,-19.104253718629415
1,28,28,28,BA,-26.339823638362066,3.836066123695684,-30.17588976205775,0.9375,0.875,0.13476446534998088,0.13700949008532845,3.7625059407380927,4.581785664736067,0.9375,0.875,-19.104253718629415
1,29,29,29,AB,-12.589679104163407,4.28052391783724,-19.29652289263987,1.0,0.875,0.11001223288522337,0.11343470782600798,3.017093354740414,3.4784152934540895,1.0,0.875,-0.9134236574771677
1,29,29,29,BA,-17.088834760528925,3.1211117895881118,-20.20994655011704,0.9375,0.875,0.13402136758859318,0.13974435399615492,4.173392783567989,4.115031674511013,0.9375,0.875,-0.9134236574771677
1,30,30,30,AB,-6.215948741130284,4.543616827801616,-11.781027520825832,1.0,0.8125,0.10942884157236646,0.10915885986097806,2.977315350614931,3.765095345900903,1.0,0.8125,-13.607616671757198
1,30,30,30,BA,-20.97478725309047,3.9935911569756666,-25.38864419258303,0.9375,0.875,0.1363685470069951,0.13734581691277986,3.963042864962212,4.6515514838778405,0.9375,0.875,-13.607616671757198
