component,definition,observation_regime,orientation,metric,left_state,right_state,left_value_pp,right_value_pp,component_value_pp,scientific_disposition
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,BA,paired_null_gain_pp,E1,E5,4.032756453664171,3.549419024713737,0.48333742895043397,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,BA,separation_pp,E1,E5,-26.49497107039923,-25.719602626758693,-0.7753684436405379,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,ALL,strong_gain_pp,E1,E5,-18.16809229146486,-16.0323222504593,-2.1357700410055607,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,ALL,paired_null_gain_pp,E1,E5,3.9784566350893797,3.692229486570595,0.2862271485187846,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O2,ALL,separation_pp,E1,E5,-22.14654892655424,-19.5093896526185,-2.6371592739357403,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,AB,strong_gain_pp,E1,E5,-13.873969966194654,-9.521266119631429,-4.352703846563225,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,AB,paired_null_gain_pp,E1,E5,3.924156816514589,3.8350399484274544,0.08911686808713437,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,AB,separation_pp,E1,E5,-17.798126782709243,-13.299176678478304,-4.498950104230939,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,BA,strong_gain_pp,E1,E5,-22.46221461673506,-22.54337838128717,0.08116376455210883,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,BA,paired_null_gain_pp,E1,E5,4.032756453664171,3.549419024713737,0.48333742895043397,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,BA,separation_pp,E1,E5,-26.49497107039923,-25.719602626758693,-0.7753684436405379,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,ALL,strong_gain_pp,E1,E5,-18.16809229146486,-16.0323222504593,-2.1357700410055607,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,ALL,paired_null_gain_pp,E1,E5,3.9784566350893797,3.692229486570595,0.2862271485187846,NOT_ASSIGNED
D_CURRENT_REALIZATION_DEVIATION,E1 - E5,O3,ALL,separation_pp,E1,E5,-22.14654892655424,-19.5093896526185,-2.6371592739357403,NOT_ASSIGNED
