layer,model,observation_regime,orientation,n_splits_per_world,strong_latent_truth_geometry_gain_pct_median,paired_null_latent_truth_geometry_gain_pct_median,strong_minus_paired_null_latent_truth_geometry_gain_pct_median,strong_predictive_set_gain_pct_median,paired_null_predictive_set_gain_pct_median,strong_minus_paired_null_predictive_set_gain_pct_median,strong_geometry_latent_truth_coverage_median,paired_null_geometry_latent_truth_coverage_median,strong_minus_paired_null_geometry_latent_truth_coverage_median,strong_world0_latent_truth_coverage_median,paired_null_world0_latent_truth_coverage_median,strong_minus_paired_null_world0_latent_truth_coverage_median,strong_geometry_set_diameter_median,paired_null_geometry_set_diameter_median,strong_minus_paired_null_geometry_set_diameter_median,strong_world0_set_diameter_median,paired_null_world0_set_diameter_median,strong_minus_paired_null_world0_set_diameter_median,strong_geometry_latent_truth_error_median,paired_null_geometry_latent_truth_error_median,strong_minus_paired_null_geometry_latent_truth_error_median,strong_world0_latent_truth_error_median,paired_null_world0_latent_truth_error_median,strong_minus_paired_null_world0_latent_truth_error_median,comparator_component_geometry_gain_pct_median,abundance_observation_increment_geometry_gain_pct_median,support_recovery_increment_geometry_gain_pct_median
L2,M0,O2,AB,5,-50.63405208009762,-4.28268961125594,-46.35136246884168,-66.55089828145144,-34.86192627464701,-31.688972006804427,0.9375,0.875,0.0625,0.875,0.9375,-0.0625,409.01202386749276,422.48551994968506,-13.473496082192298,251.40565092247255,332.3096963720955,-80.90404544962297,100.4050644209818,124.86668667199784,-24.46162225101604,63.231430529222635,120.42831407568622,-57.19688354646358,-0.626901413650428,3.8304012041591182,-10.770854207599927
L2,M0,O2,BA,5,-39.69263551882243,-6.613158796416699,-33.07947672240573,-92.93990732469786,-28.545468874899115,-64.39443844979874,0.875,0.875,0.0,0.875,0.9375,-0.0625,331.13309179554864,387.2946273116252,-56.16153551607658,177.4281569176482,393.0553052213541,-215.6271483037059,86.49852894170112,134.94664609458286,-48.448117152881736,60.52198866553391,126.45206264349756,-65.93007397796364,-0.626901413650428,3.8104426745422306,-13.894314412892061
L2,M0,O3,AB,5,-27.21756106520131,-15.140121424512243,-12.077439640689066,-126.4602088214301,-16.431427169727606,-110.0287816517025,1.0,0.9375,0.0625,0.875,0.875,0.0,340.58828673238145,420.9976915672711,-80.40940483488964,157.10362786069413,365.2525598650912,-208.14893200439707,79.39581064978177,125.71749037114316,-46.32167972136139,57.27568702330865,118.3087284460788,-61.033041422770154,-0.626901413650428,3.8304012041591182,-17.756666523651326
L2,M0,O3,BA,5,-41.81168691275361,-9.536488950032457,-32.27519796272115,-49.41898569046307,-29.524369500023322,-19.894616190439745,0.9375,0.9375,0.0,0.9375,0.875,0.0625,272.18079449566187,434.00628355487765,-161.82548905921578,219.31764657079714,341.85664535234633,-122.5389987815492,77.20207271152867,124.08261073711864,-46.88053802558997,53.20742034535046,120.79691219558215,-67.5894918502317,-0.626901413650428,3.8104426745422306,-10.985739722315824
L2,M1,O1,AB,5,57.93923278280671,67.13826019483139,-9.199027412024677,67.00354726733906,68.43349065890584,-1.4299433915667805,0.8125,0.875,-0.0625,1.0,1.0,0.0,190.03024634503237,284.7602616346768,-94.73001528964443,570.4841231157236,877.8003099647785,-307.31618684905493,64.84290522000012,88.62307541527812,-23.780170195278004,162.00626760610933,262.39073330111836,-100.38446569500903,-0.626901413650428,3.8304012041591182,61.61147205696171
L2,M1,O1,BA,5,53.7623416118095,54.625675327497845,-0.8633337156883485,68.51473432195023,69.18939555575325,-0.6746612338030218,0.8125,0.875,-0.0625,0.9375,1.0,-0.0625,159.43663391478398,300.63205412390664,-141.19542020912266,495.5990065686365,975.0372673880534,-479.4382608194168,62.78997731550469,108.50177547764046,-45.71179816213577,141.75723203506038,239.12592916979528,-97.3686971347349,-0.626901413650428,3.8104426745422306,47.74030588078664
L2,M1,O2,AB,5,66.8781118700007,68.70375749603063,-1.8256456260299387,70.04084912104643,69.49997328417977,0.5408758368666611,0.875,0.8125,0.0625,0.9375,1.0,-0.0625,336.26643751911524,424.6123940667804,-88.34595654766514,953.1185791857049,1430.1231374914948,-477.00455830578994,98.43047586529269,125.28266416739689,-26.852188302104196,306.4154921859546,395.16661331904646,-88.75112113309189,-0.626901413650428,3.8304012041591182,62.389261378095895
L2,M1,O2,BA,5,63.53254878609259,61.71096546862933,1.8215833174632579,57.85939912671137,62.25307764339135,-4.393678516679984,0.875,0.875,0.0,1.0,1.0,0.0,386.91940685719794,425.016164320684,-38.096757463486085,819.5924676190832,1322.7837473000545,-503.1912796809713,90.29905659875757,140.19778251629543,-49.89872591753786,282.2849341504546,364.5547523752292,-82.26981822477461,-0.626901413650428,3.8104426745422306,56.450040070262126
L2,M1,O3,AB,5,69.90681954948924,65.42624976139776,4.480569788091486,70.00155301748812,62.043286821629685,7.958266195858435,1.0,0.9375,0.0625,1.0,1.0,0.0,335.97110370766256,482.0596805643109,-146.08857685664833,1101.4431456094467,1275.894252119296,-174.4511065098493,84.03967441022589,133.10157821423053,-49.06190380400464,276.94632172605475,389.528581210413,-112.58225948435825,-0.626901413650428,3.8304012041591182,62.211099821748896
L2,M1,O3,BA,5,58.66252609595713,65.11853654427635,-6.456010448319219,48.081058184971184,62.02780630605166,-13.946748121080475,1.0,0.9375,0.0625,1.0,1.0,0.0,383.52197900826286,439.19815160486996,-55.6761725966071,735.2869657525339,1156.6309682942162,-421.34400254168236,86.81323212566477,125.91566608996845,-39.102433964303685,212.17660272456482,344.85033744412897,-132.67373471956415,-0.626901413650428,3.8104426745422306,58.95275372904804
L2,M2,O1,AB,5,-12.382748825810033,47.847177015122284,-60.22992584093232,-0.1564661921663759,51.253025139061315,-51.40949133122769,0.9375,0.875,0.0625,0.9375,1.0,-0.0625,209.45471586418802,342.1724982786569,-132.7177824144689,193.811951572483,703.5101408073729,-509.69818923488987,55.63133404763597,95.08121716489848,-39.44988311726251,45.23493271371261,177.2765500911184,-132.04161737740577,-0.626901413650428,3.8304012041591182,40.761812080022025
L2,M2,O1,BA,5,-19.195241388390464,42.803149812641855,-61.99839120103232,-15.86714966893992,49.317875608056575,-65.1850252769965,0.875,0.9375,-0.0625,1.0,1.0,0.0,199.53779231402592,378.18365274765546,-178.64586043362954,178.27011687196503,708.2736505817059,-530.0035337097409,51.482449654443634,101.65055751298131,-50.168107858537674,38.011043868999266,171.0754394613585,-133.06439559235923,-0.626901413650428,3.8104426745422306,36.078845803347825
L2,M2,O2,AB,5,39.89986300661281,44.10213632321153,-4.2022733165987205,25.03663825140196,48.10120844752413,-23.06457019612217,0.9375,0.9375,0.0,1.0,1.0,0.0,285.1408797261523,431.0348297039341,-145.8939499777818,339.69062836134276,849.1112704255861,-509.42064206424334,58.242641535459605,131.50858366473955,-73.26594212927995,103.9548350764164,255.1825008335801,-151.2276657571637,-0.626901413650428,3.8304012041591182,37.01677138811127
L2,M2,O2,BA,5,7.083867442324837,45.72385470773048,-38.639987265405644,-42.35191366086894,50.25772666720742,-92.60964032807635,0.9375,0.8125,0.125,0.9375,1.0,-0.0625,332.85303370476277,388.84229748706383,-55.989263782301066,236.4754891664916,937.2623849178008,-700.7868957513092,64.26033716413404,126.53171884551378,-62.27138168137974,64.41332804471287,245.24885658865583,-180.83552854394296,-0.626901413650428,3.8104426745422306,42.54031344683868
L2,M2,O3,AB,5,37.08504377292894,43.60321446554852,-6.518170692619577,16.496402371682837,39.39419694595137,-22.897794574268534,1.0,0.9375,0.0625,0.9375,0.9375,0.0,261.60378954725576,488.5412538275376,-226.93746428028186,316.3929395506594,805.9658469956347,-489.5729074449753,60.42544923216156,135.1813193022635,-74.75587007010193,98.21723212004625,219.39371035713154,-121.17647823708529,-0.626901413650428,3.8304012041591182,40.368440055720924
