layer,model,world,observation_regime,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_support_dispersion,geometry_support_dispersion,source
L2,M0,STRONG,O3,BA,3,9042103,72,28,28,16,0.6000000000000001,-33.33597507544048,-49.41898569046307,-26.230421694571017,0.6875,0.8125,0.75,0.8125,148.46186936419113,221.83021934107472,77.52999558765086,103.37537559274026,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,BA,4,9042104,72,28,28,16,0.6000000000000001,-24.0993651367731,-71.6588490009933,-3.303091493392709,1.0,1.0,0.9375,0.9375,219.31764657079714,376.47814775949684,46.32842737541551,57.49328425074164,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O3,BA,5,9042105,72,28,28,16,0.6000000000000001,-45.09643995224248,-11.383510239134644,-25.31150322079085,0.9375,1.0,1.0,1.0,244.36363507605728,272.18079449566187,53.20742034535046,77.20207271152867,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,AB,1,9042101,72,28,28,16,0.2,-16.887227485694325,-1.474171712090163,-13.438467252096212,0.9375,0.9375,0.9375,1.0,289.4531849538824,293.72022192621654,76.65675265516052,89.6019528591835,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,AB,2,9042102,72,28,28,16,0.2,-3.7090046044519416,-40.69980197505857,1.5190343524980523,0.9375,1.0,0.75,0.875,285.60185782253745,401.84124839339853,99.51631047434822,103.20737501202248,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,AB,3,9042103,72,28,28,16,0.2,-8.977380656254022,7.306012223938481,-0.3887501122321293,0.75,0.875,0.9375,0.9375,285.6117591256862,264.74492909095784,90.28471873400703,98.38992160918713,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,AB,4,9042104,72,28,28,16,0.2,11.247228804736537,-72.87048491889941,8.781257228855225,1.0,1.0,0.75,0.75,239.26834145774762,413.6243421354163,92.11602228283385,81.75552249086144,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,AB,5,9042105,72,28,28,16,0.2,10.310043512491932,-33.497094483593685,10.302037127896789,1.0,1.0,1.0,0.875,279.74195060619553,373.44737611100084,89.70864424316795,80.45964398723075,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,BA,1,9042101,72,28,28,16,0.2,0.4711742173057862,-7.125306735134683,4.430852301093045,1.0,1.0,0.875,1.0,304.1062493978833,325.77475246819614,86.49511175527263,86.08756908945196,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,PAIRED_NULL,O1,BA,2,9042102,72,28,28,16,0.2,-3.7694692054184555,-21.559119941067607,5.855733696473133,0.6875,0.9375,0.6875,0.8125,239.69564884824334,291.37192127695636,106.5465676097365,110.56280766521587,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
