state_fips,state_abbr,candidate_id,fold,selected_panels,effective_design_block_count,panel_by_effective_block_count,empty_panel_block_count,sparse_panel_block_count_n_lt_2,ma_fold_feasibility,ma_role,ma_used_to_select_primary_design,reason,ma_state_feasibility
30,MT,T2_MT_A2-4_B1-3-5,B,1-3-5,230,690,13,51,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
37,NC,T2_NC_A4-5_B1-2-3,A,4-5,22,44,1,1,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
37,NC,T2_NC_A4-5_B1-2-3,B,1-2-3,22,66,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
38,ND,T2_ND_A1-5_B2-3-4,A,1-5,9,18,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
38,ND,T2_ND_A1-5_B2-3-4,B,2-3-4,9,27,0,3,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
31,NE,T2_NE_A1-5_B2-3-4,A,1-5,15,30,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
31,NE,T2_NE_A1-5_B2-3-4,B,2-3-4,15,45,1,3,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
33,NH,T2_NH_A1-4_B2-3-5,A,1-4,18,36,2,3,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
33,NH,T2_NH_A1-4_B2-3-5,B,2-3-5,18,54,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
34,NJ,T2_NJ_A3-4_B1-2-5,A,3-4,11,22,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
34,NJ,T2_NJ_A3-4_B1-2-5,B,1-2-5,11,33,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
35,NM,T2_NM_A1-4_B2-3-5,A,1-4,157,314,3,18,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
35,NM,T2_NM_A1-4_B2-3-5,B,2-3-5,157,471,3,15,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
32,NV,T2_NV_A2-5_B1-3-4,A,2-5,60,120,1,4,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
32,NV,T2_NV_A2-5_B1-3-4,B,1-3-4,60,180,1,6,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
36,NY,T2_NY_A1-3_B2-4-5,A,1-3,74,148,5,13,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
36,NY,T2_NY_A1-3_B2-4-5,B,2-4-5,74,222,8,27,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
39,OH,T2_OH_A1-4_B2-3-5,A,1-4,46,92,3,9,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
39,OH,T2_OH_A1-4_B2-3-5,B,2-3-5,46,138,4,16,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
40,OK,T2_OK_A2-4_B1-3-5,A,2-4,26,52,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
40,OK,T2_OK_A2-4_B1-3-5,B,1-3-5,26,78,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
41,OR,T2_OR_A4-5_B1-2-3,A,4-5,122,244,2,15,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
