target_id,route,reference_strength,statecd,target_df,candidate_pool_df,nc1_available,nc1_pool_df,candidate_scalar_abs_log_error,nc1_scalar_abs_log_error,candidate_better_scalar,candidate_domain_tv,nc1_domain_tv,candidate_better_domain_profile,candidate_domain_cov_relative_frobenius,nc1_domain_cov_relative_frobenius,candidate_better_domain_cov,candidate_generic_joint_relative_frobenius,nc1_generic_joint_relative_frobenius,candidate_better_generic_joint,uncentered_centered_ratio,nc1_fixed_definition,nc2_definition,candidate_domain_pred_min_eigenvalue,candidate_domain_pred_psd_tolerance,candidate_domain_pred_psd_status,candidate_domain_pred_effective_rank,nc1_domain_pred_min_eigenvalue,nc1_domain_pred_psd_tolerance,nc1_domain_pred_psd_status,nc1_domain_pred_effective_rank,candidate_generic_pred_min_eigenvalue,candidate_generic_pred_psd_tolerance,candidate_generic_pred_psd_status,candidate_generic_pred_effective_rank,nc1_generic_pred_min_eigenvalue,nc1_generic_pred_psd_tolerance,nc1_generic_pred_psd_status,nc1_generic_pred_effective_rank,eigensolver_status,regularization_applied
P::30::302201::A::1882171027290487,LEVEL1,R5,30,79,55,YES,2220,nan,nan,-1,0.30416666666666664,1.0,1,0.5370077050407019,1.0488868389805324,1,inf,inf,0,1.430896559383666,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,0.0,1e-10,PASS,3.710229842671572,0.0,1e-10,PASS,57.4000518039715,0.0,8.158287457061379e-08,PASS,1.7520828629224994,0.0,2.1924169693257913e-06,PASS,50.04651120805853,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171028290487,LEVEL1,R2,30,5,129,YES,2220,2.5027421853522998,1.3562553529267287,0,0.4580152671755725,1.0,1,0.7371599240155406,1.0242347981601059,1,0.9657938087162222,1.3432582502778962,1,1.031413128782971,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-7.829998249246926e-18,1e-10,NUMERIC_TOLERANCE,4.528864720822871,-1.9805556361158513e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397148,0.0,1.776988616513124e-08,PASS,1.6405090404719052,0.0,2.1924169693257913e-06,PASS,50.046511208058526,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171029290487,LEVEL1,R2,30,8,102,YES,2220,2.0196228015257103,0.5410076423276529,0,0.6603174603174603,1.0,1,1.0294626082826834,1.050053675867483,1,0.9394156273011482,1.0055179638745262,1,1.3498391956273512,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,4.6823009623559215e-17,1e-10,PASS,3.7256643042541153,0.0,1e-10,PASS,57.400051803971486,-1.1647855571880234e-26,2.1851090925983636e-07,NUMERIC_TOLERANCE,1.365574690645254,0.0,2.1924169693257913e-06,PASS,50.04651120805853,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171030290487,LEVEL1,R2,30,6,104,YES,2220,3.1055285362942997,1.244300340841423,0,0.5233644859813084,1.0,1,0.8411168871690389,1.0283575451981817,1,0.9318451439289954,1.004849105707409,1,4.010973596607503,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,2.268597413507349e-17,1e-10,PASS,3.836013397397811,-1.9805556361158513e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397148,-1.4210854715202004e-14,3.0511819429618236e-07,NUMERIC_TOLERANCE,1.7386860701999451,0.0,2.1924169693257913e-06,PASS,50.046511208058526,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171031290487,LEVEL1,R3,30,10,100,YES,2220,0.48461582233334594,1.5388251330190066,1,0.4554280670785525,1.0,1,0.70122460672959,1.045155400812911,1,2.4952719828434593,2.026656398846303,0,2.540836006575284,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,4.1602825627274166e-17,1e-10,PASS,3.881691396317331,0.0,1e-10,PASS,57.400051803971486,-5.684341886080851e-14,5.026809923825498e-07,NUMERIC_TOLERANCE,1.433999527401197,0.0,2.1924169693257913e-06,PASS,50.04651120805853,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171032290487,LEVEL1,R5,30,86,24,YES,2220,6.145738424836949,5.720708716212422,0,0.3116219667943806,1.0,1,0.5918976295855428,1.0428848888845654,1,953.4960482226827,168.7674310672921,0,1.606264870200454,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-4.691315139425094e-17,1e-10,NUMERIC_TOLERANCE,3.64764608006264,0.0,1e-10,PASS,57.4000518039715,-2.27373675443233e-13,2.1579198336850527e-06,NUMERIC_TOLERANCE,1.5162661054211752,0.0,2.1924169693257917e-06,PASS,50.04651120805855,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171033290487,LEVEL1,R2,30,4,170,YES,2220,nan,0.2697295423274216,-1,0.6627906976744186,1.0,1,0.965850840153166,1.0271926591662406,1,1.0,1.0792136687646876,1,nan,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-2.3054234749835516e-17,1e-10,NUMERIC_TOLERANCE,5.155373524366143,-1.9805556361158513e-18,1e-10,NUMERIC_TOLERANCE,57.40005180397148,0.0,1e-10,PASS,0.0,0.0,2.1924169693257913e-06,PASS,50.046511208058526,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171034290487,LEVEL1,R4,30,22,152,YES,2220,nan,nan,-1,0.3461321287408244,1.0,1,0.6674996166581397,1.0404918336083924,1,inf,inf,0,2.318395941135136,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-8.032614156934669e-18,1e-10,NUMERIC_TOLERANCE,5.110152008691442,0.0,1e-10,PASS,57.4000518039715,-1.1251090576253304e-29,3.131806841699187e-08,NUMERIC_TOLERANCE,2.4287559520884083,0.0,2.1924169693257917e-06,PASS,50.04651120805855,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171035290487,LEVEL1,R5,30,148,26,YES,2220,nan,nan,-1,0.3473154362416107,1.0,1,0.7557247291186261,1.0517243704401456,1,inf,inf,0,2.0532861217574596,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-4.72604408299383e-19,1e-10,NUMERIC_TOLERANCE,3.9646904439478616,0.0,1e-10,PASS,57.4000518039715,0.0,1.8309024613010638e-07,PASS,2.4287559520884083,0.0,2.1924169693257913e-06,PASS,50.04651120805853,EXACT_SYMMETRIC_EIGENSOLVER,NONE
P::30::302201::A::1882171036290487,LEVEL1,R4,30,40,107,YES,2220,0.18592180578447748,3.1933714168826217,1,0.27871396895787137,1.0,1,0.531160936355173,1.044362686730959,1,1.4417636696306673,11.513700211026375,1,2.5622794744438186,PREDECLARED_DIFFERENT_STATE_INCOMPATIBLE_POOL,UNCENTERED_POOLING_OVER_WITHIN_STRATUM_CENTERED_POOLING,-2.4199954398876835e-17,1e-10,NUMERIC_TOLERANCE,5.716724102244707,-2.4879283715211506e-18,1e-10,NUMERIC_TOLERANCE,57.400051803971515,0.0,6.515081720147185e-08,PASS,3.41716641796108,0.0,2.192416969325792e-06,PASS,50.04651120805855,EXACT_SYMMETRIC_EIGENSOLVER,NONE
