target_id,variable,relation_class,target_value_count,pool_value_count,shared_value_count,target_values,pool_values,route,statecd,source_eu,pool_df,target_df,reference_strength,domain_overlap,parent_generic_abs_log_ratio,domain_cov_relative_frobenius,domain_cov_transport_to_noise,generic_joint_relative_frobenius,generic_joint_transport_to_noise,group_size_ratio_pool_to_target,interpretation_boundary
P::12::122301::A::1970863132290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,2,444,81,R5,0.3707534843205575,4.374348435656277,0.9648972008977637,1.451925232546204,42.06732214231737,21.033661071158686,5.463414634146342,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863132290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,2,444,81,R5,0.3707534843205575,4.374348435656277,0.9648972008977637,1.451925232546204,42.06732214231737,21.033661071158686,5.463414634146342,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863132290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,2,444,81,R5,0.3707534843205575,4.374348435656277,0.9648972008977637,1.451925232546204,42.06732214231737,21.033661071158686,5.463414634146342,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863132290487,MEASYEAR,PARTIAL_OVERLAP,4,5,4,2019|2020|2021|2022,2019|2020|2021|2022|2023,LEVEL1,12,2,444,81,R5,0.3707534843205575,4.374348435656277,0.9648972008977637,1.451925232546204,42.06732214231737,21.033661071158686,5.463414634146342,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863133290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,3,573,201,R5,0.8122593509350935,4.199035113048651,0.3860919923712629,0.7353004376796944,48.629849802325005,27.02942725614786,2.8514851485148514,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863133290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,3,573,201,R5,0.8122593509350935,4.199035113048651,0.3860919923712629,0.7353004376796944,48.629849802325005,27.02942725614786,2.8514851485148514,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863133290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,3,573,201,R5,0.8122593509350935,4.199035113048651,0.3860919923712629,0.7353004376796944,48.629849802325005,27.02942725614786,2.8514851485148514,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863133290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,3,573,201,R5,0.8122593509350935,4.199035113048651,0.3860919923712629,0.7353004376796944,48.629849802325005,27.02942725614786,2.8514851485148514,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863134290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,3,493,281,R5,0.8247969572180279,0.9911559319842431,0.3558899500900099,0.701489966463748,2.9656925844136173,3.120900003847253,1.7588652482269505,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863134290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,3,493,281,R5,0.8247969572180279,0.9911559319842431,0.3558899500900099,0.701489966463748,2.9656925844136173,3.120900003847253,1.7588652482269505,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
