analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name
136221,Nyssa sylvatica,Marshall,Nyssaceae,Species,Accepted,271953-1,271953-1,Y,1,693,Nyssa sylvatica,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,136221,Nyssa sylvatica
144637,Ostrya virginiana,(Mill.) K.Koch,Betulaceae,Species,Accepted,295672-1,295672-1,Y,1,701,Ostrya virginiana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,144637,Ostrya virginiana
171430,Quercus acutissima,Carruth.,Fagaceae,Species,Accepted,295743-1,295743-1,Y,1,8427,Quercus acutissima,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171430,Quercus acutissima
171483,Quercus agrifolia,Née,Fagaceae,Species,Accepted,295759-1,295759-1,Y,1,801,Quercus agrifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171483,Quercus agrifolia
171499,Quercus alba,L.,Fagaceae,Species,Accepted,295763-1,295763-1,Y,1,802,Quercus alba,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171499,Quercus alba
171655,Quercus arizonica,Sarg.,Fagaceae,Species,Accepted,215552-2,215552-2,Y,1,803,Quercus arizonica,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,171655,Quercus arizonica
171657,Quercus arkansana,Sarg.,Fagaceae,Species,Accepted,215554-2,215554-2,Y,1,6768,Quercus arkansana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171657,Quercus arkansana
171779,Quercus bicolor,Willd.,Fagaceae,Species,Accepted,295855-1,295855-1,Y,1,804,Quercus bicolor,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171779,Quercus bicolor
171890,Quercus buckleyi,Nixon & Dorr,Fagaceae,Species,Accepted,284107-2,284107-2,Y,1,8513,Quercus buckleyi,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,171890,Quercus buckleyi
172147,Quercus chrysolepis,Liebm.,Fagaceae,Species,Accepted,295951-1,295951-1,Y,1,805,Quercus chrysolepis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172147,Quercus chrysolepis
172244,Quercus coccinea,Münchh.,Fagaceae,Species,Accepted,359510-1,359510-1,Y,1,806,Quercus coccinea,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172244,Quercus coccinea
172538,Quercus douglasii,Hook. & Arn.,Fagaceae,Species,Accepted,296074-1,296074-1,Y,1,807,Quercus douglasii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172538,Quercus douglasii
172621,Quercus ellipsoidalis,E.J.Hill,Fagaceae,Species,Accepted,215810-2,215810-2,Y,1,809,Quercus ellipsoidalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172621,Quercus ellipsoidalis
172635,Quercus emoryi,Torr.,Fagaceae,Species,Accepted,306491-2,306491-2,Y,1,810,Quercus emoryi,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,172635,Quercus emoryi
172644,Quercus engelmannii,Greene,Fagaceae,Species,Accepted,215821-2,215821-2,Y,1,811,Quercus engelmannii,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172644,Quercus engelmannii
172729,Quercus falcata,Michx.,Fagaceae,Species,Accepted,215831-2,215831-2,Y,1,812,Quercus falcata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,172729,Quercus falcata
172843,Quercus gambelii,Nutt.,Fagaceae,Species,Accepted,296173-1,296173-1,Y,1,814,Quercus gambelii,ACCEPTED_SPECIES,0,0,0,1,DRC_ONLY,1,1,0,0,172843,Quercus gambelii
