analysis_species_id,analysis_species_name,confirmed_native_CONUS,core_eligibility_status,all_view_detected_cells_fold_A,all_view_detected_cells_fold_B,native_view_detected_cells_fold_A,native_view_detected_cells_fold_B,passes_ge10_each_fold_all_view,passes_ge10_each_fold_native_view,union_queue_flag,queue_role,little_information_used
379966,Pinus glabra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,66,68,66,68,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379708,Pinus jeffreyi,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,48,55,48,55,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379703,Pinus lambertiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,67,63,67,63,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379762,Pinus longaeva,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,10,12,10,12,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380231,Pinus monophylla,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,115,121,115,121,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380255,Pinus monticola,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,92,80,92,80,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380268,Pinus palustris,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,184,200,184,200,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380358,Pinus ponderosa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,437,444,253,256,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380272,Pinus pungens,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,33,33,32,33,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380302,Pinus resinosa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,226,235,214,226,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380293,Pinus rigida,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,108,121,108,121,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380011,Pinus sabiniana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,37,34,37,34,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
379991,Pinus serotina,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,73,69,73,69,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
380012,Pinus strobiformis,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,19,26,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
