fia_species_code,fia_name_raw,analysis_species_id,analysis_species_name,analysis_species_authors,mapping_class,diameter_measurement_basis,pooling_group_component_code_count,pooling_group_component_codes,pooling_applied_flag,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,confirmed_native_state_tree_rows,explicit_introduced_state_tree_rows,unclassified_state_tree_rows,component_positive_primary_plots,pooled_species_positive_primary_plots,sum_component_positive_plots_before_dedup,plot_overlap_removed_by_species_pooling,aggregation_rule
67,Juniperus virginiana var. silicicola,377287,Juniperus virginiana,L.,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,67;68,1,130,58,72,130,0,0,38,6556,6560,4,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
68,Juniperus virginiana,377287,Juniperus virginiana,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,67;68,1,30214,15108,15106,30214,0,0,6522,6556,6560,4,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
69,Juniperus monosperma,377543,Juniperus monosperma,(Engelm.) Sarg.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,69,0,10818,5345,5473,10818,0,0,1385,1385,1385,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
71,Larix laricina,379072,Larix laricina,(Du Roi) K.Koch,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,71,0,12399,6537,5862,12399,0,0,1831,1831,1831,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
72,Larix lyallii,379089,Larix lyallii,Parl.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,72,0,243,174,69,243,0,0,37,37,37,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
73,Larix occidentalis,379096,Larix occidentalis,Nutt.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,73,0,6788,3569,3219,6788,0,0,1549,1549,1549,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
81,Calocedrus decurrens,382424,Calocedrus decurrens,(Torr.) Florin,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,81,0,5615,2884,2731,5614,0,1,997,997,997,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
91,Picea abies,380406,Picea abies,(L.) H.Karst.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,91,0,1741,847,894,0,1700,41,231,231,231,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
92,Picea breweriana,380618,Picea breweriana,S.Watson,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,92,0,22,12,10,22,0,0,3,3,3,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
93,Picea engelmannii,380614,Picea engelmannii,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,93,0,24765,11604,13161,24765,0,0,3124,3124,3124,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
94,Picea glauca,381078,Picea laxa,(Münchh.) Sarg.,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,94,0,9727,5074,4653,9618,0,109,2717,2717,2717,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
95,Picea mariana,380589,Picea mariana,"(Mill.) Britton, Sterns & Poggenb.",ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,95,0,20007,10129,9878,20007,0,0,2325,2325,2325,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
96,Picea pungens,380719,Picea pungens,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,96,0,1107,570,537,912,14,181,175,175,175,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
97,Picea rubens,380751,Picea rubens,Sarg.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,97,0,22330,11542,10788,22329,0,1,3021,3021,3021,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
98,Picea sitchensis,380741,Picea sitchensis,(Bong.) Carrière,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,98,0,1250,558,692,1250,0,0,257,257,257,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
101,Pinus albicaulis,380705,Pinus albicaulis,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,101,0,5007,2467,2540,5007,0,0,703,703,703,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
102,Pinus aristata,380723,Pinus aristata,Engelm.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,102,0,508,153,355,508,0,0,85,85,85,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
103,Pinus attenuata,381057,Pinus attenuata,Lemmon,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,103,0,214,67,147,214,0,0,53,53,53,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
104,Pinus balfouriana,380514,Pinus balfouriana,Balf.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,104,0,224,72,152,224,0,0,15,15,15,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
105,Pinus banksiana,380544,Pinus banksiana,Lamb.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,105,0,8112,4069,4043,8111,0,1,1024,1024,1024,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
106,Pinus edulis,379820,Pinus edulis,Engelm.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,106,0,21892,11273,10619,21892,0,0,2984,2984,2984,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
107,Pinus clausa,379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,107,0,2589,1314,1275,2546,0,43,167,167,167,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
108,Pinus contorta,379843,Pinus contorta,Douglas ex Loudon,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,108,0,58644,28045,30599,58644,0,0,4232,4232,4232,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
109,Pinus coulteri,379852,Pinus coulteri,D.Don,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,109,0,20,11,9,20,0,0,8,8,8,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
110,Pinus echinata,379818,Pinus echinata,Mill.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,110,0,21020,10376,10644,20952,0,68,4359,4359,4359,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
