analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,component_fia_code_count,component_fia_codes,component_fia_names,diameter_basis_composition,confirmed_native_CONUS,core_eligibility_status,grain_km,census_view,fold_scope,n_unique_physical_plot_lineages,n_primary_measurements,n_sampled_cells,n_positive_plots,n_detected_cells,n_qualifying_tree_rows,n_dbh_tree_rows,n_drc_tree_rows,n_unclassified_diameter_basis_tree_rows,n_confirmed_native_state_tree_rows,n_explicit_introduced_state_tree_rows,n_no_confirmed_native_or_introduced_state_tree_rows,n_connected_components_detection_support,largest_component_fraction,spatial_span_km,sampling_frame_note,threshold_role
381647,Abies balsamea,(L.) Mill.,Species,1,12,Abies balsamea,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,WCVP_CONFIRMED_NATIVE_STATE,B,17705,17705,301,3566,117,26408,26408,0,0,26408,0,0,5,0.5555555555555556,2515.5764746872633,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,ALL,115725,115725,10051,1809,444,17848,17848,0,0,17815,0,33,64,0.48423423423423423,4461.572032367068,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,A,57920,57920,9235,927,337,8995,8995,0,0,8981,0,14,64,0.5192878338278932,3611.526685489116,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,B,57805,57805,9171,882,348,8853,8853,0,0,8834,0,19,72,0.4511494252873563,4461.572032367068,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,ALL,115725,115725,2970,1809,216,17848,17848,0,0,17815,0,33,26,0.4398148148148148,4438.468204234429,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,A,57920,57920,2846,927,172,8995,8995,0,0,8981,0,14,20,0.5174418604651163,3600.694377477767,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,B,57805,57805,2830,882,185,8853,8853,0,0,8834,0,19,25,0.4594594594594595,4438.468204234429,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,ALL,115725,115725,1441,1809,137,17848,17848,0,0,17815,0,33,15,0.40145985401459855,4471.157568236664,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,A,57920,57920,1411,927,107,8995,8995,0,0,8981,0,14,12,0.4672897196261682,3589.0458342016195,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,1,15,Abies concolor,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,B,57805,57805,1397,882,119,8853,8853,0,0,8834,0,19,14,0.42857142857142855,4471.157568236664,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
