analysis_species_id,analysis_species_name,fia_state_code,fia_state_ab,fia_state_name,wcvp_area_code_l3,wcvp_area_name,state_identity_mapping_type,wcvp_level3_rows,confirmed_current_native_rows,explicit_introduced_rows,native_historical_extinct_rows,native_location_doubtful_rows,state_evidence_class,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,positive_primary_plots,positive_primary_plots_fold_A,positive_primary_plots_fold_B,confirmed_native_CONUS,core_eligibility_status,status_inference_from_alias
381632,Abies amabilis,38,ND,North Dakota,NDA,North Dakota,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,39,OH,Ohio,OHI,Ohio,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,40,OK,Oklahoma,OKL,Oklahoma,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,41,OR,Oregon,ORE,Oregon,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,2926,1535,1391,283,152,131,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,42,PA,Pennsylvania,PEN,Pennsylvania,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,44,RI,Rhode Island,RHO,Rhode I.,AUTHORIZED_EXPLICIT_ALIAS,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,45,SC,South Carolina,SCA,South Carolina,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,46,SD,South Dakota,SDA,South Dakota,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,47,TN,Tennessee,TEN,Tennessee,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,48,TX,Texas,TEX,Texas,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
