"KEY","RUN_ID","ITEM_TYPE","NAME","STATE","TABLE","REQUEST_URL","TARGET_PATH","STATUS","ATTEMPTS","HTTP_STATUS","BYTES","SHA256","MESSAGE","CHECKED_AT"
"RAW|OR|POP_EVAL_GRP","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_POP_EVAL_GRP.zip","Oregon","POP_EVAL_GRP","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL_GRP.zip","DOWNLOADED_FROZEN","1","200","837","0b3e6f266d39017e2e4219a32421a75c7644ef0078941dd7c41188092a011784","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:28.6419665+08:00"
"RAW|OR|POP_EVAL_TYP","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_POP_EVAL_TYP.zip","Oregon","POP_EVAL_TYP","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL_TYP.zip","DOWNLOADED_FROZEN","1","200","1134","e5d157bb2ebf6590af76883682ea6d9f7762393f8cdac1f39bc95ce76bd2cc87","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:32.6332218+08:00"
"RAW|OR|POP_PLOT_STRATUM_ASSGN","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_POP_PLOT_STRATUM_ASSGN.zip","Oregon","POP_PLOT_STRATUM_ASSGN","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_PLOT_STRATUM_ASSGN.zip","DOWNLOADED_FROZEN","1","200","6064878","d51b8e22273bc285c8a6ab5b9ea28e23aaffe9de1e95806d68e79392da747663","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:21:43.5042474+08:00"
"RAW|OR|POP_STRATUM","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_POP_STRATUM.zip","Oregon","POP_STRATUM","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_STRATUM.zip","DOWNLOADED_FROZEN","1","200","235280","dfe587a2df21c693282474f1c60bba94bcf4a7cc911f18b168a4758c58fd5de1","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:40.2348161+08:00"
"RAW|OR|SURVEY","e0c9d8ab5b78","RAW_TABLE_ZIP","OR_SURVEY.zip","Oregon","SURVEY","https://apps.fs.usda.gov/fia/datamart/CSV/OR_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_SURVEY.zip","DOWNLOADED_FROZEN","1","200","1958","942c5183a2c0340e854dd9d85b5750cbad304fb58b66106aafd3c8948a31e43f","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:00.7416386+08:00"
"RAW|WA|PLOT","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_PLOT.zip","Washington","PLOT","https://apps.fs.usda.gov/fia/datamart/CSV/WA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_PLOT.zip","DOWNLOADED_FROZEN","1","200","848326","0b572645a39a1ebf18b23dbbba26e1eaf3e89cc389aa66f4206f1cb47dc46adb","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:29.8400533+08:00"
"RAW|WA|POP_ESTN_UNIT","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_POP_ESTN_UNIT.zip","Washington","POP_ESTN_UNIT","https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_ESTN_UNIT.zip","DOWNLOADED_FROZEN","1","200","1876","b5ea750a8458b600464c219771ef8c5ece9a726fd0ae18e7929ffece0e4b7265","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:08.3416596+08:00"
"RAW|WA|POP_EVAL","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_POP_EVAL.zip","Washington","POP_EVAL","https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_EVAL.zip","DOWNLOADED_FROZEN","1","200","1351","2b3e903a431f4a50f3f61404840c105b8fbe3199a2e7b5546c2ab58af227c651","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:06.3167513+08:00"
"RAW|WA|POP_EVAL_GRP","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_POP_EVAL_GRP.zip","Washington","POP_EVAL_GRP","https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_EVAL_GRP.zip","DOWNLOADED_FROZEN","1","200","793","ba4cc6396be0b6d7c05a3561835bce51eb15425f0dbd081fd992e0aa070b179b","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:03.0675879+08:00"
"RAW|WA|POP_EVAL_TYP","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_POP_EVAL_TYP.zip","Washington","POP_EVAL_TYP","https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_EVAL_TYP.zip","DOWNLOADED_FROZEN","1","200","1003","dcc94db945c35bc2748e2ed6cb7cad2ab8c8e42d084f9d07028559b071fad0e2","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:04.4108020+08:00"
"RAW|WA|POP_PLOT_STRATUM_ASSGN","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_POP_PLOT_STRATUM_ASSGN.zip","Washington","POP_PLOT_STRATUM_ASSGN","https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_PLOT_STRATUM_ASSGN.zip","DOWNLOADED_FROZEN","1","200","3709175","cb984f57247b7ca97dc25569359909a83fe251636afad6ba3ceee82cf310dda0","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:25.0352656+08:00"
"RAW|WA|POP_STRATUM","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_POP_STRATUM.zip","Washington","POP_STRATUM","https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_STRATUM.zip","DOWNLOADED_FROZEN","1","200","185972","99eeb190bb67fc0d6c42f0766407209dcc393e1d9db1abea18dc1a8289071e08","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:10.7778639+08:00"
"RAW|WA|SURVEY","e0c9d8ab5b78","RAW_TABLE_ZIP","WA_SURVEY.zip","Washington","SURVEY","https://apps.fs.usda.gov/fia/datamart/CSV/WA_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_SURVEY.zip","DOWNLOADED_FROZEN","1","200","1692","9731a19d4c7c0556938c05dfcfcb30964fabca6f7917801e2b28367b1993e28e","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:22:31.1521408+08:00"
