SPCD,fia_name,usgs_column,match_status,detected_eligible_plots,US_occupied_grids,Canada_occupied_grids,US_fraction_of_US_plus_Canada,Canada_extension
8420,Pyrus spp.,,unresolved,4,,,,
977,Ulmus thomasii,Ulmus thomasii,exact,4,1047,140,0.8820556023588879,yes
136,Pinus nigra,,unresolved,3,,,,
202,Pseudotsuga menziesii,Pseudotsuga menziesii,exact,3,1024,519,0.6636422553467272,yes
355,Alnus glutinosa,,unresolved,3,,,,
451,Catalpa bignonioides,,unresolved,3,,,,
571,Gymnocladus dioicus,Gymnocladus dioicus,exact,3,1070,1,0.9990662931839402,yes
71,Larix laricina,Larix laricina,exact,3,1409,7353,0.16080803469527505,yes
766,Prunus americana,Prunus americana,exact,3,3586,70,0.9808533916849015,yes
809,Quercus ellipsoidalis,Quercus ellipsoidalis,exact,3,430,3,0.9930715935334873,yes
823,Quercus macrocarpa,Quercus macrocarpa,exact,3,3088,597,0.8379918588873813,yes
842,Quercus incana,Quercus incana,exact,3,587,0,1.0,no
8423,Pyrus communis,,unresolved,3,,,,
8427,Quercus acutissima,,unresolved,3,,,,
501,Crataegus crus-galli,,unresolved,2,,,,
543,Fraxinus nigra,Fraxinus nigra,exact,2,1486,1437,0.50838179952104,yes
816,Quercus ilicifolia,Quercus ilicifolia,exact,2,309,0,1.0,no
937,Sorbus decora,Sorbus decora,exact,2,228,3289,0.06482797839067388,yes
974,Ulmus pumila,,unresolved,2,,,,
105,Pinus banksiana,Pinus banksiana,exact,1,374,4296,0.08008565310492505,yes
12,Abies balsamea,Abies balsamea,exact,1,688,4256,0.13915857605177995,yes
15,Abies concolor,Abies concolor,exact,1,261,0,1.0,no
241,Thuja occidentalis,Thuja occidentalis,exact,1,738,1682,0.3049586776859504,yes
331,Aesculus glabra,Aesculus glabra,exact,1,1400,0,1.0,no
350,Alnus spp.,,unresolved,1,,,,
422,Castanea pumila,Castanea pumila,exact,1,1340,0,1.0,no
424,Castanea mollissima,,unresolved,1,,,,
551,Gleditsia aquatica,Gleditsia aquatica,exact,1,431,0,1.0,no
561,Ginkgo biloba,,unresolved,1,,,,
662,Malus angustifolia,Malus angustifolia,exact,1,630,0,1.0,no
67,Juniperus virginiana var. silicicola,Juniperus silicicola,accepted_name_to_usgs_original,1,207,0,1.0,no
722,Planera aquatica,Planera aquatica,exact,1,635,0,1.0,no
7328,Halesia tetraptera,,unresolved,1,,,,
753,Populus nigra,,unresolved,1,,,,
760,Prunus spp.,,unresolved,1,,,,
921,Salix amygdaloides,Salix amygdaloides,exact,1,3840,1178,0.7652451175767238,yes
927,Salix alba,,unresolved,1,,,,
