"source_local_path","source_file_role","staged_local_path","relative_path","size_bytes","sha256","copy_status","original_relay_policy","original_notes"
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_SURVEY.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_CA_SURVEY.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_CA_SURVEY.zip.e0c9d8ab5b78.headers.txt","571","604c0c68ae3ddd50893ef7532d6e64603cf3be0658295700414eba35aa6c3306","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_PLOT.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_PLOT.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_PLOT.zip.e0c9d8ab5b78.headers.txt","569","55ed46fe9640fd282520957d461de36f62984850d605a18dbcbbe39086e1e8c9","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","585","be13c1dfd23bd42c939c57a5782fed4e5957d0a7c080a546862734b630c69caa","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","575","9f8086f2dced8737a526ebc6fe5dbaecd16be7a55a604acb58b3801cfad4219d","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","582","722bc0053ca5e7b8174b1f180b090e5dbe976d1e58f9d140656442a60dead1f6","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","582","bad890b55dabc59d414e13c6e779b562b6df5acfb04d22873d14d2ce171e234f","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","606","9c94f4b989f4fc7f59e8486fe26f6626a412d484c75c183e51081760e36a6058","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","583","16eca4be0341bb8fdce3f04a2445dfd7be9d96395b2419054d3207c6e0b1702b","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_SURVEY.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_OR_SURVEY.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_OR_SURVEY.zip.e0c9d8ab5b78.headers.txt","571","33921e3e837498b23ee3d85cb64776c05f96ad911eabdf9224c6341338aff87c","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_PLOT.zip.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\raw_WA_PLOT.zip.e0c9d8ab5b78.headers.txt","http_headers/raw_WA_PLOT.zip.e0c9d8ab5b78.headers.txt","568","35c067924d5e18a8b42b9f67f264bf6f3a825f7cc2a130cba5bc31b7de8fa4fc","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
