analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
2541602,Phellodendron amurense,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2542391,Paulownia tomentosa,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2601502,Swietenia mahagoni,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2616254,Acer platanoides,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2616276,Acer pseudoplatanus,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2616524,Acer tataricum,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2626815,Ailanthus altissima,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2627374,Albizia julibrissin,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2683772,Broussonetia papyrifera,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2695178,Camphora officinarum,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2784980,Elaeagnus angustifolia,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2809827,Ficus carica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2813006,Firmiana simplex,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2838104,Halesia carolina,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0277,Halesia carolina,Halesia carolina,L.,SPECIES,individual_taxa/atlas_pages/Halesia_carolina.pdf,Halesia_carolina,309,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2838104,Halesia carolina,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0279,Halesia parviflora,Halesia carolina,L.,SPECIES,individual_taxa/atlas_pages/Halesia_parviflora.pdf,Halesia_parviflora,32,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
2860379,Ilex aquifolium,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2901279,Prunus persica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2917143,Prunus avium,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2917269,Populus fremontii,SINGLE_SPECIES_LAYER,1,0,,ATLASG-0457,Populus fremontii,Populus fremontii,S. Watson,SPECIES,individual_taxa/atlas_pages/Populus_fremontii.pdf,Populus_fremontii,329,"Little (1971, 1976)",,P. fremontii now includes what Little (1976) mapped as P. arizonica,two species were merged,1,,MAINLINE_REVIEW_REQUIRED,ATLAS_NOTES_NONBLANK
2917497,Populus nigra,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2917735,Populus alba,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2918804,Salix alba,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2919837,Salix nigra,AMBIGUOUS,1,0,,ATLASG-0590,Salix nigra,Salix nigra / Salix goodingii,Marshall / C.R. Ball,SPECIES,individual_taxa/atlas_pages/Salix_nigra.pdf,Salix_nigra,5011,"Little (1971, 1976)",,,redigitized,1,Salix goodingii,MAINLINE_REVIEW_REQUIRED,AMBIGUOUS;UNRESOLVED_ACCEPTED_NAME_COMPONENT
2921945,Populus angustifolia,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2940246,Amelanchier laevis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2945308,Crataegus crus-galli,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2946180,Crataegus mollis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2950597,Malus domestica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2959531,Prunus domestica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2959716,Prunus emarginata,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2960451,Prunus laurocerasus,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2961630,Prunus serrulata,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2963049,Pyrus calleryana,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
2963115,Pyrus communis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
3317681,Pinus × kohae,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
