"State","STATE_ABBR","EVAL_GRP","EVALID","TABLE","LINKAGE_MODE","PRESENT","ROW_COUNT","KEY_INTEGRITY_STATUS","UNRESOLVED_KEY_COUNT","DUPLICATE_KEY_COUNT","DETAILS"
"Oregon","OR","412023","412307","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","15815","PASS","0","0","distinct_stratum_refs=195; unresolved_stratum_refs=0; distinct_plot_refs=15815; empty_PLT_CN=0"
"Oregon","OR","412023","412300","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","16328","PASS","0","0","assignment_plot_refs=16328; matched_plot_CN=16328; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Oregon","OR","412023","412301","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","15819","FAIL","4","0","assignment_plot_refs=15819; matched_plot_CN=15819; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=4; missing_plot_identity=0"
"Oregon","OR","412023","412303","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","14476","PASS","0","0","assignment_plot_refs=14476; matched_plot_CN=14476; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Oregon","OR","412023","412307","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","15815","PASS","0","0","assignment_plot_refs=15815; matched_plot_CN=15815; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Oregon","OR","412023","412300","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","30","FAIL","0","10","required_state_invyr_pairs=10; matched_pairs=10; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"Oregon","OR","412023","412301","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","33","FAIL","0","11","required_state_invyr_pairs=11; matched_pairs=11; unresolved_pairs=0; duplicate_state_invyr_pairs=11"
"Oregon","OR","412023","412303","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","30","FAIL","0","10","required_state_invyr_pairs=10; matched_pairs=10; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"Oregon","OR","412023","412307","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","30","FAIL","0","10","required_state_invyr_pairs=10; matched_pairs=10; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"Washington","WA","532023","532300","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Washington","WA","532023","532300","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","160","PASS","0","0","STRATUM_CN=160; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Washington","WA","532023","532300","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","9970","PASS","0","0","distinct_stratum_refs=160; unresolved_stratum_refs=0; distinct_plot_refs=9970; empty_PLT_CN=0"
"Washington","WA","532023","532301","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Washington","WA","532023","532301","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","160","PASS","0","0","STRATUM_CN=160; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Washington","WA","532023","532301","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","9507","PASS","0","0","distinct_stratum_refs=160; unresolved_stratum_refs=0; distinct_plot_refs=9507; empty_PLT_CN=0"
"Washington","WA","532023","532303","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Washington","WA","532023","532303","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","117","PASS","0","0","STRATUM_CN=117; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Washington","WA","532023","532303","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","9300","PASS","0","0","distinct_stratum_refs=117; unresolved_stratum_refs=0; distinct_plot_refs=9300; empty_PLT_CN=0"
"Washington","WA","532023","532307","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"Washington","WA","532023","532307","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","118","PASS","0","0","STRATUM_CN=118; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"Washington","WA","532023","532307","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","9504","PASS","0","0","distinct_stratum_refs=118; unresolved_stratum_refs=0; distinct_plot_refs=9504; empty_PLT_CN=0"
"Washington","WA","532023","532300","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","9970","PASS","0","0","assignment_plot_refs=9970; matched_plot_CN=9970; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Washington","WA","532023","532301","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","9507","PASS","0","0","assignment_plot_refs=9507; matched_plot_CN=9507; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Washington","WA","532023","532303","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","9300","PASS","0","0","assignment_plot_refs=9300; matched_plot_CN=9300; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Washington","WA","532023","532307","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","9504","PASS","0","0","assignment_plot_refs=9504; matched_plot_CN=9504; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"Washington","WA","532023","532300","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","20","FAIL","0","10","required_state_invyr_pairs=10; matched_pairs=10; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"Washington","WA","532023","532301","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","22","FAIL","0","11","required_state_invyr_pairs=11; matched_pairs=11; unresolved_pairs=0; duplicate_state_invyr_pairs=11"
"Washington","WA","532023","532303","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","20","FAIL","0","10","required_state_invyr_pairs=10; matched_pairs=10; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"Washington","WA","532023","532307","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","20","FAIL","0","10","required_state_invyr_pairs=10; matched_pairs=10; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
