model,world,observation_regime,orientation,source_fold,target_fold,synthetic_species_id,occupancy_pi_estimate,beta_binomial_rho,encounter_q_mean,brier_score,log_loss,expected_support_size,true_support_size,expected_support_size_bias,expected_support_size_relative_bias,occupied_cell_recall,precision,iou_jaccard,posterior_entropy_mean,support_size_q05,support_size_q50,support_size_q95,truth_size_within_q05_q95,target_cells,predicted_cells_at_0_5
M0,PAIRED_NULL,O3,AB,A,B,SYN048,,,,0.02711980775832475,0.37467496329577576,35.0,114,-79.0,-0.6929824561403509,0.30701754385964913,1.0,0.30701754385964913,1.4815510057997288e-05,35.0,35.0,35.0,0,2913,35
M1,PAIRED_NULL,O3,AB,A,B,SYN048,0.020537198266340755,0.02,0.09483750494683685,0.026467581964748188,0.12716633385990506,58.77033855933752,114,-55.22966144066248,-0.48447071439177614,0.30701754385964913,1.0,0.30701754385964913,0.045064382205871285,50.35,59.0,67.0,0,2913,35
M2,PAIRED_NULL,O3,AB,A,B,SYN048,0.020537198266340755,0.02,0.09483750494683685,0.01878530539705779,0.07619839875609341,78.00101732150978,114,-35.99898267849022,-0.31578054981131776,0.4649122807017544,0.9464285714285714,0.452991452991453,0.048935658611314964,69.0,78.0,86.0,0,2913,56
M0,PAIRED_NULL,O3,AB,A,B,SYN049,,,,0.021283899759697907,0.2940489205613493,37.0,99,-62.0,-0.6262626262626263,0.37373737373737376,1.0,0.37373737373737376,1.4815510057997542e-05,37.0,37.0,37.0,0,2913,37
M1,PAIRED_NULL,O3,AB,A,B,SYN049,0.024547280646978878,0.02,0.07382966153914178,0.021158658285905577,0.11777015476762992,70.4476363755935,99,-28.552363624406496,-0.2884077133778434,0.37373737373737376,1.0,0.37373737373737376,0.06049593859482952,61.35,70.5,79.0,0,2913,37
M2,PAIRED_NULL,O3,AB,A,B,SYN049,0.024547280646978878,0.02,0.07382966153914178,0.0076749616860441435,0.035541656866685596,109.8563879182547,99,10.856387918254697,0.10966048402277472,0.7070707070707071,0.958904109589041,0.6862745098039216,0.06767992972907957,102.0,110.0,121.64999999999999,0,2913,73
M0,PAIRED_NULL,O3,AB,A,B,SYN050,,,,0.028836251287332648,0.39838850527648934,60.0,144,-84.0,-0.5833333333333334,0.4166666666666667,1.0,0.4166666666666667,1.4815510058000449e-05,60.0,60.0,60.0,0,2913,60
M1,PAIRED_NULL,O3,AB,A,B,SYN050,0.038734344250342195,0.02,0.07587129594329314,0.028590185475936895,0.14848301632071248,112.03706933231237,144,-31.96293066768763,-0.2219647963033863,0.4166666666666667,1.0,0.4166666666666667,0.08593044295595331,100.0,111.0,123.64999999999999,0,2913,60
M2,PAIRED_NULL,O3,AB,A,B,SYN050,0.038734344250342195,0.02,0.07587129594329314,0.010432554823817941,0.047354059495222194,173.84642024323983,144,29.846420243239834,0.20726680724472107,0.7916666666666666,0.9344262295081968,0.75,0.0979791413913573,162.35,174.0,187.64999999999998,0,2913,122
M0,PAIRED_NULL,O3,AB,A,B,SYN051,,,,0.026089941640920013,0.3604468381073475,68.0,144,-76.0,-0.5277777777777778,0.4722222222222222,1.0,0.4722222222222222,1.4815510058001463e-05,68.0,68.0,68.0,0,2913,68
M1,PAIRED_NULL,O3,AB,A,B,SYN051,0.04009867813246018,0.02,0.09020364443513994,0.025289027751257,0.12014828383633695,116.13491695729374,144,-27.86508304270626,-0.19350752112990457,0.4722222222222222,1.0,0.4722222222222222,0.07973619112652632,107.0,117.0,128.0,0,2913,68
M2,PAIRED_NULL,O3,AB,A,B,SYN051,0.04009867813246018,0.02,0.09020364443513994,0.011479991711503277,0.0506534699663848,157.30232733434968,144,13.302327334349684,0.09237727315520614,0.7569444444444444,0.956140350877193,0.7315436241610739,0.08332401698474162,147.0,157.0,167.0,0,2913,114
M0,PAIRED_NULL,O3,AB,A,B,SYN052,,,,0.02368692070030896,0.3272478793343484,5.0,74,-69.0,-0.9324324324324325,0.06756756756756757,1.0,0.06756756756756757,1.4815510057993493e-05,5.0,5.0,5.0,0,2913,5
M1,PAIRED_NULL,O3,AB,A,B,SYN052,0.0035913198575798235,0.02,0.09827137509679876,0.023615844094339138,0.15902506224649993,9.04236216110674,74,-64.95763783889326,-0.8778059167418009,0.06756756756756757,1.0,0.06756756756756757,0.010112500237376533,6.0,9.0,12.0,0,2913,5
M2,PAIRED_NULL,O3,AB,A,B,SYN052,0.0035913198575798235,0.02,0.09827137509679876,0.02285825885023207,0.12746644394161352,10.894255042539113,74,-63.105744957460885,-0.852780337262985,0.08108108108108109,0.8571428571428571,0.08,0.011352146431648742,8.0,11.0,16.0,0,2913,7
M0,PAIRED_NULL,O3,AB,A,B,SYN053,,,,0.018537590113285273,0.2561072533922075,116.0,170,-54.0,-0.3176470588235294,0.6823529411764706,1.0,0.6823529411764706,1.4815510058007535e-05,116.0,116.0,116.0,0,2913,116
M1,PAIRED_NULL,O3,AB,A,B,SYN053,0.057795320914318285,0.02,0.134777238309716,0.018222183396113107,0.08995685484733128,167.488801597779,170,-2.511198402220998,-0.014771755307182341,0.6823529411764706,1.0,0.6823529411764706,0.07997092719829274,157.35,167.0,181.0,1,2913,116
M2,PAIRED_NULL,O3,AB,A,B,SYN053,0.057795320914318285,0.02,0.134777238309716,0.009263108232579184,0.042186243058792205,216.73300460365155,170,46.73300460365155,0.27490002708030326,0.9117647058823529,0.8707865168539326,0.8031088082901554,0.08181598523395109,205.0,216.0,228.0,0,2913,178
M0,PAIRED_NULL,O3,AB,A,B,SYN054,,,,0.018537590113285273,0.25610725339220747,61.0,115,-54.0,-0.46956521739130436,0.5304347826086957,1.0,0.5304347826086957,1.4815510058000577e-05,61.0,61.0,61.0,0,2913,61
M1,PAIRED_NULL,O3,AB,A,B,SYN054,0.03247007778414564,0.02,0.11325365065679423,0.01814854365844214,0.09002133343614983,93.88225934412392,115,-21.117740655876077,-0.18363252744240066,0.5304347826086957,1.0,0.5304347826086957,0.057525247890423556,85.0,94.0,104.0,0,2913,61
M2,PAIRED_NULL,O3,AB,A,B,SYN054,0.03247007778414564,0.02,0.11325365065679423,0.005714856608164688,0.027164790950745945,140.41334212336577,115,25.413342123365766,0.22098558368144144,0.8956521739130435,0.9363636363636364,0.8442622950819673,0.06545024962325782,130.35,139.0,148.0,0,2913,110
M0,PAIRED_NULL,O3,AB,A,B,SYN055,,,,0.017851012701682115,0.246621836599922,45.0,97,-52.0,-0.5360824742268041,0.4639175257731959,1.0,0.4639175257731959,1.4815510057998551e-05,45.0,45.0,45.0,0,2913,45
M1,PAIRED_NULL,O3,AB,A,B,SYN055,0.02500250076130683,0.02,0.10455588308545369,0.017545944522939377,0.09007294926615458,71.91351351483519,97,-25.086486485164812,-0.25862357201200836,0.4639175257731959,1.0,0.4639175257731959,0.04938638385571035,63.7,73.0,80.0,0,2913,45
M2,PAIRED_NULL,O3,AB,A,B,SYN055,0.02500250076130683,0.02,0.10455588308545369,0.00692592697394483,0.03310429229281409,106.7035926481816,97,9.703592648181598,0.10003703761011956,0.7938144329896907,0.9625,0.77,0.05354168522891957,98.0,106.0,116.0,0,2913,80
M0,PAIRED_NULL,O3,AB,A,B,SYN056,,,,0.0477171301064195,0.6592374670643395,8.0,147,-139.0,-0.9455782312925171,0.05442176870748299,1.0,0.05442176870748299,1.481551005799387e-05,8.0,8.0,8.0,0,2913,8
M1,PAIRED_NULL,O3,AB,A,B,SYN056,0.004053480379221499,0.02,0.21215385316514526,0.047514075422283,0.30346912181173763,10.46667918081119,147,-136.53332081918882,-0.9287981008108083,0.05442176870748299,1.0,0.05442176870748299,0.006131968180948923,8.0,10.0,13.0,0,2913,8
M2,PAIRED_NULL,O3,AB,A,B,SYN056,0.004053480379221499,0.02,0.21215385316514526,0.046562566162562595,0.27465077556774675,13.555918399543508,147,-133.44408160045649,-0.9077828680303163,0.061224489795918366,0.9,0.060810810810810814,0.007370289869276294,10.350000000000001,13.0,17.0,0,2913,10
M0,PAIRED_NULL,O3,AB,A,B,SYN057,,,,0.04737384140061792,0.6544947586681968,31.0,169,-138.0,-0.8165680473372781,0.1834319526627219,1.0,0.1834319526627219,1.4815510057996783e-05,31.0,31.0,31.0,0,2913,31
M1,PAIRED_NULL,O3,AB,A,B,SYN057,0.019096988505952463,0.02,0.08621415651995033,0.04636123855252957,0.22200106282301044,54.51593991488403,169,-114.48406008511597,-0.6774204738764259,0.1834319526627219,1.0,0.1834319526627219,0.04497797926618985,46.35,54.0,63.64999999999999,0,2913,31
M2,PAIRED_NULL,O3,AB,A,B,SYN057,0.019096988505952463,0.02,0.08621415651995033,0.0368117245451905,0.15462299438441898,81.41190981762642,169,-87.58809018237358,-0.5182727229726247,0.3076923076923077,0.9629629629629629,0.30409356725146197,0.05260587880519969,70.7,82.0,91.0,0,2913,54
M0,PAIRED_NULL,O3,AB,A,B,SYN058,,,,0.0034328870580157913,0.047428083961927346,60.0,70,-10.0,-0.14285714285714285,0.8571428571428571,1.0,0.8571428571428571,1.481551005800045e-05,60.0,60.0,60.0,0,2913,60
M1,PAIRED_NULL,O3,AB,A,B,SYN058,0.030771454676834984,0.02,0.1262701601702371,0.0034805849887183152,0.024832418190037144,88.95634891373292,70,18.956348913732924,0.27080498448189894,0.8571428571428571,1.0,0.8571428571428571,0.05140899788738246,82.0,89.0,98.0,0,2913,60
M2,PAIRED_NULL,O3,AB,A,B,SYN058,0.030771454676834984,0.02,0.1262701601702371,0.0019463687740749714,0.014306509119040594,103.97769340712597,70,33.97769340712597,0.48539562010179954,1.0,0.9090909090909091,0.9090909090909091,0.051039414947571644,96.0,104.0,114.0,0,2913,77
M0,PAIRED_NULL,O3,AB,A,B,SYN059,,,,0.03604531410916581,0.49798538159548666,24.0,129,-105.0,-0.813953488372093,0.18604651162790697,1.0,0.18604651162790697,1.4815510057995893e-05,24.0,24.0,24.0,0,2913,24
M1,PAIRED_NULL,O3,AB,A,B,SYN059,0.01615926169836709,0.02,0.07455755335301326,0.03542781473011369,0.18006163353084953,45.866239641506326,129,-83.13376035849367,-0.6444477547170052,0.18604651162790697,1.0,0.18604651162790697,0.04276375965462929,39.35,46.0,53.0,0,2913,24
