model,world,observation_regime,orientation,bin_index,bin_lower,bin_upper,n_cell_predictions,mean_predicted_probability,observed_occupancy_fraction,absolute_calibration_gap
M1,STRONG,O1,BA,10,0.9,1.0,4756,0.999999,1.0,1.0000000000287557e-06
M1,STRONG,O2,AB,1,0.0,0.1,206205,0.012182674294930057,0.024524138599936955,0.012341464305006898
M1,STRONG,O2,AB,2,0.1,0.2,0,,,
M1,STRONG,O2,AB,3,0.2,0.3,0,,,
M1,STRONG,O2,AB,4,0.3,0.4,0,,,
M1,STRONG,O2,AB,5,0.4,0.5,0,,,
M1,STRONG,O2,AB,6,0.5,0.6,0,,,
M1,STRONG,O2,AB,7,0.6,0.7,0,,,
M1,STRONG,O2,AB,8,0.7,0.8,0,,,
M1,STRONG,O2,AB,9,0.8,0.9,0,,,
M1,STRONG,O2,AB,10,0.9,1.0,3531,0.9999990000000002,1.0,9.99999999806711e-07
M1,STRONG,O2,BA,1,0.0,0.1,201269,0.012348251843038397,0.02078313103359186,0.008434879190553461
M1,STRONG,O2,BA,2,0.1,0.2,0,,,
M1,STRONG,O2,BA,3,0.2,0.3,0,,,
M1,STRONG,O2,BA,4,0.3,0.4,0,,,
M1,STRONG,O2,BA,5,0.4,0.5,0,,,
M1,STRONG,O2,BA,6,0.5,0.6,0,,,
M1,STRONG,O2,BA,7,0.6,0.7,0,,,
M1,STRONG,O2,BA,8,0.7,0.8,0,,,
M1,STRONG,O2,BA,9,0.8,0.9,0,,,
M1,STRONG,O2,BA,10,0.9,1.0,4291,0.999999,1.0,1.0000000000287557e-06
M1,STRONG,O3,AB,1,0.0,0.1,206052,0.012263050173598999,0.023799817521790615,0.011536767348191616
M1,STRONG,O3,AB,2,0.1,0.2,0,,,
M1,STRONG,O3,AB,3,0.2,0.3,0,,,
M1,STRONG,O3,AB,4,0.3,0.4,0,,,
M1,STRONG,O3,AB,5,0.4,0.5,0,,,
M1,STRONG,O3,AB,6,0.5,0.6,0,,,
M1,STRONG,O3,AB,7,0.6,0.7,0,,,
M1,STRONG,O3,AB,8,0.7,0.8,0,,,
