FIA_SPCD,accepted_scientific_name,direction,fold,stress_tier,conservative_envelope_tv,AB_fold_discrepancy_tv,stress_to_fold_discrepancy_ratio,stress_minus_fold_discrepancy,comparison_class
65,Juniperus osteosperma,AB,B,E_EMPIRICAL_MAX,1.0,0.20028858265018312,4.992795828739595,0.7997114173498169,STRESS_GT_FOLD_DISCREPANCY
65,Juniperus osteosperma,BA,A,E_EMPIRICAL_MAX,1.0,0.20028858265018312,4.992795828739595,0.7997114173498169,STRESS_GT_FOLD_DISCREPANCY
92,Picea breweriana,AB,B,E_OBSERVED,0.0,0.6529911712432936,0.0,-0.6529911712432936,STRESS_LT_FOLD_DISCREPANCY
92,Picea breweriana,BA,A,E_OBSERVED,0.0,0.6529911712432936,0.0,-0.6529911712432936,STRESS_LT_FOLD_DISCREPANCY
92,Picea breweriana,AB,B,E_P95,0.09261156421587981,0.6529911712432936,0.1418266713155518,-0.5603796070274139,STRESS_LT_FOLD_DISCREPANCY
92,Picea breweriana,BA,A,E_P95,1.0,0.6529911712432936,1.5314142733293046,0.34700882875670636,STRESS_GT_FOLD_DISCREPANCY
92,Picea breweriana,AB,B,E_EMPIRICAL_MAX,1.0,0.6529911712432936,1.5314142733293046,0.34700882875670636,STRESS_GT_FOLD_DISCREPANCY
92,Picea breweriana,BA,A,E_EMPIRICAL_MAX,1.0,0.6529911712432936,1.5314142733293046,0.34700882875670636,STRESS_GT_FOLD_DISCREPANCY
96,Picea pungens,AB,B,E_OBSERVED,0.0,0.6583656886312532,0.0,-0.6583656886312532,STRESS_LT_FOLD_DISCREPANCY
96,Picea pungens,BA,A,E_OBSERVED,0.0,0.6583656886312532,0.0,-0.6583656886312532,STRESS_LT_FOLD_DISCREPANCY
96,Picea pungens,AB,B,E_P95,0.09261156421587981,0.6583656886312532,0.1406688802516727,-0.5657541244153734,STRESS_LT_FOLD_DISCREPANCY
96,Picea pungens,BA,A,E_P95,1.0,0.6583656886312532,1.5189126913326951,0.3416343113687468,STRESS_GT_FOLD_DISCREPANCY
96,Picea pungens,AB,B,E_EMPIRICAL_MAX,1.0,0.6583656886312532,1.5189126913326951,0.3416343113687468,STRESS_GT_FOLD_DISCREPANCY
96,Picea pungens,BA,A,E_EMPIRICAL_MAX,1.0,0.6583656886312532,1.5189126913326951,0.3416343113687468,STRESS_GT_FOLD_DISCREPANCY
102,Pinus aristata,AB,B,E_OBSERVED,0.0,0.3597176319041692,0.0,-0.3597176319041692,STRESS_LT_FOLD_DISCREPANCY
102,Pinus aristata,BA,A,E_OBSERVED,0.0,0.3597176319041692,0.0,-0.3597176319041692,STRESS_LT_FOLD_DISCREPANCY
102,Pinus aristata,AB,B,E_P95,0.09261156421587981,0.3597176319041692,0.25745628237804047,-0.26710606768828943,STRESS_LT_FOLD_DISCREPANCY
102,Pinus aristata,BA,A,E_P95,1.0,0.3597176319041692,2.7799582542187022,0.6402823680958307,STRESS_GT_FOLD_DISCREPANCY
102,Pinus aristata,AB,B,E_EMPIRICAL_MAX,1.0,0.3597176319041692,2.7799582542187022,0.6402823680958307,STRESS_GT_FOLD_DISCREPANCY
102,Pinus aristata,BA,A,E_EMPIRICAL_MAX,1.0,0.3597176319041692,2.7799582542187022,0.6402823680958307,STRESS_GT_FOLD_DISCREPANCY
104,Pinus balfouriana,AB,B,E_OBSERVED,0.0,0.09213427126509827,0.0,-0.09213427126509827,STRESS_LT_FOLD_DISCREPANCY
104,Pinus balfouriana,BA,A,E_OBSERVED,0.0,0.09213427126509827,0.0,-0.09213427126509827,STRESS_LT_FOLD_DISCREPANCY
104,Pinus balfouriana,AB,B,E_P95,0.09261156421587981,0.09213427126509827,1.0051804062074603,0.000477292950781541,STRESS_GT_FOLD_DISCREPANCY
104,Pinus balfouriana,BA,A,E_P95,1.0,0.09213427126509827,10.853724529091856,0.9078657287349017,STRESS_GT_FOLD_DISCREPANCY
104,Pinus balfouriana,AB,B,E_EMPIRICAL_MAX,1.0,0.09213427126509827,10.853724529091856,0.9078657287349017,STRESS_GT_FOLD_DISCREPANCY
104,Pinus balfouriana,BA,A,E_EMPIRICAL_MAX,1.0,0.09213427126509827,10.853724529091856,0.9078657287349017,STRESS_GT_FOLD_DISCREPANCY
106,Pinus edulis,AB,B,E_OBSERVED,0.0,0.17643220215445113,0.0,-0.17643220215445113,STRESS_LT_FOLD_DISCREPANCY
106,Pinus edulis,BA,A,E_OBSERVED,0.0,0.17643220215445113,0.0,-0.17643220215445113,STRESS_LT_FOLD_DISCREPANCY
106,Pinus edulis,AB,B,E_P95,0.09261156421587981,0.17643220215445113,0.5249130435656321,-0.08382063793857132,STRESS_LT_FOLD_DISCREPANCY
106,Pinus edulis,BA,A,E_P95,1.0,0.17643220215445113,5.667899554552895,0.8235677978455489,STRESS_GT_FOLD_DISCREPANCY
106,Pinus edulis,AB,B,E_EMPIRICAL_MAX,1.0,0.17643220215445113,5.667899554552895,0.8235677978455489,STRESS_GT_FOLD_DISCREPANCY
106,Pinus edulis,BA,A,E_EMPIRICAL_MAX,1.0,0.17643220215445113,5.667899554552895,0.8235677978455489,STRESS_GT_FOLD_DISCREPANCY
107,Pinus clausa,AB,B,E_OBSERVED,0.0,0.35734108584753566,0.0,-0.35734108584753566,STRESS_LT_FOLD_DISCREPANCY
107,Pinus clausa,BA,A,E_OBSERVED,0.0,0.35734108584753566,0.0,-0.35734108584753566,STRESS_LT_FOLD_DISCREPANCY
107,Pinus clausa,AB,B,E_P95,0.09261156421587981,0.35734108584753566,0.25916853080642893,-0.26472952163165586,STRESS_LT_FOLD_DISCREPANCY
107,Pinus clausa,BA,A,E_P95,1.0,0.35734108584753566,2.798446749072295,0.6426589141524643,STRESS_GT_FOLD_DISCREPANCY
