FIA_SPCD,accepted_scientific_name,stress_tier,AB_fold_B_envelope_tv,BA_fold_A_envelope_tv,max_direction_envelope_tv,abs_AB_minus_BA_envelope_tv,AB_fold_discrepancy_tv,max_stress_to_fold_discrepancy_ratio,comparison_class
115,Pinus glabra,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.454721580092406,2.1991478825279978,POSITIVE_FOLD_DISCREPANCY
115,Pinus glabra,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.454721580092406,2.1991478825279978,POSITIVE_FOLD_DISCREPANCY
121,Pinus palustris,E_OBSERVED,0.0,0.0,0.0,0.0,0.3580981239751093,0.0,POSITIVE_FOLD_DISCREPANCY
121,Pinus palustris,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.3580981239751093,2.7925306865598323,POSITIVE_FOLD_DISCREPANCY
121,Pinus palustris,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.3580981239751093,2.7925306865598323,POSITIVE_FOLD_DISCREPANCY
123,Pinus pungens,E_OBSERVED,0.0,0.0,0.0,0.0,0.39905825051309374,0.0,POSITIVE_FOLD_DISCREPANCY
123,Pinus pungens,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.39905825051309374,2.50589982468534,POSITIVE_FOLD_DISCREPANCY
123,Pinus pungens,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.39905825051309374,2.50589982468534,POSITIVE_FOLD_DISCREPANCY
127,Pinus sabiniana,E_OBSERVED,0.0,0.0,0.0,0.0,0.45683390900972903,0.0,POSITIVE_FOLD_DISCREPANCY
127,Pinus sabiniana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.45683390900972903,2.188979364880516,POSITIVE_FOLD_DISCREPANCY
127,Pinus sabiniana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.45683390900972903,2.188979364880516,POSITIVE_FOLD_DISCREPANCY
128,Pinus serotina,E_OBSERVED,0.0,0.0,0.0,0.0,0.415350340036553,0.0,POSITIVE_FOLD_DISCREPANCY
128,Pinus serotina,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.415350340036553,2.407606070364586,POSITIVE_FOLD_DISCREPANCY
128,Pinus serotina,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.415350340036553,2.407606070364586,POSITIVE_FOLD_DISCREPANCY
131,Pinus taeda,E_OBSERVED,0.0,0.0,0.0,0.0,0.15471305803230503,0.0,POSITIVE_FOLD_DISCREPANCY
131,Pinus taeda,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.15471305803230503,6.463578528653954,POSITIVE_FOLD_DISCREPANCY
131,Pinus taeda,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.15471305803230503,6.463578528653954,POSITIVE_FOLD_DISCREPANCY
132,Pinus virginiana,E_OBSERVED,0.0,0.0,0.0,0.0,0.2900502121754186,0.0,POSITIVE_FOLD_DISCREPANCY
132,Pinus virginiana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.2900502121754186,3.4476789122126656,POSITIVE_FOLD_DISCREPANCY
132,Pinus virginiana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.2900502121754186,3.4476789122126656,POSITIVE_FOLD_DISCREPANCY
133,Pinus monophylla,E_OBSERVED,0.0,0.0,0.0,0.0,0.1868175741857012,0.0,POSITIVE_FOLD_DISCREPANCY
133,Pinus monophylla,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.1868175741857012,5.352815463742056,POSITIVE_FOLD_DISCREPANCY
133,Pinus monophylla,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.1868175741857012,5.352815463742056,POSITIVE_FOLD_DISCREPANCY
142,Pinus longaeva,E_OBSERVED,0.0,0.0,0.0,0.0,0.8291132064974289,0.0,POSITIVE_FOLD_DISCREPANCY
142,Pinus longaeva,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.8291132064974289,1.2061079140500954,POSITIVE_FOLD_DISCREPANCY
142,Pinus longaeva,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.8291132064974289,1.2061079140500954,POSITIVE_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,E_OBSERVED,0.0,0.0,0.0,0.0,0.8108755733587351,0.0,POSITIVE_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.8108755733587351,1.2332348301699247,POSITIVE_FOLD_DISCREPANCY
201,Pseudotsuga macrocarpa,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.8108755733587351,1.2332348301699247,POSITIVE_FOLD_DISCREPANCY
211,Sequoia sempervirens,E_OBSERVED,0.0,0.0,0.0,0.0,0.16631792861953643,0.0,POSITIVE_FOLD_DISCREPANCY
211,Sequoia sempervirens,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.16631792861953643,6.012580894315778,POSITIVE_FOLD_DISCREPANCY
211,Sequoia sempervirens,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.16631792861953643,6.012580894315778,POSITIVE_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,E_OBSERVED,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,POSITIVE_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.9999999999999999,1.0000000000000002,POSITIVE_FOLD_DISCREPANCY
212,Sequoiadendron giganteum,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.9999999999999999,1.0000000000000002,POSITIVE_FOLD_DISCREPANCY
251,Torreya californica,E_OBSERVED,0.0,0.0,0.0,0.0,0.7763479123093466,0.0,POSITIVE_FOLD_DISCREPANCY
251,Torreya californica,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.7763479123093466,1.2880822942195742,POSITIVE_FOLD_DISCREPANCY
251,Torreya californica,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.7763479123093466,1.2880822942195742,POSITIVE_FOLD_DISCREPANCY
262,Tsuga caroliniana,E_OBSERVED,0.0,0.0,0.0,0.0,0.9008862031401049,0.0,POSITIVE_FOLD_DISCREPANCY
262,Tsuga caroliniana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.9008862031401049,1.110018109406523,POSITIVE_FOLD_DISCREPANCY
262,Tsuga caroliniana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.9008862031401049,1.110018109406523,POSITIVE_FOLD_DISCREPANCY
323,Acer leucoderme,E_OBSERVED,0.0,0.0,0.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
323,Acer leucoderme,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
323,Acer leucoderme,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
332,Aesculus flava,E_OBSERVED,0.0,0.0,0.0,0.0,0.479115858898129,0.0,POSITIVE_FOLD_DISCREPANCY
